"regionname","date","cases"
"Australian Capital Territory",2020-01-22,0
"New South Wales",2020-01-22,0
"Northern Territory",2020-01-22,0
"Queensland",2020-01-22,0
"South Australia",2020-01-22,0
"Tasmania",2020-01-22,0
"Victoria",2020-01-22,0
"Western Australia",2020-01-22,0
"Australian Capital Territory",2020-01-23,0
"New South Wales",2020-01-23,0
"Northern Territory",2020-01-23,0
"Queensland",2020-01-23,0
"South Australia",2020-01-23,0
"Tasmania",2020-01-23,0
"Victoria",2020-01-23,0
"Western Australia",2020-01-23,0
"Australian Capital Territory",2020-01-24,0
"New South Wales",2020-01-24,0
"Northern Territory",2020-01-24,0
"Queensland",2020-01-24,0
"South Australia",2020-01-24,0
"Tasmania",2020-01-24,0
"Victoria",2020-01-24,0
"Western Australia",2020-01-24,0
"Australian Capital Territory",2020-01-25,0
"New South Wales",2020-01-25,0
"Northern Territory",2020-01-25,0
"Queensland",2020-01-25,0
"South Australia",2020-01-25,0
"Tasmania",2020-01-25,0
"Victoria",2020-01-25,0
"Western Australia",2020-01-25,0
"Australian Capital Territory",2020-01-26,0
"New South Wales",2020-01-26,3
"Northern Territory",2020-01-26,0
"Queensland",2020-01-26,0
"South Australia",2020-01-26,0
"Tasmania",2020-01-26,0
"Victoria",2020-01-26,1
"Western Australia",2020-01-26,0
"Australian Capital Territory",2020-01-27,0
"New South Wales",2020-01-27,4
"Northern Territory",2020-01-27,0
"Queensland",2020-01-27,0
"South Australia",2020-01-27,0
"Tasmania",2020-01-27,0
"Victoria",2020-01-27,1
"Western Australia",2020-01-27,0
"Australian Capital Territory",2020-01-28,0
"New South Wales",2020-01-28,4
"Northern Territory",2020-01-28,0
"Queensland",2020-01-28,0
"South Australia",2020-01-28,0
"Tasmania",2020-01-28,0
"Victoria",2020-01-28,1
"Western Australia",2020-01-28,0
"Australian Capital Territory",2020-01-29,0
"New South Wales",2020-01-29,4
"Northern Territory",2020-01-29,0
"Queensland",2020-01-29,1
"South Australia",2020-01-29,0
"Tasmania",2020-01-29,0
"Victoria",2020-01-29,1
"Western Australia",2020-01-29,0
"Australian Capital Territory",2020-01-30,0
"New South Wales",2020-01-30,4
"Northern Territory",2020-01-30,0
"Queensland",2020-01-30,3
"South Australia",2020-01-30,0
"Tasmania",2020-01-30,0
"Victoria",2020-01-30,2
"Western Australia",2020-01-30,0
"Australian Capital Territory",2020-01-31,0
"New South Wales",2020-01-31,4
"Northern Territory",2020-01-31,0
"Queensland",2020-01-31,2
"South Australia",2020-01-31,0
"Tasmania",2020-01-31,0
"Victoria",2020-01-31,3
"Western Australia",2020-01-31,0
"Australian Capital Territory",2020-02-01,0
"New South Wales",2020-02-01,4
"Northern Territory",2020-02-01,0
"Queensland",2020-02-01,3
"South Australia",2020-02-01,1
"Tasmania",2020-02-01,0
"Victoria",2020-02-01,4
"Western Australia",2020-02-01,0
"Australian Capital Territory",2020-02-02,0
"New South Wales",2020-02-02,4
"Northern Territory",2020-02-02,0
"Queensland",2020-02-02,2
"South Australia",2020-02-02,2
"Tasmania",2020-02-02,0
"Victoria",2020-02-02,4
"Western Australia",2020-02-02,0
"Australian Capital Territory",2020-02-03,0
"New South Wales",2020-02-03,4
"Northern Territory",2020-02-03,0
"Queensland",2020-02-03,2
"South Australia",2020-02-03,2
"Tasmania",2020-02-03,0
"Victoria",2020-02-03,4
"Western Australia",2020-02-03,0
"Australian Capital Territory",2020-02-04,0
"New South Wales",2020-02-04,4
"Northern Territory",2020-02-04,0
"Queensland",2020-02-04,3
"South Australia",2020-02-04,2
"Tasmania",2020-02-04,0
"Victoria",2020-02-04,4
"Western Australia",2020-02-04,0
"Australian Capital Territory",2020-02-05,0
"New South Wales",2020-02-05,4
"Northern Territory",2020-02-05,0
"Queensland",2020-02-05,3
"South Australia",2020-02-05,2
"Tasmania",2020-02-05,0
"Victoria",2020-02-05,4
"Western Australia",2020-02-05,0
"Australian Capital Territory",2020-02-06,0
"New South Wales",2020-02-06,4
"Northern Territory",2020-02-06,0
"Queensland",2020-02-06,4
"South Australia",2020-02-06,2
"Tasmania",2020-02-06,0
"Victoria",2020-02-06,4
"Western Australia",2020-02-06,0
"Australian Capital Territory",2020-02-07,0
"New South Wales",2020-02-07,4
"Northern Territory",2020-02-07,0
"Queensland",2020-02-07,5
"South Australia",2020-02-07,2
"Tasmania",2020-02-07,0
"Victoria",2020-02-07,4
"Western Australia",2020-02-07,0
"Australian Capital Territory",2020-02-08,0
"New South Wales",2020-02-08,4
"Northern Territory",2020-02-08,0
"Queensland",2020-02-08,5
"South Australia",2020-02-08,2
"Tasmania",2020-02-08,0
"Victoria",2020-02-08,4
"Western Australia",2020-02-08,0
"Australian Capital Territory",2020-02-09,0
"New South Wales",2020-02-09,4
"Northern Territory",2020-02-09,0
"Queensland",2020-02-09,5
"South Australia",2020-02-09,2
"Tasmania",2020-02-09,0
"Victoria",2020-02-09,4
"Western Australia",2020-02-09,0
"Australian Capital Territory",2020-02-10,0
"New South Wales",2020-02-10,4
"Northern Territory",2020-02-10,0
"Queensland",2020-02-10,5
"South Australia",2020-02-10,2
"Tasmania",2020-02-10,0
"Victoria",2020-02-10,4
"Western Australia",2020-02-10,0
"Australian Capital Territory",2020-02-11,0
"New South Wales",2020-02-11,4
"Northern Territory",2020-02-11,0
"Queensland",2020-02-11,5
"South Australia",2020-02-11,2
"Tasmania",2020-02-11,0
"Victoria",2020-02-11,4
"Western Australia",2020-02-11,0
"Australian Capital Territory",2020-02-12,0
"New South Wales",2020-02-12,4
"Northern Territory",2020-02-12,0
"Queensland",2020-02-12,5
"South Australia",2020-02-12,2
"Tasmania",2020-02-12,0
"Victoria",2020-02-12,4
"Western Australia",2020-02-12,0
"Australian Capital Territory",2020-02-13,0
"New South Wales",2020-02-13,4
"Northern Territory",2020-02-13,0
"Queensland",2020-02-13,5
"South Australia",2020-02-13,2
