"date,""mcccityname1"",""cases"""
"2020-02-25,""Sao Paulo"",1"
"2020-02-26,""Sao Paulo"",0"
"2020-02-27,""Sao Paulo"",0"
"2020-02-28,""Sao Paulo"",1"
"2020-02-29,""Sao Paulo"",0"
"2020-03-01,""Sao Paulo"",0"
"2020-03-02,""Sao Paulo"",0"
"2020-03-03,""Sao Paulo"",0"
"2020-03-04,""Sao Paulo"",1"
"2020-03-05,""Sao Paulo"",3"
"2020-03-06,""Sao Paulo"",0"
"2020-03-07,""Sao Paulo"",6"
"2020-03-08,""Maceio"",1"
"2020-03-08,""Sao Paulo"",3"
"2020-03-09,""Maceio"",0"
"2020-03-09,""Sao Paulo"",0"
"2020-03-10,""Maceio"",0"
"2020-03-10,""Sao Paulo"",3"
"2020-03-11,""Maceio"",0"
"2020-03-11,""Porto Alegre"",1"
"2020-03-11,""Sao Paulo"",11"
"2020-03-12,""Cuiaba"",5"
"2020-03-12,""Maceio"",0"
"2020-03-12,""Natal"",1"
"2020-03-12,""Porto Alegre"",1"
"2020-03-12,""Recife"",2"
"2020-03-12,""Sao Paulo"",15"
"2020-03-13,""Cuiaba"",0"
"2020-03-13,""Maceio"",0"
"2020-03-13,""Manaus"",2"
"2020-03-13,""Natal"",0"
"2020-03-13,""Porto Alegre"",0"
"2020-03-13,""Recife"",0"
"2020-03-13,""Salvador"",3"
"2020-03-13,""Sao Paulo"",0"
"2020-03-14,""Cuiaba"",0"
"2020-03-14,""Maceio"",0"
"2020-03-14,""Manaus"",0"
"2020-03-14,""Natal"",0"
"2020-03-14,""Porto Alegre"",0"
"2020-03-14,""Recife"",4"
"2020-03-14,""Salvador"",0"
"2020-03-14,""Sao Paulo"",18"
"2020-03-15,""Cuiaba"",0"
"2020-03-15,""Maceio"",0"
"2020-03-15,""Manaus"",0"
"2020-03-15,""Natal"",0"
"2020-03-15,""Porto Alegre"",0"
"2020-03-15,""Recife"",1"
"2020-03-15,""Salvador"",1"
"2020-03-15,""Sao Paulo"",0"
"2020-03-16,""Belo Horizonte"",1"
"2020-03-16,""Cuiaba"",0"
"2020-03-16,""Fortaleza"",8"
"2020-03-16,""Maceio"",0"
"2020-03-16,""Manaus"",0"
"2020-03-16,""Natal"",0"
