"date","regionname","cases"
2020-02-25,"São Paulo",1
2020-02-26,"São Paulo",0
2020-02-27,"São Paulo",0
2020-02-28,"São Paulo",1
2020-02-29,"São Paulo",0
2020-03-01,"São Paulo",0
2020-03-02,"São Paulo",0
2020-03-03,"São Paulo",0
2020-03-04,"São Paulo",1
2020-03-05,"Rio de Janeiro",1
2020-03-05,"São Paulo",3
2020-03-06,"Bahia",1
2020-03-06,"Espírito Santo",1
2020-03-06,"Rio de Janeiro",1
2020-03-06,"São Paulo",4
2020-03-07,"Bahia",1
2020-03-07,"Distrito Federal",1
2020-03-07,"Espírito Santo",0
2020-03-07,"Rio de Janeiro",0
2020-03-07,"São Paulo",3
2020-03-08,"Alagoas",1
2020-03-08,"Bahia",0
2020-03-08,"Distrito Federal",0
2020-03-08,"Espírito Santo",0
2020-03-08,"Minas Gerais",1
2020-03-08,"Rio de Janeiro",1
2020-03-08,"São Paulo",3
2020-03-09,"Alagoas",0
2020-03-09,"Bahia",0
2020-03-09,"Distrito Federal",0
2020-03-09,"Espírito Santo",0
2020-03-09,"Minas Gerais",0
2020-03-09,"Rio de Janeiro",0
2020-03-09,"São Paulo",0
2020-03-10,"Alagoas",0
2020-03-10,"Bahia",0
2020-03-10,"Distrito Federal",0
2020-03-10,"Espírito Santo",0
2020-03-10,"Minas Gerais",0
2020-03-10,"Rio de Janeiro",5
2020-03-10,"Rio Grande do Sul",1
2020-03-10,"São Paulo",3
2020-03-11,"Alagoas",0
2020-03-11,"Bahia",1
2020-03-11,"Distrito Federal",1
2020-03-11,"Espírito Santo",0
2020-03-11,"Minas Gerais",0
2020-03-11,"Rio de Janeiro",5
2020-03-11,"Rio Grande do Sul",1
2020-03-11,"São Paulo",11
2020-03-12,"Alagoas",0
2020-03-12,"Bahia",0
2020-03-12,"Distrito Federal",0
2020-03-12,"Espírito Santo",0
2020-03-12,"Goiás",3
2020-03-12,"Minas Gerais",1
2020-03-12,"Pernambuco",2
2020-03-12,"Paraná",6
2020-03-12,"Rio de Janeiro",3
2020-03-12,"Rio Grande do Norte",1
2020-03-12,"Rio Grande do Sul",2
2020-03-12,"Santa Catarina",2
2020-03-12,"São Paulo",16
2020-03-13,"Alagoas",0
2020-03-13,"Amazonas",2
2020-03-13,"Bahia",4
2020-03-13,"Distrito Federal",0
2020-03-13,"Espírito Santo",0
2020-03-13,"Goiás",0
2020-03-13,"Minas Gerais",0
2020-03-13,"Pernambuco",0
2020-03-13,"Paraná",0
2020-03-13,"Rio de Janeiro",0
2020-03-13,"Rio Grande do Norte",0
2020-03-13,"Rio Grande do Sul",0
2020-03-13,"Santa Catarina",1
2020-03-13,"São Paulo",10
2020-03-14,"Alagoas",0
2020-03-14,"Amazonas",0
2020-03-14,"Bahia",0
2020-03-14,"Distrito Federal",6
2020-03-14,"Espírito Santo",0
2020-03-14,"Goiás",1
2020-03-14,"Minas Gerais",2
2020-03-14,"Mato Grosso do Sul",2
2020-03-14,"Pernambuco",5
2020-03-14,"Paraná",0
2020-03-14,"Rio de Janeiro",6
2020-03-14,"Rio Grande do Norte",0
2020-03-14,"Rio Grande do Sul",2
2020-03-14,"Santa Catarina",2
2020-03-14,"Sergipe",1
2020-03-14,"São Paulo",9
2020-03-15,"Alagoas",0
2020-03-15,"Amazonas",0
2020-03-15,"Bahia",2
2020-03-15,"Distrito Federal",6
2020-03-15,"Espírito Santo",0
2020-03-15,"Goiás",0
2020-03-15,"Minas Gerais",0
2020-03-15,"Mato Grosso do Sul",0
2020-03-15,"Pernambuco",1
2020-03-15,"Paraná",0
2020-03-15,"Rio de Janeiro",2
2020-03-15,"Rio Grande do Norte",0
2020-03-15,"Rio Grande do Sul",0
2020-03-15,"Santa Catarina",1
2020-03-15,"Sergipe",0
2020-03-15,"São Paulo",71
2020-03-16,"Alagoas",0
2020-03-16,"Amazonas",0
2020-03-16,"Bahia",1
2020-03-16,"Ceará",9
2020-03-16,"Distrito Federal",5
2020-03-16,"Espírito Santo",0
2020-03-16,"Goiás",5
2020-03-16,"Minas Gerais",2
2020-03-16,"Mato Grosso do Sul",2
2020-03-16,"Pernambuco",0
2020-03-16,"Paraná",0
2020-03-16,"Rio de Janeiro",7
2020-03-16,"Rio Grande do Norte",0
2020-03-16,"Rio Grande do Sul",2
2020-03-16,"Santa Catarina",1
2020-03-16,"Sergipe",4
2020-03-16,"São Paulo",16
2020-03-17,"Acre",3
2020-03-17,"Alagoas",0
2020-03-17,"Amazonas",0
2020-03-17,"Bahia",4
2020-03-17,"Ceará",1
2020-03-17,"Distrito Federal",3
2020-03-17,"Espírito Santo",0
2020-03-17,"Goiás",1
2020-03-17,"Minas Gerais",8
2020-03-17,"Mato Grosso do Sul",2
2020-03-17,"Pernambuco",10
2020-03-17,"Paraná",6
2020-03-17,"Rio de Janeiro",2
2020-03-17,"Rio Grande do Norte",0
2020-03-17,"Rio Grande do Sul",2
2020-03-17,"Santa Catarina",0
2020-03-17,"Sergipe",0
2020-03-17,"São Paulo",12
2020-03-18,"Acre",0
2020-03-18,"Alagoas",0
2020-03-18,"Amazonas",0
2020-03-18,"Bahia",13
2020-03-18,"Ceará",9
2020-03-18,"Distrito Federal",12
2020-03-18,"Espírito Santo",8
2020-03-18,"Goiás",2
2020-03-18,"Minas Gerais",5
2020-03-18,"Mato Grosso do Sul",1
2020-03-18,"Pará",1
2020-03-18,"Paraíba",1
2020-03-18,"Pernambuco",1
2020-03-18,"Paraná",3
2020-03-18,"Rio de Janeiro",30
2020-03-18,"Rio Grande do Norte",0
2020-03-18,"Rio Grande do Sul",9
2020-03-18,"Santa Catarina",7
2020-03-18,"Sergipe",1
2020-03-18,"São Paulo",77
2020-03-18,"Tocantins",1
2020-03-19,"Acre",1
2020-03-19,"Alagoas",3
2020-03-19,"Amazonas",1
2020-03-19,"Bahia",4
2020-03-19,"Ceará",5
2020-03-19,"Distrito Federal",8
2020-03-19,"Espírito Santo",4
2020-03-19,"Goiás",3
2020-03-19,"Minas Gerais",10
2020-03-19,"Mato Grosso do Sul",2
2020-03-19,"Pará",0
2020-03-19,"Paraíba",0
2020-03-19,"Pernambuco",9
2020-03-19,"Piauí",3
2020-03-19,"Paraná",9
2020-03-19,"Rio de Janeiro",3
2020-03-19,"Rio Grande do Norte",0
2020-03-19,"Rio Grande do Sul",12
2020-03-19,"Santa Catarina",7
2020-03-19,"Sergipe",0
2020-03-19,"São Paulo",45
2020-03-19,"Tocantins",0
2020-03-20,"Acre",3
2020-03-20,"Alagoas",2
2020-03-20,"Amazonas",4
2020-03-20,"Amapá",1
2020-03-20,"Bahia",3
2020-03-20,"Ceará",44
2020-03-20,"Distrito Federal",45
2020-03-20,"Espírito Santo",3
2020-03-20,"Goiás",3
2020-03-20,"Maranhão",1
2020-03-20,"Minas Gerais",9
2020-03-20,"Mato Grosso do Sul",3
2020-03-20,"Mato Grosso",1
2020-03-20,"Pará",1
2020-03-20,"Paraíba",0
2020-03-20,"Pernambuco",3
2020-03-20,"Piauí",1
2020-03-20,"Paraná",13
2020-03-20,"Rio de Janeiro",43
2020-03-20,"Rio Grande do Norte",5
2020-03-20,"Rondônia",1
2020-03-20,"Rio Grande do Sul",12
2020-03-20,"Santa Catarina",19
2020-03-20,"Sergipe",1
2020-03-20,"São Paulo",110
2020-03-20,"Tocantins",0
2020-03-21,"Acre",4
2020-03-21,"Alagoas",1
2020-03-21,"Amazonas",4
2020-03-21,"Amapá",0
2020-03-21,"Bahia",7
2020-03-21,"Ceará",16
2020-03-21,"Distrito Federal",21
2020-03-21,"Espírito Santo",10
2020-03-21,"Goiás",2
2020-03-21,"Maranhão",1
2020-03-21,"Minas Gerais",17
2020-03-21,"Mato Grosso do Sul",4
2020-03-21,"Mato Grosso",1
2020-03-21,"Pará",0
2020-03-21,"Paraíba",0
2020-03-21,"Pernambuco",2
2020-03-21,"Piauí",0
2020-03-21,"Paraná",7
2020-03-21,"Rio de Janeiro",10
2020-03-21,"Rio Grande do Norte",3
2020-03-21,"Rondônia",2
2020-03-21,"Roraima",2
2020-03-21,"Rio Grande do Sul",26
2020-03-21,"Santa Catarina",17
2020-03-21,"Sergipe",3
2020-03-21,"São Paulo",63
2020-03-21,"Tocantins",1
2020-03-22,"Acre",0
2020-03-22,"Alagoas",0
2020-03-22,"Amazonas",15
2020-03-22,"Amapá",0
2020-03-22,"Bahia",14
2020-03-22,"Ceará",41
2020-03-22,"Distrito Federal",9
2020-03-22,"Espírito Santo",0
2020-03-22,"Goiás",1
2020-03-22,"Maranhão",0
2020-03-22,"Minas Gerais",28
2020-03-22,"Mato Grosso do Sul",5
2020-03-22,"Mato Grosso",0
2020-03-22,"Pará",2
2020-03-22,"Paraíba",0
2020-03-22,"Pernambuco",4
2020-03-22,"Piauí",2
2020-03-22,"Paraná",10
2020-03-22,"Rio de Janeiro",67
2020-03-22,"Rio Grande do Norte",4
2020-03-22,"Rondônia",0
2020-03-22,"Roraima",0
2020-03-22,"Rio Grande do Sul",8
2020-03-22,"Santa Catarina",11
2020-03-22,"Sergipe",0
2020-03-22,"São Paulo",172
2020-03-22,"Tocantins",3
2020-03-23,"Acre",6
2020-03-23,"Alagoas",1
2020-03-23,"Amazonas",6
2020-03-23,"Amapá",0
2020-03-23,"Bahia",8
2020-03-23,"Ceará",39
2020-03-23,"Distrito Federal",21
2020-03-23,"Espírito Santo",7
2020-03-23,"Goiás",2
2020-03-23,"Maranhão",6
2020-03-23,"Minas Gerais",45
2020-03-23,"Mato Grosso do Sul",0
2020-03-23,"Mato Grosso",4
2020-03-23,"Pará",1
2020-03-23,"Paraíba",1
2020-03-23,"Pernambuco",5
2020-03-23,"Piauí",0
2020-03-23,"Paraná",6
2020-03-23,"Rio de Janeiro",47
2020-03-23,"Rio Grande do Norte",0
2020-03-23,"Rondônia",0
2020-03-23,"Roraima",0
2020-03-23,"Rio Grande do Sul",19
2020-03-23,"Santa Catarina",18
2020-03-23,"Sergipe",0
2020-03-23,"São Paulo",114
2020-03-23,"Tocantins",2
2020-03-24,"Acre",4
2020-03-24,"Alagoas",2
2020-03-24,"Amazonas",15
2020-03-24,"Amapá",0
2020-03-24,"Bahia",16
2020-03-24,"Ceará",21
2020-03-24,"Distrito Federal",23
2020-03-24,"Espírito Santo",7
2020-03-24,"Goiás",6
2020-03-24,"Maranhão",0
2020-03-24,"Minas Gerais",2
2020-03-24,"Mato Grosso do Sul",3
2020-03-24,"Mato Grosso",1
2020-03-24,"Pará",0
2020-03-24,"Paraíba",1
2020-03-24,"Pernambuco",0
2020-03-24,"Piauí",2
2020-03-24,"Paraná",10
2020-03-24,"Rio de Janeiro",72
2020-03-24,"Rio Grande do Norte",1
2020-03-24,"Rondônia",2
2020-03-24,"Roraima",6
2020-03-24,"Rio Grande do Sul",16
2020-03-24,"Santa Catarina",23
2020-03-24,"Sergipe",5
2020-03-24,"São Paulo",65
2020-03-24,"Tocantins",0
2020-03-25,"Acre",2
2020-03-25,"Alagoas",1
2020-03-25,"Amazonas",7
2020-03-25,"Amapá",1
2020-03-25,"Bahia",12
2020-03-25,"Ceará",26
2020-03-25,"Distrito Federal",34
2020-03-25,"Espírito Santo",0
2020-03-25,"Goiás",6
2020-03-25,"Maranhão",0
2020-03-25,"Minas Gerais",3
2020-03-25,"Mato Grosso do Sul",0
2020-03-25,"Mato Grosso",2
2020-03-25,"Pará",2
2020-03-25,"Paraíba",2
2020-03-25,"Pernambuco",4
2020-03-25,"Piauí",1
2020-03-25,"Paraná",27
2020-03-25,"Rio de Janeiro",65
2020-03-25,"Rio Grande do Norte",0
2020-03-25,"Rondônia",0
2020-03-25,"Roraima",0
2020-03-25,"Rio Grande do Sul",50
2020-03-25,"Santa Catarina",13
2020-03-25,"Sergipe",1
2020-03-25,"São Paulo",52
2020-03-25,"Tocantins",0
2020-03-26,"Acre",1
2020-03-26,"Alagoas",0
2020-03-26,"Amazonas",13
2020-03-26,"Amapá",0
2020-03-26,"Bahia",17
2020-03-26,"Ceará",26
2020-03-26,"Distrito Federal",6
2020-03-26,"Espírito Santo",8
2020-03-26,"Goiás",4
2020-03-26,"Maranhão",2
2020-03-26,"Minas Gerais",20
2020-03-26,"Mato Grosso do Sul",1
2020-03-26,"Mato Grosso",2
2020-03-26,"Pará",6
2020-03-26,"Paraíba",1
2020-03-26,"Pernambuco",2
2020-03-26,"Piauí",0
2020-03-26,"Paraná",9
2020-03-26,"Rio de Janeiro",51
2020-03-26,"Rio Grande do Norte",5
2020-03-26,"Rondônia",1
2020-03-26,"Roraima",2
2020-03-26,"Rio Grande do Sul",28
2020-03-26,"Santa Catarina",27
2020-03-26,"Sergipe",0
2020-03-26,"São Paulo",191
2020-03-26,"Tocantins",1
2020-03-27,"Acre",1
2020-03-27,"Alagoas",1
2020-03-27,"Amazonas",14
2020-03-27,"Amapá",1
2020-03-27,"Bahia",15
2020-03-27,"Ceará",45
2020-03-27,"Distrito Federal",40
2020-03-27,"Espírito Santo",6
2020-03-27,"Goiás",10
2020-03-27,"Maranhão",3
2020-03-27,"Minas Gerais",36
2020-03-27,"Mato Grosso do Sul",3
2020-03-27,"Mato Grosso",0
2020-03-27,"Pará",3
2020-03-27,"Paraíba",4
2020-03-27,"Pernambuco",9
2020-03-27,"Piauí",1
2020-03-27,"Paraná",19
2020-03-27,"Rio de Janeiro",72
2020-03-27,"Rio Grande do Norte",9
2020-03-27,"Rondônia",0
2020-03-27,"Roraima",2
2020-03-27,"Rio Grande do Sul",7
2020-03-27,"Santa Catarina",14
2020-03-27,"Sergipe",0
2020-03-27,"São Paulo",170
2020-03-27,"Tocantins",1
2020-03-28,"Acre",0
2020-03-28,"Alagoas",2
2020-03-28,"Amazonas",30
2020-03-28,"Amapá",1
2020-03-28,"Bahia",4
2020-03-28,"Ceará",40
2020-03-28,"Distrito Federal",19
2020-03-28,"Espírito Santo",7
2020-03-28,"Goiás",7
2020-03-28,"Maranhão",2
2020-03-28,"Minas Gerais",16
2020-03-28,"Mato Grosso do Sul",3
2020-03-28,"Mato Grosso",2
2020-03-28,"Pará",2
2020-03-28,"Paraíba",4
2020-03-28,"Pernambuco",11
2020-03-28,"Piauí",1
2020-03-28,"Paraná",12
2020-03-28,"Rio de Janeiro",65
2020-03-28,"Rio Grande do Norte",40
2020-03-28,"Rondônia",0
2020-03-28,"Roraima",4
2020-03-28,"Rio Grande do Sul",3
2020-03-28,"Santa Catarina",21
2020-03-28,"Sergipe",0
2020-03-28,"São Paulo",183
2020-03-28,"Tocantins",0
2020-03-29,"Acre",9
2020-03-29,"Alagoas",3
2020-03-29,"Amazonas",29
2020-03-29,"Amapá",4
2020-03-29,"Bahia",29
2020-03-29,"Ceará",37
2020-03-29,"Distrito Federal",38
2020-03-29,"Espírito Santo",11
2020-03-29,"Goiás",2
2020-03-29,"Maranhão",6
2020-03-29,"Minas Gerais",26
2020-03-29,"Mato Grosso do Sul",5
2020-03-29,"Mato Grosso",3
2020-03-29,"Pará",2
2020-03-29,"Paraíba",0
2020-03-29,"Pernambuco",5
2020-03-29,"Piauí",5
2020-03-29,"Paraná",15
2020-03-29,"Rio de Janeiro",42
2020-03-29,"Rio Grande do Norte",0
2020-03-29,"Rondônia",0
2020-03-29,"Roraima",0
2020-03-29,"Rio Grande do Sul",30
2020-03-29,"Santa Catarina",13
2020-03-29,"Sergipe",0
2020-03-29,"São Paulo",45
2020-03-29,"Tocantins",1
2020-03-30,"Acre",8
2020-03-30,"Alagoas",0
2020-03-30,"Amazonas",11
2020-03-30,"Amapá",0
2020-03-30,"Bahia",20
2020-03-30,"Ceará",23
2020-03-30,"Distrito Federal",14
2020-03-30,"Espírito Santo",13
2020-03-30,"Goiás",3
2020-03-30,"Maranhão",9
2020-03-30,"Minas Gerais",30
2020-03-30,"Mato Grosso do Sul",8
2020-03-30,"Mato Grosso",2
2020-03-30,"Pará",6
2020-03-30,"Paraíba",3
2020-03-30,"Pernambuco",5
2020-03-30,"Piauí",2
2020-03-30,"Paraná",8
2020-03-30,"Rio de Janeiro",57
2020-03-30,"Rio Grande do Norte",9
2020-03-30,"Rondônia",2
2020-03-30,"Roraima",0
2020-03-30,"Rio Grande do Sul",24
2020-03-30,"Santa Catarina",22
2020-03-30,"Sergipe",2
2020-03-30,"São Paulo",66
2020-03-30,"Tocantins",1
2020-03-31,"Acre",0
2020-03-31,"Alagoas",1
2020-03-31,"Amazonas",24
2020-03-31,"Amapá",2
2020-03-31,"Bahia",41
2020-03-31,"Ceará",19
2020-03-31,"Distrito Federal",21
2020-03-31,"Espírito Santo",12
2020-03-31,"Goiás",4
2020-03-31,"Maranhão",21
2020-03-31,"Minas Gerais",14
2020-03-31,"Mato Grosso do Sul",4
2020-03-31,"Mato Grosso",7
2020-03-31,"Pará",8
2020-03-31,"Paraíba",1
2020-03-31,"Pernambuco",9
2020-03-31,"Piauí",0
2020-03-31,"Paraná",25
2020-03-31,"Rio de Janeiro",51
2020-03-31,"Rio Grande do Norte",5
2020-03-31,"Rondônia",1
2020-03-31,"Roraima",0
2020-03-31,"Rio Grande do Sul",51
2020-03-31,"Santa Catarina",16
2020-03-31,"Sergipe",1
2020-03-31,"São Paulo",822
2020-03-31,"Tocantins",1
2020-04-01,"Acre",1
2020-04-01,"Alagoas",0
2020-04-01,"Amazonas",25
2020-04-01,"Amapá",1
2020-04-01,"Bahia",29
2020-04-01,"Ceará",44
2020-04-01,"Distrito Federal",37
2020-04-01,"Espírito Santo",23
2020-04-01,"Goiás",8
2020-04-01,"Maranhão",19
2020-04-01,"Minas Gerais",39
2020-04-01,"Mato Grosso do Sul",3
2020-04-01,"Mato Grosso",3
2020-04-01,"Pará",7
2020-04-01,"Paraíba",3
2020-04-01,"Pernambuco",8
2020-04-01,"Piauí",1
2020-04-01,"Paraná",44
2020-04-01,"Rio de Janeiro",124
2020-04-01,"Rio Grande do Norte",10
2020-04-01,"Rondônia",0
2020-04-01,"Roraima",10
2020-04-01,"Rio Grande do Sul",11
2020-04-01,"Santa Catarina",12
2020-04-01,"Sergipe",3
2020-04-01,"São Paulo",642
2020-04-01,"Tocantins",0
2020-04-02,"Acre",2
2020-04-02,"Alagoas",0
2020-04-02,"Amazonas",29
2020-04-02,"Amapá",1
2020-04-02,"Bahia",21
2020-04-02,"Ceará",120
2020-04-02,"Distrito Federal",30
2020-04-02,"Espírito Santo",19
2020-04-02,"Goiás",0
2020-04-02,"Maranhão",10
2020-04-02,"Minas Gerais",56
2020-04-02,"Mato Grosso do Sul",2
2020-04-02,"Mato Grosso",13
2020-04-02,"Pará",8
2020-04-02,"Paraíba",8
2020-04-02,"Pernambuco",11
2020-04-02,"Piauí",0
2020-04-02,"Paraná",29
2020-04-02,"Rio de Janeiro",160
2020-04-02,"Rio Grande do Norte",14
2020-04-02,"Rondônia",1
2020-04-02,"Roraima",4
2020-04-02,"Rio Grande do Sul",70
2020-04-02,"Santa Catarina",34
2020-04-02,"Sergipe",2
2020-04-02,"São Paulo",525
2020-04-02,"Tocantins",0
2020-04-03,"Acre",1
2020-04-03,"Alagoas",5
2020-04-03,"Amazonas",31
2020-04-03,"Amapá",7
2020-04-03,"Bahia",23
2020-04-03,"Ceará",93
2020-04-03,"Distrito Federal",19
2020-04-03,"Espírito Santo",14
2020-04-03,"Goiás",15
2020-04-03,"Maranhão",7
2020-04-03,"Minas Gerais",27
2020-04-03,"Mato Grosso do Sul",7
2020-04-03,"Mato Grosso",3
2020-04-03,"Pará",26
2020-04-03,"Paraíba",3
2020-04-03,"Pernambuco",30
2020-04-03,"Piauí",3
2020-04-03,"Paraná",49
2020-04-03,"Rio de Janeiro",82
2020-04-03,"Rio Grande do Norte",70
2020-04-03,"Rondônia",0
2020-04-03,"Roraima",7
2020-04-03,"Rio Grande do Sul",24
2020-04-03,"Santa Catarina",20
2020-04-03,"Sergipe",3
2020-04-03,"São Paulo",542
2020-04-03,"Tocantins",1
2020-04-04,"Acre",0
2020-04-04,"Alagoas",0
2020-04-04,"Amazonas",51
2020-04-04,"Amapá",10
2020-04-04,"Bahia",46
2020-04-04,"Ceará",87
2020-04-04,"Distrito Federal",37
2020-04-04,"Espírito Santo",13
2020-04-04,"Goiás",15
2020-04-04,"Maranhão",8
2020-04-04,"Minas Gerais",33
2020-04-04,"Mato Grosso do Sul",2
2020-04-04,"Mato Grosso",16
2020-04-04,"Pará",7
2020-04-04,"Paraíba",2
2020-04-04,"Pernambuco",40
2020-04-04,"Piauí",2
2020-04-04,"Paraná",94
2020-04-04,"Rio de Janeiro",172
2020-04-04,"Rio Grande do Norte",39
2020-04-04,"Rondônia",1
2020-04-04,"Roraima",5
2020-04-04,"Rio Grande do Sul",8
2020-04-04,"Santa Catarina",55
2020-04-04,"Sergipe",5
2020-04-04,"São Paulo",418
2020-04-04,"Tocantins",3
2020-04-05,"Acre",2
2020-04-05,"Alagoas",5
2020-04-05,"Amazonas",106
2020-04-05,"Amapá",3
2020-04-05,"Bahia",65
2020-04-05,"Ceará",218
2020-04-05,"Distrito Federal",12
2020-04-05,"Espírito Santo",28
2020-04-05,"Goiás",12
2020-04-05,"Maranhão",37
2020-04-05,"Minas Gerais",68
2020-04-05,"Mato Grosso do Sul",3
2020-04-05,"Mato Grosso",0
2020-04-05,"Pará",4
2020-04-05,"Paraíba",1
2020-04-05,"Pernambuco",25
2020-04-05,"Piauí",0
2020-04-05,"Paraná",44
2020-04-05,"Rio de Janeiro",148
2020-04-05,"Rio Grande do Norte",31
2020-04-05,"Rondônia",3
2020-04-05,"Roraima",0
2020-04-05,"Rio Grande do Sul",50
2020-04-05,"Santa Catarina",23
2020-04-05,"Sergipe",0
2020-04-05,"São Paulo",154
2020-04-05,"Tocantins",1
2020-04-06,"Acre",2
2020-04-06,"Alagoas",3
2020-04-06,"Amazonas",115
2020-04-06,"Amapá",7
2020-04-06,"Bahia",36
2020-04-06,"Ceará",83
2020-04-06,"Distrito Federal",17
2020-04-06,"Espírito Santo",15
2020-04-06,"Goiás",4
2020-04-06,"Maranhão",39
2020-04-06,"Minas Gerais",27
2020-04-06,"Mato Grosso do Sul",1
2020-04-06,"Mato Grosso",16
2020-04-06,"Pará",37
2020-04-06,"Paraíba",1
2020-04-06,"Pernambuco",22
2020-04-06,"Piauí",2
2020-04-06,"Paraná",21
2020-04-06,"Rio de Janeiro",67
2020-04-06,"Rio Grande do Norte",0
2020-04-06,"Rondônia",4
2020-04-06,"Roraima",0
2020-04-06,"Rio Grande do Sul",33
2020-04-06,"Santa Catarina",38
2020-04-06,"Sergipe",0
2020-04-06,"São Paulo",246
2020-04-06,"Tocantins",2
2020-04-07,"Acre",0
2020-04-07,"Alagoas",3
2020-04-07,"Amazonas",104
2020-04-07,"Amapá",12
