"regionname","date","cases"
"Ñuble",2020-03-30,151
"Ñuble",2020-04-01,94
"Ñuble",2020-04-03,112
"Ñuble",2020-04-06,106
"Ñuble",2020-04-08,87
"Ñuble",2020-04-10,28
"Ñuble",2020-04-13,40
"Ñuble",2020-04-15,16
"Ñuble",2020-04-17,22
"Ñuble",2020-04-20,33
"Ñuble",2020-04-24,32
"Ñuble",2020-04-27,10
"Ñuble",2020-05-01,35
"Ñuble",2020-05-04,19
"Ñuble",2020-05-08,11
"Ñuble",2020-05-11,28
"Ñuble",2020-05-15,66
"Ñuble",2020-05-18,108
"Ñuble",2020-05-22,39
"Ñuble",2020-05-25,111
"Ñuble",2020-05-29,103
"Ñuble",2020-06-01,52
"Ñuble",2020-06-05,137
"Ñuble",2020-06-08,126
"Ñuble",2020-06-12,169
"Ñuble",2020-06-15,115
"Ñuble",2020-06-19,503
"Ñuble",2020-06-23,168
"Ñuble",2020-06-28,279
"Ñuble",2020-07-01,63
"Ñuble",2020-07-05,269
"Ñuble",2020-07-10,332
"Ñuble",2020-07-13,223
"Ñuble",2020-07-17,237
"Ñuble",2020-07-20,137
"Ñuble",2020-07-24,102
"Ñuble",2020-07-27,107
"Ñuble",2020-07-31,87
"Ñuble",2020-08-03,81
"Ñuble",2020-08-07,156
"Ñuble",2020-08-10,125
"Ñuble",2020-08-14,175
"Ñuble",2020-08-17,79
"Ñuble",2020-08-21,194
"Ñuble",2020-08-24,202
"Ñuble",2020-08-28,347
"Ñuble",2020-08-31,317
"Ñuble",2020-09-04,337
"Ñuble",2020-09-07,266
"Ñuble",2020-09-11,325
"Ñuble",2020-09-14,340
"Ñuble",2020-09-18,341
"Ñuble",2020-09-21,181
"Ñuble",2020-09-25,268
"Ñuble",2020-09-28,246
"Ñuble",2020-10-02,228
"Ñuble",2020-10-05,109
"Ñuble",2020-10-09,183
"Ñuble",2020-10-12,118
"Ñuble",2020-10-16,154
"Ñuble",2020-10-19,141
"Ñuble",2020-10-24,264
"Ñuble",2020-10-26,100
"Ñuble",2020-10-30,181
"Ñuble",2020-11-02,166
"Ñuble",2020-11-06,176
"Ñuble",2020-11-09,167
"Ñuble",2020-11-13,240
"Ñuble",2020-11-16,199
"Ñuble",2020-11-20,261
"Ñuble",2020-11-23,218
"Ñuble",2020-11-27,257
"Ñuble",2020-11-30,203
"Ñuble",2020-12-04,286
"Ñuble",2020-12-07,206
"Ñuble",2020-12-11,281
"Ñuble",2020-12-14,220
"Ñuble",2020-12-18,301
"Ñuble",2020-12-21,242
"Ñuble",2020-12-25,365
"Ñuble",2020-12-28,349
"Ñuble",2021-01-01,441
"Ñuble",2021-01-04,252
"Ñuble",2021-01-08,443
"Ñuble",2021-01-11,374
"Ñuble",2021-01-15,496
"Ñuble",2021-01-18,407
"Ñuble",2021-01-22,603
"Ñuble",2021-01-25,482
"Ñuble",2021-01-29,584
"Ñuble",2021-02-01,464
"Ñuble",2021-02-05,536
"Ñuble",2021-02-08,409
"Ñuble",2021-02-12,599
"Ñuble",2021-02-15,478
"Ñuble",2021-02-19,467
"Ñuble",2021-02-22,404
"Ñuble",2021-02-26,539
"Ñuble",2021-03-01,451
"Ñuble",2021-03-05,608
"Ñuble",2021-03-08,476
"Ñuble",2021-03-12,744
"Ñuble",2021-03-15,519
"Ñuble",2021-03-19,792
"Ñuble",2021-03-22,640
"Ñuble",2021-03-26,866
"Ñuble",2021-03-29,689
"Ñuble",2021-04-02,870
"Ñuble",2021-04-05,557
"Ñuble",2021-04-09,837
"Ñuble",2021-04-12,667
"Ñuble",2021-04-16,817
"Ñuble",2021-04-19,583
"Ñuble",2021-04-23,615
"Ñuble",2021-04-26,588
"Ñuble",2021-04-30,630
"Ñuble",2021-05-03,558
"Ñuble",2021-05-07,591
"Ñuble",2021-05-10,469
"Ñuble",2021-05-14,585
"Ñuble",2021-05-17,520
"Ñuble",2021-05-21,683
"Ñuble",2021-05-24,452
"Ñuble",2021-05-28,809
"Ñuble",2021-05-31,558
"Ñuble",2021-06-04,811
"Ñuble",2021-06-07,606
"Ñuble",2021-06-11,673
"Ñuble",2021-06-14,615
"Ñuble",2021-06-18,564
"Ñuble",2021-06-21,427
"Ñuble",2021-06-25,417
"Ñuble",2021-06-28,334
"Ñuble",2021-07-02,309
"Ñuble",2021-07-05,257
"Ñuble",2021-07-09,309
"Ñuble",2021-07-12,205
"Ñuble",2021-07-16,188
"Ñuble",2021-07-19,104
"Ñuble",2021-07-23,151
"Ñuble",2021-07-26,133
"Ñuble",2021-07-30,130
"Ñuble",2021-08-02,92
"Ñuble",2021-08-06,80
"Ñuble",2021-08-09,69
"Ñuble",2021-08-13,104
"Ñuble",2021-08-16,70
"Ñuble",2021-08-20,-58
"Ñuble",2021-08-23,30
"Ñuble",2021-08-27,36
"Ñuble",2021-08-30,5
"Ñuble",2021-09-03,49
"Ñuble",2021-09-06,49
"Ñuble",2021-09-10,42
"Ñuble",2021-09-13,29
"Ñuble",2021-09-17,37
"Ñuble",2021-09-20,32
"Ñuble",2021-09-24,61
"Ñuble",2021-09-27,33
"Ñuble",2021-10-01,64
"Ñuble",2021-10-04,68
"Ñuble",2021-10-08,81
"Ñuble",2021-10-11,79
"Ñuble",2021-10-15,115
"Ñuble",2021-10-18,95
"Ñuble",2021-10-22,124
"Ñuble",2021-10-25,137
"Ñuble",2021-10-29,161
"Ñuble",2021-11-01,121
"Ñuble",2021-11-05,148
"Ñuble",2021-11-08,116
"Ñuble",2021-11-12,249
"Ñuble",2021-11-15,158
"Ñuble",2021-11-19,232
"Ñuble",2021-11-22,180
"Ñuble",2021-11-26,379
"Ñuble",2021-11-29,225
"Ñuble",2021-12-03,264
"Ñuble",2021-12-06,194
"Ñuble",2021-12-10,172
"Ñuble",2021-12-13,94
"Ñuble",2021-12-17,126
"Ñuble",2021-12-20,120
"Ñuble",2021-12-24,127
"Ñuble",2021-12-27,79
"Ñuble",2021-12-31,106
"Ñuble",2022-01-03,72
"Ñuble",2022-01-07,149
"Ñuble",2022-01-10,203
"Ñuble",2022-01-14,372
"Ñuble",2022-01-17,371
"Ñuble",2022-01-21,727
"Ñuble",2022-01-24,866
"Ñuble",2022-01-28,2368
"Ñuble",2022-01-31,2001
"Ñuble",2022-02-04,3705
"Ñuble",2022-02-07,3409
"Ñuble",2022-02-11,5266
"Ñuble",2022-02-14,4930
"Ñuble",2022-02-18,4861
"Ñuble",2022-02-21,3224
"Ñuble",2022-02-25,5914
"Ñuble",2022-02-28,3409
"Ñuble",2022-03-04,3712
"Ñuble",2022-03-07,2658
"Ñuble",2022-03-11,2699
"Ñuble",2022-03-14,1944
"Ñuble",2022-03-18,2181
"Ñuble",2022-03-21,1351
"Ñuble",2022-03-25,1209
"Ñuble",2022-03-28,705
"Ñuble",2022-04-01,810
"Ñuble",2022-04-04,435
"Ñuble",2022-04-08,497
"Ñuble",2022-04-11,282
"Ñuble",2022-04-15,321
"Ñuble",2022-04-18,158
"Ñuble",2022-04-22,302
"Ñuble",2022-04-25,182
"Ñuble",2022-04-29,234
"Ñuble",2022-05-02,145
"Ñuble",2022-05-06,281
"Ñuble",2022-05-09,216
"Ñuble",2022-05-13,342
"Ñuble",2022-05-16,314
"Ñuble",2022-05-20,457
"Ñuble",2022-05-23,333
"Ñuble",2022-05-27,637
"Ñuble",2022-05-30,394
"Ñuble",2022-06-03,626
"Ñuble",2022-06-06,655
"Ñuble",2022-06-10,938
"Ñuble",2022-06-13,701
"Ñuble",2022-06-17,941
"Ñuble",2022-06-20,772
"Ñuble",2022-06-24,906
"Ñuble",2022-06-27,970
"Ñuble",2022-07-01,1021
"Ñuble",2022-07-04,855
"Ñuble",2022-07-08,1128
"Ñuble",2022-07-11,689
"Ñuble",2022-07-15,921
"Ñuble",2022-07-18,666
"Ñuble",2022-07-22,774
"Ñuble",2022-07-25,774
"Ñuble",2022-07-29,1007
"Ñuble",2022-08-01,774
"Ñuble",2022-08-05,1461
"Ñuble",2022-08-08,1027
"Ñuble",2022-08-12,1814
"Ñuble",2022-08-15,1217
"Ñuble",2022-08-19,1322
"Ñuble",2022-08-22,1255
"Ñuble",2022-08-26,1238
"Ñuble",2022-08-29,881
"Antofagasta",2020-03-30,29
"Antofagasta",2020-04-01,3
"Antofagasta",2020-04-03,17
"Antofagasta",2020-04-06,16
"Antofagasta",2020-04-08,7
"Antofagasta",2020-04-10,33
"Antofagasta",2020-04-13,44
"Antofagasta",2020-04-15,27
"Antofagasta",2020-04-17,35
"Antofagasta",2020-04-20,53
"Antofagasta",2020-04-24,104
"Antofagasta",2020-04-27,89
"Antofagasta",2020-05-01,122
"Antofagasta",2020-05-04,170
"Antofagasta",2020-05-08,163
"Antofagasta",2020-05-11,89
"Antofagasta",2020-05-15,314
"Antofagasta",2020-05-18,253
"Antofagasta",2020-05-22,248
