"regionname","date","cases"
"Anhui",2020-01-22,1
"Beijing",2020-01-22,14
"Chongqing",2020-01-22,6
"Fujian",2020-01-22,1
"Gansu",2020-01-22,0
"Guangdong",2020-01-22,26
"Guangxi",2020-01-22,2
"Guizhou",2020-01-22,1
"Hainan",2020-01-22,4
"Hebei",2020-01-22,1
"Heilongjiang",2020-01-22,0
"Henan",2020-01-22,5
"Hong Kong",2020-01-22,0
"Hubei",2020-01-22,444
"Hunan",2020-01-22,4
"Inner Mongolia",2020-01-22,0
"Jiangsu",2020-01-22,1
"Jiangxi",2020-01-22,2
"Jilin",2020-01-22,0
"Liaoning",2020-01-22,2
"Macau",2020-01-22,1
"Ningxia",2020-01-22,1
"Qinghai",2020-01-22,0
"Shaanxi",2020-01-22,0
"Shandong",2020-01-22,2
"Shanghai",2020-01-22,9
"Shanxi",2020-01-22,1
"Sichuan",2020-01-22,5
"Tianjin",2020-01-22,4
"Tibet",2020-01-22,0
"Xinjiang",2020-01-22,0
"Yunnan",2020-01-22,1
"Zhejiang",2020-01-22,10
"Anhui",2020-01-23,9
"Beijing",2020-01-23,22
"Chongqing",2020-01-23,9
"Fujian",2020-01-23,5
"Gansu",2020-01-23,2
"Guangdong",2020-01-23,32
"Guangxi",2020-01-23,5
"Guizhou",2020-01-23,3
"Hainan",2020-01-23,5
"Hebei",2020-01-23,1
"Heilongjiang",2020-01-23,2
"Henan",2020-01-23,5
"Hong Kong",2020-01-23,2
"Hubei",2020-01-23,444
"Hunan",2020-01-23,9
"Inner Mongolia",2020-01-23,0
"Jiangsu",2020-01-23,5
"Jiangxi",2020-01-23,7
"Jilin",2020-01-23,1
"Liaoning",2020-01-23,3
"Macau",2020-01-23,2
"Ningxia",2020-01-23,1
"Qinghai",2020-01-23,0
"Shaanxi",2020-01-23,3
"Shandong",2020-01-23,6
"Shanghai",2020-01-23,16
"Shanxi",2020-01-23,1
"Sichuan",2020-01-23,8
"Tianjin",2020-01-23,4
"Tibet",2020-01-23,0
"Xinjiang",2020-01-23,2
"Yunnan",2020-01-23,2
"Zhejiang",2020-01-23,27
"Anhui",2020-01-24,15
"Beijing",2020-01-24,36
"Chongqing",2020-01-24,27
"Fujian",2020-01-24,10
"Gansu",2020-01-24,2
"Guangdong",2020-01-24,53
"Guangxi",2020-01-24,23
"Guizhou",2020-01-24,3
"Hainan",2020-01-24,8
"Hebei",2020-01-24,2
"Heilongjiang",2020-01-24,4
"Henan",2020-01-24,9
"Hong Kong",2020-01-24,2
"Hubei",2020-01-24,549
"Hunan",2020-01-24,24
"Inner Mongolia",2020-01-24,1
"Jiangsu",2020-01-24,9
"Jiangxi",2020-01-24,18
"Jilin",2020-01-24,3
"Liaoning",2020-01-24,4
"Macau",2020-01-24,2
"Ningxia",2020-01-24,2
"Qinghai",2020-01-24,0
"Shaanxi",2020-01-24,5
"Shandong",2020-01-24,15
"Shanghai",2020-01-24,20
"Shanxi",2020-01-24,1
"Sichuan",2020-01-24,15
"Tianjin",2020-01-24,8
"Tibet",2020-01-24,0
"Xinjiang",2020-01-24,2
"Yunnan",2020-01-24,5
"Zhejiang",2020-01-24,43
"Anhui",2020-01-25,39
"Beijing",2020-01-25,41
"Chongqing",2020-01-25,57
"Fujian",2020-01-25,18
"Gansu",2020-01-25,4
"Guangdong",2020-01-25,78
"Guangxi",2020-01-25,23
"Guizhou",2020-01-25,4
"Hainan",2020-01-25,19
"Hebei",2020-01-25,8
"Heilongjiang",2020-01-25,9
"Henan",2020-01-25,32
"Hong Kong",2020-01-25,5
"Hubei",2020-01-25,761
"Hunan",2020-01-25,43
"Inner Mongolia",2020-01-25,7
"Jiangsu",2020-01-25,18
"Jiangxi",2020-01-25,18
"Jilin",2020-01-25,4
"Liaoning",2020-01-25,17
"Macau",2020-01-25,2
"Ningxia",2020-01-25,3
"Qinghai",2020-01-25,1
"Shaanxi",2020-01-25,15
"Shandong",2020-01-25,27
"Shanghai",2020-01-25,33
"Shanxi",2020-01-25,6
"Sichuan",2020-01-25,28
"Tianjin",2020-01-25,10
"Tibet",2020-01-25,0
"Xinjiang",2020-01-25,3
"Yunnan",2020-01-25,11
"Zhejiang",2020-01-25,62
"Anhui",2020-01-26,60
"Beijing",2020-01-26,68
"Chongqing",2020-01-26,75
"Fujian",2020-01-26,35
"Gansu",2020-01-26,7
"Guangdong",2020-01-26,111
"Guangxi",2020-01-26,36
"Guizhou",2020-01-26,5
"Hainan",2020-01-26,22
"Hebei",2020-01-26,13
"Heilongjiang",2020-01-26,15
"Henan",2020-01-26,83
"Hong Kong",2020-01-26,8
"Hubei",2020-01-26,1058
"Hunan",2020-01-26,69
"Inner Mongolia",2020-01-26,7
"Jiangsu",2020-01-26,33
"Jiangxi",2020-01-26,36
"Jilin",2020-01-26,4
"Liaoning",2020-01-26,21
"Macau",2020-01-26,5
"Ningxia",2020-01-26,4
"Qinghai",2020-01-26,1
"Shaanxi",2020-01-26,22
"Shandong",2020-01-26,46
"Shanghai",2020-01-26,40
"Shanxi",2020-01-26,9
"Sichuan",2020-01-26,44
"Tianjin",2020-01-26,14
"Tibet",2020-01-26,0
"Xinjiang",2020-01-26,4
"Yunnan",2020-01-26,16
"Zhejiang",2020-01-26,104
"Anhui",2020-01-27,70
"Beijing",2020-01-27,80
"Chongqing",2020-01-27,110
"Fujian",2020-01-27,59
"Gansu",2020-01-27,14
"Guangdong",2020-01-27,151
"Guangxi",2020-01-27,46
"Guizhou",2020-01-27,7
"Hainan",2020-01-27,33
"Hebei",2020-01-27,18
