"mcccityname1","date","cases"
"Kuwait",2020-01-22,0
"Singapore",2020-01-22,0
"Kuwait",2020-01-23,0
"Singapore",2020-01-23,1
"Kuwait",2020-01-24,0
"Singapore",2020-01-24,3
"Kuwait",2020-01-25,0
"Singapore",2020-01-25,3
"Kuwait",2020-01-26,0
"Singapore",2020-01-26,4
"Kuwait",2020-01-27,0
"Singapore",2020-01-27,5
"Kuwait",2020-01-28,0
"Singapore",2020-01-28,7
"Kuwait",2020-01-29,0
"Singapore",2020-01-29,7
"Kuwait",2020-01-30,0
"Singapore",2020-01-30,10
"Kuwait",2020-01-31,0
"Singapore",2020-01-31,13
"Kuwait",2020-02-01,0
"Singapore",2020-02-01,16
"Kuwait",2020-02-02,0
"Singapore",2020-02-02,18
"Kuwait",2020-02-03,0
"Singapore",2020-02-03,18
"Kuwait",2020-02-04,0
"Singapore",2020-02-04,24
"Kuwait",2020-02-05,0
"Singapore",2020-02-05,28
"Kuwait",2020-02-06,0
"Singapore",2020-02-06,28
"Kuwait",2020-02-07,0
"Singapore",2020-02-07,30
"Kuwait",2020-02-08,0
"Singapore",2020-02-08,33
"Kuwait",2020-02-09,0
"Singapore",2020-02-09,40
"Kuwait",2020-02-10,0
"Singapore",2020-02-10,45
"Kuwait",2020-02-11,0
"Singapore",2020-02-11,47
"Kuwait",2020-02-12,0
"Singapore",2020-02-12,50
"Kuwait",2020-02-13,0
"Singapore",2020-02-13,58
"Kuwait",2020-02-14,0
"Singapore",2020-02-14,67
"Kuwait",2020-02-15,0
"Singapore",2020-02-15,72
"Kuwait",2020-02-16,0
"Singapore",2020-02-16,75
"Kuwait",2020-02-17,0
"Singapore",2020-02-17,77
"Kuwait",2020-02-18,0
"Singapore",2020-02-18,81
"Kuwait",2020-02-19,0
"Singapore",2020-02-19,84
"Kuwait",2020-02-20,0
"Singapore",2020-02-20,84
"Kuwait",2020-02-21,0
"Singapore",2020-02-21,85
"Kuwait",2020-02-22,0
"Singapore",2020-02-22,85
"Kuwait",2020-02-23,0
"Singapore",2020-02-23,89
"Kuwait",2020-02-24,1
"Singapore",2020-02-24,89
"Kuwait",2020-02-25,11
"Singapore",2020-02-25,91
"Kuwait",2020-02-26,26
"Singapore",2020-02-26,93
"Kuwait",2020-02-27,43
"Singapore",2020-02-27,93
"Kuwait",2020-02-28,45
"Singapore",2020-02-28,93
"Kuwait",2020-02-29,45
"Singapore",2020-02-29,102
"Kuwait",2020-03-01,45
"Singapore",2020-03-01,106
"Kuwait",2020-03-02,56
"Singapore",2020-03-02,108
"Kuwait",2020-03-03,56
"Singapore",2020-03-03,110
"Kuwait",2020-03-04,56
"Singapore",2020-03-04,110
"Kuwait",2020-03-05,58
"Singapore",2020-03-05,117
"Kuwait",2020-03-06,58
"Singapore",2020-03-06,130
"Kuwait",2020-03-07,61
"Singapore",2020-03-07,138
"Kuwait",2020-03-08,64
"Singapore",2020-03-08,150
"Kuwait",2020-03-09,64
"Singapore",2020-03-09,150
"Kuwait",2020-03-10,69
"Singapore",2020-03-10,160
"Kuwait",2020-03-11,72
"Singapore",2020-03-11,178
"Kuwait",2020-03-12,80
"Singapore",2020-03-12,178
"Kuwait",2020-03-13,80
"Singapore",2020-03-13,200
"Kuwait",2020-03-14,104
"Singapore",2020-03-14,212
"Kuwait",2020-03-15,112
"Singapore",2020-03-15,226
"Kuwait",2020-03-16,123
"Singapore",2020-03-16,243
"Kuwait",2020-03-17,130
"Singapore",2020-03-17,266
"Kuwait",2020-03-18,142
"Singapore",2020-03-18,313
"Kuwait",2020-03-19,148
"Singapore",2020-03-19,345
"Kuwait",2020-03-20,159
"Singapore",2020-03-20,385
"Kuwait",2020-03-21,176
"Singapore",2020-03-21,432
"Kuwait",2020-03-22,188
"Singapore",2020-03-22,455
"Kuwait",2020-03-23,189
"Singapore",2020-03-23,509
"Kuwait",2020-03-24,191
"Singapore",2020-03-24,558
"Kuwait",2020-03-25,195
"Singapore",2020-03-25,631
"Kuwait",2020-03-26,208
"Singapore",2020-03-26,683
"Kuwait",2020-03-27,225
"Singapore",2020-03-27,732
"Kuwait",2020-03-28,235
"Singapore",2020-03-28,802
"Kuwait",2020-03-29,255
"Singapore",2020-03-29,844
"Kuwait",2020-03-30,266
"Singapore",2020-03-30,879
"Kuwait",2020-03-31,289
"Singapore",2020-03-31,926
"Kuwait",2020-04-01,317
"Singapore",2020-04-01,1000
"Kuwait",2020-04-02,342
"Singapore",2020-04-02,1049
"Kuwait",2020-04-03,417
"Singapore",2020-04-03,1114
"Kuwait",2020-04-04,479
"Singapore",2020-04-04,1189
"Kuwait",2020-04-05,556
"Singapore",2020-04-05,1309
"Kuwait",2020-04-06,665
"Singapore",2020-04-06,1375
"Kuwait",2020-04-07,743
"Singapore",2020-04-07,1481
"Kuwait",2020-04-08,855
"Singapore",2020-04-08,1623
"Kuwait",2020-04-09,910
"Singapore",2020-04-09,1910
