"date","regionname","cases"
2020-01-25,"East Malaysia",0
2020-01-25,"West Malaysia",4
2020-01-26,"East Malaysia",0
2020-01-26,"West Malaysia",0
2020-01-27,"East Malaysia",0
2020-01-27,"West Malaysia",0
2020-01-28,"East Malaysia",0
2020-01-28,"West Malaysia",0
2020-01-29,"East Malaysia",0
2020-01-29,"West Malaysia",3
2020-01-30,"East Malaysia",0
2020-01-30,"West Malaysia",1
2020-01-31,"East Malaysia",0
2020-01-31,"West Malaysia",0
2020-02-01,"East Malaysia",0
2020-02-01,"West Malaysia",0
2020-02-02,"East Malaysia",0
2020-02-02,"West Malaysia",0
2020-02-03,"East Malaysia",0
2020-02-03,"West Malaysia",0
2020-02-04,"East Malaysia",0
2020-02-04,"West Malaysia",2
2020-02-05,"East Malaysia",0
2020-02-05,"West Malaysia",2
2020-02-06,"East Malaysia",0
2020-02-06,"West Malaysia",2
2020-02-07,"East Malaysia",0
2020-02-07,"West Malaysia",1
2020-02-08,"East Malaysia",0
2020-02-08,"West Malaysia",1
2020-02-09,"East Malaysia",0
2020-02-09,"West Malaysia",1
2020-02-10,"East Malaysia",0
2020-02-10,"West Malaysia",1
2020-02-11,"East Malaysia",0
2020-02-11,"West Malaysia",0
2020-02-12,"East Malaysia",0
2020-02-12,"West Malaysia",0
2020-02-13,"East Malaysia",0
2020-02-13,"West Malaysia",0
2020-02-14,"East Malaysia",0
2020-02-14,"West Malaysia",1
2020-02-15,"East Malaysia",0
2020-02-15,"West Malaysia",3
2020-02-16,"East Malaysia",0
2020-02-16,"West Malaysia",0
2020-02-17,"East Malaysia",0
2020-02-17,"West Malaysia",0
2020-02-18,"East Malaysia",0
2020-02-18,"West Malaysia",0
2020-02-19,"East Malaysia",0
2020-02-19,"West Malaysia",0
2020-02-20,"East Malaysia",0
2020-02-20,"West Malaysia",0
2020-02-21,"East Malaysia",0
2020-02-21,"West Malaysia",0
2020-02-22,"East Malaysia",0
2020-02-22,"West Malaysia",0
2020-02-23,"East Malaysia",0
2020-02-23,"West Malaysia",0
2020-02-24,"East Malaysia",0
2020-02-24,"West Malaysia",0
2020-02-25,"East Malaysia",0
2020-02-25,"West Malaysia",0
2020-02-26,"East Malaysia",0
2020-02-26,"West Malaysia",0
2020-02-27,"East Malaysia",0
2020-02-27,"West Malaysia",1
2020-02-28,"East Malaysia",0
2020-02-28,"West Malaysia",2
2020-02-29,"East Malaysia",0
2020-02-29,"West Malaysia",0
2020-03-01,"East Malaysia",0
2020-03-01,"West Malaysia",4
2020-03-02,"East Malaysia",0
2020-03-02,"West Malaysia",0
2020-03-03,"East Malaysia",0
2020-03-03,"West Malaysia",7
2020-03-04,"East Malaysia",0
2020-03-04,"West Malaysia",14
2020-03-05,"East Malaysia",0
2020-03-05,"West Malaysia",5
2020-03-06,"East Malaysia",0
2020-03-06,"West Malaysia",28
2020-03-07,"East Malaysia",0
2020-03-07,"West Malaysia",10
2020-03-08,"East Malaysia",0
2020-03-08,"West Malaysia",6
2020-03-09,"East Malaysia",0
2020-03-09,"West Malaysia",18
2020-03-10,"East Malaysia",0
2020-03-10,"West Malaysia",12
2020-03-11,"East Malaysia",0
2020-03-11,"West Malaysia",20
2020-03-12,"East Malaysia",1
2020-03-12,"West Malaysia",8
2020-03-13,"East Malaysia",16
2020-03-13,"West Malaysia",23
2020-03-14,"East Malaysia",17
2020-03-14,"West Malaysia",24
2020-03-15,"East Malaysia",39
2020-03-15,"West Malaysia",151
2020-03-16,"East Malaysia",8
2020-03-16,"West Malaysia",117
2020-03-17,"East Malaysia",34
2020-03-17,"West Malaysia",86
2020-03-18,"East Malaysia",42
2020-03-18,"West Malaysia",75
2020-03-19,"East Malaysia",11
2020-03-19,"West Malaysia",99
2020-03-20,"East Malaysia",14
2020-03-20,"West Malaysia",116
2020-03-21,"East Malaysia",27
2020-03-21,"West Malaysia",126
2020-03-22,"East Malaysia",30
2020-03-22,"West Malaysia",93
2020-03-23,"East Malaysia",13
2020-03-23,"West Malaysia",199
2020-03-24,"East Malaysia",6
2020-03-24,"West Malaysia",100
2020-03-25,"East Malaysia",2
2020-03-25,"West Malaysia",170
2020-03-26,"East Malaysia",12
2020-03-26,"West Malaysia",223
2020-03-27,"East Malaysia",25
2020-03-27,"West Malaysia",105
2020-03-28,"East Malaysia",28
2020-03-28,"West Malaysia",131
2020-03-29,"East Malaysia",11
2020-03-29,"West Malaysia",139
2020-03-30,"East Malaysia",10
2020-03-30,"West Malaysia",146
2020-03-31,"East Malaysia",26
2020-03-31,"West Malaysia",114
2020-04-01,"East Malaysia",35
2020-04-01,"West Malaysia",107
2020-04-02,"East Malaysia",24
2020-04-02,"West Malaysia",184
2020-04-03,"East Malaysia",33
2020-04-03,"West Malaysia",184
2020-04-04,"East Malaysia",18
2020-04-04,"West Malaysia",132
2020-04-05,"East Malaysia",28
2020-04-05,"West Malaysia",151
2020-04-06,"East Malaysia",15
2020-04-06,"West Malaysia",116
2020-04-07,"East Malaysia",17
2020-04-07,"West Malaysia",153
2020-04-08,"East Malaysia",25
2020-04-08,"West Malaysia",131
2020-04-09,"East Malaysia",6
2020-04-09,"West Malaysia",103
2020-04-10,"East Malaysia",17
2020-04-10,"West Malaysia",101
2020-04-11,"East Malaysia",19
2020-04-11,"West Malaysia",165
2020-04-12,"East Malaysia",14
2020-04-12,"West Malaysia",139
2020-04-13,"East Malaysia",20
2020-04-13,"West Malaysia",114
2020-04-14,"East Malaysia",20
2020-04-14,"West Malaysia",150
2020-04-15,"East Malaysia",8
2020-04-15,"West Malaysia",77
2020-04-16,"East Malaysia",19
2020-04-16,"West Malaysia",91
2020-04-17,"East Malaysia",16
2020-04-17,"West Malaysia",53
2020-04-18,"East Malaysia",16
2020-04-18,"West Malaysia",38
2020-04-19,"East Malaysia",8
2020-04-19,"West Malaysia",76
2020-04-20,"East Malaysia",8
2020-04-20,"West Malaysia",28
2020-04-21,"East Malaysia",22
2020-04-21,"West Malaysia",35
2020-04-22,"East Malaysia",19
2020-04-22,"West Malaysia",31
2020-04-23,"East Malaysia",5
2020-04-23,"West Malaysia",66
2020-04-24,"East Malaysia",11
2020-04-24,"West Malaysia",77
2020-04-25,"East Malaysia",10
2020-04-25,"West Malaysia",41
2020-04-26,"East Malaysia",7
2020-04-26,"West Malaysia",31
2020-04-27,"East Malaysia",4
2020-04-27,"West Malaysia",36
2020-04-28,"East Malaysia",9
2020-04-28,"West Malaysia",22
2020-04-29,"East Malaysia",8
2020-04-29,"West Malaysia",86
2020-04-30,"East Malaysia",5
2020-04-30,"West Malaysia",52
2020-05-01,"East Malaysia",2
2020-05-01,"West Malaysia",67
2020-05-02,"East Malaysia",9
2020-05-02,"West Malaysia",96
2020-05-03,"East Malaysia",6
2020-05-03,"West Malaysia",116
2020-05-04,"East Malaysia",0
2020-05-04,"West Malaysia",55
2020-05-05,"East Malaysia",2
2020-05-05,"West Malaysia",28
2020-05-06,"East Malaysia",11
2020-05-06,"West Malaysia",34
2020-05-07,"East Malaysia",2
2020-05-07,"West Malaysia",37
2020-05-08,"East Malaysia",1
2020-05-08,"West Malaysia",67
2020-05-09,"East Malaysia",4
2020-05-09,"West Malaysia",50
2020-05-10,"East Malaysia",1
2020-05-10,"West Malaysia",66
2020-05-11,"East Malaysia",10
2020-05-11,"West Malaysia",60
2020-05-12,"East Malaysia",1
2020-05-12,"West Malaysia",15
2020-05-13,"East Malaysia",3
2020-05-13,"West Malaysia",34
2020-05-14,"East Malaysia",0
2020-05-14,"West Malaysia",40
2020-05-15,"East Malaysia",0
2020-05-15,"West Malaysia",36
2020-05-16,"East Malaysia",1
2020-05-16,"West Malaysia",16
2020-05-17,"East Malaysia",0
2020-05-17,"West Malaysia",22
2020-05-18,"East Malaysia",0
2020-05-18,"West Malaysia",47
2020-05-19,"East Malaysia",6
2020-05-19,"West Malaysia",31
2020-05-20,"East Malaysia",1
2020-05-20,"West Malaysia",30
2020-05-21,"East Malaysia",0
2020-05-21,"West Malaysia",50
2020-05-22,"East Malaysia",3
2020-05-22,"West Malaysia",75
2020-05-23,"East Malaysia",1
2020-05-23,"West Malaysia",47
2020-05-24,"East Malaysia",2
2020-05-24,"West Malaysia",58
2020-05-25,"East Malaysia",4
2020-05-25,"West Malaysia",168
2020-05-26,"East Malaysia",0
2020-05-26,"West Malaysia",187
2020-05-27,"East Malaysia",4
2020-05-27,"West Malaysia",11
2020-05-28,"East Malaysia",0
2020-05-28,"West Malaysia",10
2020-05-29,"East Malaysia",2
2020-05-29,"West Malaysia",101
2020-05-30,"East Malaysia",0
