"regionname","date","cases"
"Lima",2020-03-13,32
"Lima",2020-03-14,37
"Lima",2020-03-15,58
"Lima",2020-03-16,70
"Lima",2020-03-17,96
"Lima",2020-03-18,111
"Lima",2020-03-19,194
"Lima",2020-03-20,212
"Lima",2020-03-21,241
"Lima",2020-03-22,278
"Lima",2020-03-23,307
"Lima",2020-03-24,322
"Lima",2020-03-25,369
"Lima",2020-03-26,453
"Lima",2020-03-27,494
"Lima",2020-03-28,518
"Lima",2020-03-29,639
"Lima",2020-03-30,718
"Lima",2020-03-31,799
"Lima",2020-04-01,990
"Lima",2020-04-02,1059
"Lima",2020-04-03,1179
"Lima",2020-04-04,1257
"Lima",2020-04-05,1639
"Lima",2020-04-06,1837
"Lima",2020-04-07,2100
"Lima",2020-04-08,3016
"Lima",2020-04-09,3704
"Lima",2020-04-10,4210
"Lima",2020-04-11,4933
"Lima",2020-04-12,5456
"Lima",2020-04-13,7458
"Lima",2020-04-14,7476
"Lima",2020-04-15,8412
"Lima",2020-04-16,9107
"Lima",2020-04-17,9793
"Lima",2020-04-18,10234
"Lima",2020-04-19,10877
"Lima",2020-04-20,11297
"Lima",2020-04-21,12256
"Lima",2020-04-22,13214
"Lima",2020-04-23,14300
"Lima",2020-04-24,14814
"Lima",2020-04-25,16567
"Lima",2020-04-26,17884
"Lima",2020-04-27,18571
"Lima",2020-04-28,20048
"Lima",2020-04-29,21854
"Lima",2020-04-30,23561
"Lima",2020-05-01,25718
"Lima",2020-05-02,26908
"Lima",2020-05-03,28990
"Lima",2020-05-04,29842
"Lima",2020-05-05,32339
"Lima",2020-05-06,35299
"Lima",2020-05-07,37606
"Lima",2020-05-08,39837
"Lima",2020-05-09,41844
"Lima",2020-05-10,43284
"Lima",2020-05-11,44333
"Lima",2020-05-12,46507
"Lima",2020-05-13,49605
"Lima",2020-05-14,52545
"Lima",2020-05-15,54901
"Lima",2020-05-16,57473
"Lima",2020-05-17,59712
"Lima",2020-05-18,61197
"Lima",2020-05-19,64278
"Lima",2020-05-20,67060
"Lima",2020-05-21,70155
"Lima",2020-05-22,71719
"Lima",2020-05-23,74037
"Lima",2020-05-24,75716
"Lima",2020-05-25,77486
"Lima",2020-05-26,80882
"Lima",2020-05-27,84994
"Lima",2020-05-28,87478
"Lima",2020-05-29,92057
"Lima",2020-05-30,96583
"Lima",2020-05-31,100526
"Lima",2020-06-01,103020
"Lima",2020-06-02,109078
"Lima",2020-06-03,108323
"Lima",2020-06-04,108680
"Lima",2020-06-05,110161
"Lima",2020-06-06,112974
"Lima",2020-06-07,116159
"Lima",2020-06-08,118036
"Lima",2020-06-09,120183
"Lima",2020-06-10,122883
"Lima",2020-06-11,125640
"Lima",2020-06-12,128700
"Lima",2020-06-13,129865
"Lima",2020-06-14,132186
"Lima",2020-06-15,134008
"Lima",2020-06-16,136464
"Lima",2020-06-17,138203
"Lima",2020-06-18,139869
"Lima",2020-06-19,141512
"Lima",2020-06-20,143017
"Lima",2020-06-21,144623
"Lima",2020-06-22,145466
"Lima",2020-06-23,147372
"Lima",2020-06-24,149377
"Lima",2020-06-25,151225
"Lima",2020-06-26,153068
"Lima",2020-06-27,154713
"Lima",2020-06-28,156172
"Lima",2020-06-29,157050
"Lima",2020-06-30,158189
"Lima",2020-07-01,159403
"Lima",2020-07-02,160901
"Lima",2020-07-03,162211
"Lima",2020-07-04,163824
"Lima",2020-07-05,165307
"Lima",2020-07-06,166653
"Lima",2020-07-07,168366
"Lima",2020-07-08,169986
"Lima",2020-07-09,171458
"Lima",2020-07-10,172854
