"date","mcccityname1","cases"
2020-03-09,"Davao",1
2020-03-09,"Quezon",1
2020-03-11,"Quezon",2
2020-03-12,"Quezon",1
2020-03-13,"Quezon",1
2020-03-14,"Davao",3
2020-03-14,"Quezon",11
2020-03-15,"Davao",3
2020-03-15,"Quezon",6
2020-03-17,"Davao",7
2020-03-17,"Quezon",8
2020-03-18,"Cebu",1
2020-03-18,"Quezon",3
2020-03-19,"Davao",1
2020-03-19,"Quezon",5
2020-03-20,"Davao",1
2020-03-20,"Quezon",7
2020-03-21,"Davao",4
2020-03-21,"Manila",2
2020-03-21,"Quezon",14
2020-03-22,"Davao",7
2020-03-22,"Quezon",12
2020-03-23,"Davao",16
2020-03-23,"Manila",2
2020-03-23,"Quezon",16
2020-03-24,"Davao",7
2020-03-24,"Quezon",13
2020-03-25,"Davao",3
2020-03-25,"Quezon",13
2020-03-26,"Davao",6
2020-03-26,"Quezon",14
2020-03-27,"Davao",10
2020-03-27,"Manila",2
2020-03-27,"Quezon",29
2020-03-28,"Davao",19
2020-03-28,"Manila",1
2020-03-28,"Quezon",53
2020-03-29,"Davao",31
2020-03-29,"Manila",14
2020-03-29,"Quezon",99
2020-03-30,"Davao",11
2020-03-30,"Manila",13
2020-03-30,"Quezon",25
2020-03-31,"Cebu",18
2020-03-31,"Davao",52
2020-03-31,"Quezon",117
2020-04-01,"Cebu",1
2020-04-01,"Davao",13
2020-04-01,"Manila",10
2020-04-01,"Quezon",47
2020-04-02,"Cebu",1
2020-04-02,"Davao",40
2020-04-02,"Quezon",67
2020-04-03,"Davao",45
2020-04-03,"Manila",2
2020-04-03,"Quezon",69
2020-04-04,"Davao",8
2020-04-04,"Manila",5
2020-04-04,"Quezon",11
2020-04-05,"Davao",18
2020-04-05,"Manila",5
2020-04-05,"Quezon",19
2020-04-06,"Cebu",1
2020-04-06,"Davao",44
2020-04-06,"Quezon",79
2020-04-07,"Davao",9
2020-04-07,"Manila",4
2020-04-07,"Quezon",13
2020-04-08,"Davao",8
2020-04-08,"Manila",2
2020-04-08,"Quezon",20
2020-04-09,"Cebu",1
2020-04-09,"Davao",21
2020-04-09,"Manila",3
2020-04-09,"Quezon",30
2020-04-10,"Cebu",1
2020-04-10,"Davao",7
2020-04-10,"Quezon",25
2020-04-11,"Davao",20
2020-04-11,"Quezon",33
2020-04-12,"Cebu",2
2020-04-12,"Davao",18
2020-04-12,"Quezon",33
2020-04-13,"Davao",21
2020-04-13,"Quezon",53
2020-04-14,"Davao",18
2020-04-14,"Manila",3
2020-04-14,"Quezon",37
2020-04-15,"Cebu",6
2020-04-15,"Davao",25
2020-04-15,"Manila",3
2020-04-15,"Quezon",44
2020-04-16,"Cebu",21
2020-04-16,"Davao",17
2020-04-16,"Manila",2
2020-04-16,"Quezon",26
2020-04-17,"Cebu",24
2020-04-17,"Davao",16
2020-04-17,"Manila",1
2020-04-17,"Quezon",30
2020-04-18,"Cebu",1
2020-04-18,"Davao",34
2020-04-18,"Manila",3
2020-04-18,"Quezon",20
2020-04-19,"Cebu",16
2020-04-19,"Davao",13
2020-04-19,"Manila",1
2020-04-19,"Quezon",13
2020-04-20,"Cebu",23
2020-04-20,"Davao",24
2020-04-20,"Manila",6
2020-04-20,"Quezon",25
2020-04-21,"Cebu",42
2020-04-21,"Davao",7
2020-04-21,"Manila",3
2020-04-21,"Quezon",14
2020-04-22,"Cebu",8
2020-04-22,"Davao",11
2020-04-22,"Manila",5
2020-04-22,"Quezon",20
2020-04-23,"Cebu",135
2020-04-23,"Davao",9
2020-04-23,"Manila",1
2020-04-23,"Quezon",30
2020-04-24,"Cebu",20
2020-04-24,"Davao",26
2020-04-24,"Quezon",41
2020-04-25,"Cebu",20
2020-04-25,"Davao",9
2020-04-25,"Manila",1
2020-04-25,"Quezon",19
2020-04-26,"Cebu",63
2020-04-26,"Davao",18
2020-04-26,"Manila",5
2020-04-26,"Quezon",21
2020-04-27,"Cebu",39
2020-04-27,"Davao",8
2020-04-27,"Quezon",26
2020-04-28,"Cebu",27
2020-04-28,"Davao",14
2020-04-28,"Manila",6
2020-04-28,"Quezon",33
2020-04-29,"Cebu",2
2020-04-29,"Davao",35
2020-04-29,"Manila",2
2020-04-29,"Quezon",36
2020-04-30,"Cebu",93
2020-04-30,"Davao",25
2020-04-30,"Quezon",33
2020-05-01,"Cebu",124
2020-05-01,"Davao",8
2020-05-01,"Quezon",22
2020-05-02,"Cebu",70
2020-05-02,"Davao",7
2020-05-02,"Quezon",3
2020-05-03,"Cebu",115
2020-05-03,"Davao",31
2020-05-03,"Manila",11
2020-05-03,"Quezon",23
2020-05-04,"Cebu",24
2020-05-04,"Davao",14
2020-05-04,"Manila",1
2020-05-04,"Quezon",21
2020-05-05,"Cebu",1
2020-05-05,"Davao",22
2020-05-05,"Quezon",50
2020-05-06,"Cebu",99
2020-05-06,"Davao",61
2020-05-06,"Manila",11
2020-05-06,"Quezon",28
2020-05-07,"Cebu",199
2020-05-07,"Davao",27
2020-05-07,"Manila",6
2020-05-07,"Quezon",27
2020-05-08,"Cebu",35
2020-05-08,"Davao",36
2020-05-08,"Manila",1
2020-05-08,"Quezon",20
2020-05-09,"Cebu",16
2020-05-09,"Davao",24
2020-05-09,"Manila",9
2020-05-09,"Quezon",38
2020-05-10,"Cebu",54
2020-05-10,"Davao",7
2020-05-10,"Quezon",39
2020-05-11,"Cebu",74
2020-05-11,"Davao",17
2020-05-11,"Quezon",38
2020-05-12,"Cebu",75
2020-05-12,"Davao",20
2020-05-12,"Manila",1
2020-05-12,"Quezon",35
2020-05-13,"Cebu",48
2020-05-13,"Davao",14
2020-05-13,"Quezon",56
2020-05-14,"Cebu",12
2020-05-14,"Davao",14
2020-05-14,"Manila",7
2020-05-14,"Quezon",36
2020-05-15,"Cebu",1
2020-05-15,"Davao",13
2020-05-15,"Manila",9
2020-05-15,"Quezon",21
2020-05-16,"Davao",18
2020-05-16,"Manila",3
2020-05-16,"Quezon",28
2020-05-17,"Davao",25
2020-05-17,"Quezon",22
2020-05-18,"Cebu",8
2020-05-18,"Davao",11
2020-05-18,"Quezon",20
2020-05-19,"Cebu",7
2020-05-19,"Davao",19
2020-05-19,"Quezon",48
2020-05-20,"Cebu",12
2020-05-20,"Davao",40
2020-05-20,"Quezon",25
2020-05-21,"Cebu",14
2020-05-21,"Davao",15
2020-05-21,"Quezon",8
2020-05-22,"Cebu",34
2020-05-22,"Davao",12
2020-05-22,"Quezon",25
2020-05-23,"Davao",24
2020-05-23,"Manila",38
2020-05-23,"Quezon",25
2020-05-24,"Davao",51
2020-05-24,"Manila",5
2020-05-24,"Quezon",33
2020-05-25,"Cebu",35
2020-05-25,"Davao",12
2020-05-25,"Quezon",10
2020-05-26,"Davao",35
2020-05-26,"Manila",8
2020-05-26,"Quezon",61
2020-05-27,"Davao",35
2020-05-27,"Manila",5
2020-05-27,"Quezon",66
2020-05-28,"Cebu",50
2020-05-28,"Davao",77
2020-05-28,"Manila",18
2020-05-28,"Quezon",98
2020-05-29,"Cebu",20
2020-05-29,"Davao",115
2020-05-29,"Manila",1
2020-05-29,"Quezon",109
2020-05-30,"Cebu",11
2020-05-30,"Davao",45
2020-05-30,"Quezon",27
2020-05-31,"Cebu",101
2020-05-31,"Davao",53
2020-05-31,"Manila",31
2020-05-31,"Quezon",62
2020-06-01,"Cebu",179
2020-06-01,"Davao",37
2020-06-01,"Quezon",56
2020-06-02,"Cebu",81
2020-06-02,"Davao",13
2020-06-02,"Quezon",21
2020-06-03,"Cebu",252
2020-06-03,"Davao",55
2020-06-03,"Manila",7
2020-06-03,"Quezon",72
2020-06-04,"Cebu",128
2020-06-04,"Davao",38
2020-06-04,"Manila",14
2020-06-04,"Quezon",50
2020-06-05,"Cebu",95
2020-06-05,"Davao",10
2020-06-05,"Manila",2
2020-06-05,"Quezon",7
2020-06-06,"Cebu",104
2020-06-06,"Davao",58
2020-06-06,"Manila",1
2020-06-06,"Quezon",39
2020-06-07,"Cebu",184
2020-06-07,"Davao",38
2020-06-07,"Manila",1
2020-06-07,"Quezon",57
2020-06-08,"Cebu",134
2020-06-08,"Davao",36
2020-06-08,"Quezon",40
2020-06-09,"Cebu",84
2020-06-09,"Davao",56
2020-06-09,"Manila",1
2020-06-09,"Quezon",34
2020-06-10,"Cebu",63
2020-06-10,"Davao",56
2020-06-10,"Manila",2
2020-06-10,"Quezon",46
2020-06-11,"Cebu",77
2020-06-11,"Davao",31
2020-06-11,"Manila",4
2020-06-11,"Quezon",30
2020-06-12,"Cebu",93
2020-06-12,"Davao",87
2020-06-12,"Manila",8
2020-06-12,"Quezon",50
2020-06-13,"Cebu",65
2020-06-13,"Davao",47
2020-06-13,"Manila",20
2020-06-13,"Quezon",62
2020-06-14,"Cebu",74
2020-06-14,"Davao",34
2020-06-14,"Manila",1
2020-06-14,"Quezon",48
2020-06-15,"Cebu",58
2020-06-15,"Davao",39
2020-06-15,"Manila",10
2020-06-15,"Quezon",46
2020-06-16,"Cebu",47
2020-06-16,"Davao",39
2020-06-16,"Manila",6
2020-06-16,"Quezon",34
2020-06-17,"Cebu",118
2020-06-17,"Davao",52
2020-06-17,"Quezon",26
2020-06-18,"Cebu",233
2020-06-18,"Davao",20
2020-06-18,"Quezon",58
2020-06-19,"Cebu",103
2020-06-19,"Davao",63
2020-06-19,"Manila",4
2020-06-19,"Quezon",69
2020-06-20,"Cebu",239
2020-06-20,"Davao",45
2020-06-20,"Quezon",75
2020-06-21,"Cebu",190
2020-06-21,"Davao",29
2020-06-21,"Manila",6
2020-06-21,"Quezon",47
2020-06-22,"Cebu",131
2020-06-22,"Davao",29
2020-06-22,"Quezon",20
2020-06-23,"Cebu",157
2020-06-23,"Davao",75
2020-06-23,"Manila",22
2020-06-23,"Quezon",125
2020-06-24,"Cebu",46
2020-06-24,"Davao",44
2020-06-24,"Quezon",80
2020-06-25,"Cebu",69
2020-06-25,"Davao",98
2020-06-25,"Manila",1
2020-06-25,"Quezon",73
2020-06-26,"Cebu",134
2020-06-26,"Davao",42
2020-06-26,"Manila",5
2020-06-26,"Quezon",75
2020-06-27,"Cebu",112
2020-06-27,"Davao",44
2020-06-27,"Manila",5
2020-06-27,"Quezon",68
2020-06-28,"Cebu",77
2020-06-28,"Davao",60
2020-06-28,"Manila",2
2020-06-28,"Quezon",30
2020-06-29,"Cebu",67
2020-06-29,"Davao",54
2020-06-29,"Manila",1
2020-06-29,"Quezon",92
2020-06-30,"Cebu",257
2020-06-30,"Davao",58
2020-06-30,"Manila",7
2020-06-30,"Quezon",113
2020-07-01,"Cebu",153
2020-07-01,"Davao",45
2020-07-01,"Quezon",69
2020-07-02,"Cebu",3
2020-07-02,"Davao",6
2020-07-02,"Quezon",11
2020-07-03,"Cebu",151
2020-07-03,"Davao",54
2020-07-03,"Manila",2
2020-07-03,"Quezon",93
2020-07-04,"Cebu",105
2020-07-04,"Davao",105
2020-07-04,"Manila",30
2020-07-04,"Quezon",117
2020-07-05,"Cebu",197
2020-07-05,"Davao",136
2020-07-05,"Manila",12
2020-07-05,"Quezon",236
2020-07-06,"Cebu",192
2020-07-06,"Davao",139
2020-07-06,"Manila",2
2020-07-06,"Quezon",159
2020-07-07,"Cebu",61
2020-07-07,"Davao",146
2020-07-07,"Manila",7
2020-07-07,"Quezon",149
2020-07-08,"Cebu",205
2020-07-08,"Davao",145
2020-07-08,"Manila",1
2020-07-08,"Quezon",227
2020-07-09,"Cebu",134
2020-07-09,"Davao",63
2020-07-09,"Manila",12
2020-07-09,"Quezon",140
2020-07-10,"Cebu",12
2020-07-10,"Davao",87
2020-07-10,"Manila",7
2020-07-10,"Quezon",116
2020-07-11,"Cebu",21
2020-07-11,"Davao",110
2020-07-11,"Manila",28
2020-07-11,"Quezon",120
2020-07-12,"Cebu",82
2020-07-12,"Davao",172
2020-07-12,"Manila",16
2020-07-12,"Quezon",138
2020-07-13,"Cebu",5
2020-07-13,"Davao",57
2020-07-13,"Manila",13
2020-07-13,"Quezon",103
2020-07-14,"Cebu",21
2020-07-14,"Davao",29
2020-07-14,"Manila",15
2020-07-14,"Quezon",45
2020-07-15,"Cebu",84
2020-07-15,"Davao",65
2020-07-15,"Manila",3
2020-07-15,"Quezon",120
2020-07-16,"Cebu",68
2020-07-16,"Davao",548
2020-07-16,"Manila",38
2020-07-16,"Quezon",159
2020-07-17,"Cebu",78
2020-07-17,"Davao",270
2020-07-17,"Manila",9
2020-07-17,"Quezon",170
2020-07-18,"Cebu",17
2020-07-18,"Davao",395
2020-07-18,"Manila",24
2020-07-18,"Quezon",429
2020-07-19,"Cebu",26
2020-07-19,"Davao",409
2020-07-19,"Manila",8
2020-07-19,"Quezon",240
2020-07-20,"Cebu",2
