"date","regionname","cases"
2020-03-10,"Cape Town",1
2020-03-11,"Cape Town",2
2020-03-12,"Cape Town",6
2020-03-13,"Cape Town",3
2020-03-14,"Cape Town",2
2020-03-15,"Cape Town",2
2020-03-16,"Cape Town",28
2020-03-17,"Cape Town",24
2020-03-18,"Cape Town",24
2020-03-19,"Cape Town",23
2020-03-20,"Cape Town",22
2020-03-21,"Cape Town",21
2020-03-22,"Cape Town",4
2020-03-23,"Cape Town",39
2020-03-24,"Cape Town",20
2020-03-25,"Cape Town",20
2020-03-26,"Cape Town",16
2020-03-27,"Cape Town",20
2020-03-28,"Cape Town",13
2020-03-29,"Cape Town",6
2020-03-30,"Cape Town",26
2020-03-31,"Cape Town",12
2020-04-01,"Cape Town",11
2020-04-02,"Cape Town",14
2020-04-03,"Cape Town",23
2020-04-04,"Cape Town",7
2020-04-05,"Cape Town",14
2020-04-06,"Cape Town",9
2020-04-07,"Cape Town",18
2020-04-08,"Cape Town",33
2020-04-09,"Cape Town",40
2020-04-10,"Cape Town",17
2020-04-11,"Cape Town",10
2020-04-12,"Cape Town",8
2020-04-13,"Cape Town",8
2020-04-14,"Cape Town",21
2020-04-15,"Cape Town",26
2020-04-16,"Cape Town",104
2020-04-17,"Cape Town",82
2020-04-18,"Cape Town",37
2020-04-19,"Cape Town",39
2020-04-20,"Cape Town",90
2020-04-21,"Cape Town",162
2020-04-22,"Cape Town",134
2020-04-23,"Cape Town",134
2020-04-24,"Cape Town",150
2020-04-25,"Cape Town",123
2020-04-26,"Cape Town",130
2020-04-27,"Cape Town",107
2020-04-28,"Cape Town",182
2020-04-29,"Cape Town",214
2020-04-30,"Cape Town",151
2020-05-01,"Cape Town",158
2020-05-02,"Cape Town",176
2020-05-03,"Cape Town",203
2020-05-04,"Cape Town",355
2020-05-05,"Cape Town",467
2020-05-06,"Cape Town",508
2020-05-07,"Cape Town",481
2020-05-08,"Cape Town",477
2020-05-09,"Cape Town",538
2020-05-10,"Cape Town",471
2020-05-11,"Cape Town",550
2020-05-12,"Cape Town",639
2020-05-13,"Cape Town",608
2020-05-14,"Cape Town",620
2020-05-15,"Cape Town",569
2020-05-16,"Cape Town",528
2020-05-17,"Cape Town",503
2020-05-18,"Cape Town",839
2020-05-19,"Cape Town",897
2020-05-20,"Cape Town",900
2020-05-21,"Cape Town",889
2020-05-22,"Cape Town",829
2020-05-23,"Cape Town",648
2020-05-24,"Cape Town",373
2020-05-25,"Cape Town",754
2020-05-26,"Cape Town",928
2020-05-27,"Cape Town",931
2020-05-28,"Cape Town",976
2020-05-29,"Cape Town",1066
2020-05-30,"Cape Town",748
2020-05-31,"Cape Town",629
2020-06-01,"Cape Town",1088
2020-06-02,"Cape Town",1110
2020-06-03,"Cape Town",1063
2020-06-04,"Cape Town",1018
2020-06-05,"Cape Town",931
2020-06-06,"Cape Town",755
2020-06-07,"Cape Town",517
2020-06-08,"Cape Town",856
2020-06-09,"Cape Town",1057
2020-06-10,"Cape Town",832
2020-06-11,"Cape Town",795
2020-06-12,"Cape Town",818
2020-06-13,"Cape Town",437
2020-06-14,"Cape Town",250
2020-06-15,"Cape Town",1099
2020-06-16,"Cape Town",358
2020-06-17,"Cape Town",947
2020-06-18,"Cape Town",950
2020-06-19,"Cape Town",909
2020-06-20,"Cape Town",526
2020-06-21,"Cape Town",343
2020-06-22,"Cape Town",1111
2020-06-23,"Cape Town",1064
2020-06-24,"Cape Town",1078
2020-06-25,"Cape Town",923
2020-06-26,"Cape Town",831
2020-06-27,"Cape Town",372
2020-06-28,"Cape Town",323
2020-06-29,"Cape Town",1128
2020-06-30,"Cape Town",1003
2020-07-01,"Cape Town",872
2020-07-02,"Cape Town",825
2020-07-03,"Cape Town",844
2020-07-04,"Cape Town",424
2020-07-05,"Cape Town",346
2020-07-06,"Cape Town",858
2020-07-07,"Cape Town",723
2020-07-08,"Cape Town",627
2020-07-09,"Cape Town",609
2020-07-10,"Cape Town",578
2020-07-11,"Cape Town",281
