"date","regionname","cases"
2022-08-10,"North East",2190
2022-08-09,"North East",0
2022-08-08,"North East",0
2022-08-07,"North East",0
2022-08-06,"North East",0
2022-08-05,"North East",0
2022-08-04,"North East",0
2022-08-03,"North East",2760
2022-08-02,"North East",0
2022-08-01,"North East",0
2022-07-31,"North East",0
2022-07-30,"North East",0
2022-07-29,"North East",0
2022-07-28,"North East",0
2022-07-27,"North East",3814
2022-07-26,"North East",0
2022-07-25,"North East",0
2022-07-24,"North East",0
2022-07-23,"North East",0
2022-07-22,"North East",0
2022-07-21,"North East",0
2022-07-20,"North East",5569
2022-07-19,"North East",0
2022-07-18,"North East",0
2022-07-17,"North East",0
2022-07-16,"North East",0
2022-07-15,"North East",0
2022-07-14,"North East",0
2022-07-13,"North East",7079
2022-07-12,"North East",0
2022-07-11,"North East",0
2022-07-10,"North East",0
2022-07-09,"North East",0
2022-07-08,"North East",0
2022-07-07,"North East",0
2022-07-06,"North East",5005
2022-07-05,"North East",0
2022-07-04,"North East",0
2022-07-03,"North East",0
2022-07-02,"North East",0
2022-07-01,"North East",810
2022-06-30,"North East",982
2022-06-29,"North East",973
2022-06-28,"North East",969
2022-06-27,"North East",2395
2022-06-26,"North East",0
2022-06-25,"North East",0
2022-06-24,"North East",794
2022-06-23,"North East",825
2022-06-22,"North East",953
2022-06-21,"North East",865
2022-06-20,"North East",1792
2022-06-19,"North East",0
2022-06-18,"North East",0
2022-06-17,"North East",637
2022-06-16,"North East",619
2022-06-15,"North East",720
2022-06-14,"North East",652
2022-06-13,"North East",1441
2022-06-12,"North East",0
2022-06-11,"North East",0
2022-06-10,"North East",489
2022-06-09,"North East",507
2022-06-08,"North East",472
2022-06-07,"North East",530
2022-06-06,"North East",1375
2022-06-05,"North East",0
2022-06-04,"North East",0
2022-06-03,"North East",0
2022-06-02,"North East",0
2022-06-01,"North East",227
2022-05-31,"North East",279
2022-05-30,"North East",665
2022-05-29,"North East",0
2022-05-28,"North East",0
2022-05-27,"North East",223
2022-05-26,"North East",268
2022-05-25,"North East",293
2022-05-24,"North East",346
2022-05-23,"North East",760
2022-05-22,"North East",0
2022-05-21,"North East",0
2022-05-20,"North East",348
2022-05-19,"North East",320
2022-05-18,"North East",393
2022-05-17,"North East",433
2022-05-16,"North East",923
2022-05-15,"North East",0
2022-05-14,"North East",0
2022-05-13,"North East",369
2022-05-12,"North East",397
2022-05-11,"North East",463
2022-05-10,"North East",510
2022-05-09,"North East",1149
2022-05-08,"North East",0
2022-05-07,"North East",0
2022-05-06,"North East",556
2022-05-05,"North East",610
2022-05-04,"North East",838
2022-05-03,"North East",1680
2022-05-02,"North East",0
2022-05-01,"North East",0
2022-04-30,"North East",0
2022-04-29,"North East",557
2022-04-28,"North East",584
2022-04-27,"North East",1579
2022-04-26,"North East",0
2022-04-25,"North East",2190
2022-04-24,"North East",0
2022-04-23,"North East",0
2022-04-22,"North East",856
2022-04-21,"North East",1045
2022-04-20,"North East",1156
2022-04-19,"North East",5099
2022-04-18,"North East",0
2022-04-17,"North East",0
2022-04-16,"North East",0
2022-04-15,"North East",0
2022-04-14,"North East",1468
2022-04-13,"North East",1521
2022-04-12,"North East",1771
2022-04-11,"North East",3700
2022-04-10,"North East",0
2022-04-09,"North East",0
2022-04-08,"North East",1807
2022-04-07,"North East",2030
2022-04-06,"North East",2297
2022-04-05,"North East",2224
2022-04-04,"North East",5818
2022-04-03,"North East",0
2022-04-02,"North East",0
2022-04-01,"North East",3001
2022-03-31,"North East",3022
2022-03-30,"North East",3852
2022-03-29,"North East",2958
2022-03-28,"North East",8202
2022-03-27,"North East",0
2022-03-26,"North East",0
2022-03-25,"North East",2714
2022-03-24,"North East",3934
2022-03-23,"North East",3767
2022-03-22,"North East",2884
2022-03-21,"North East",6823
2022-03-20,"North East",0
2022-03-19,"North East",0
2022-03-18,"North East",2526
2022-03-17,"North East",2752
2022-03-16,"North East",2827
2022-03-15,"North East",2232
2022-03-14,"North East",5250
2022-03-13,"North East",0
2022-03-12,"North East",0
2022-03-11,"North East",1483
2022-03-10,"North East",1658
2022-03-09,"North East",1610
2022-03-08,"North East",1452
2022-03-07,"North East",2825
2022-03-06,"North East",0
2022-03-05,"North East",0
2022-03-04,"North East",1157
2022-03-03,"North East",1033
2022-03-02,"North East",1162
2022-03-01,"North East",960
2022-02-28,"North East",2092
2022-02-27,"North East",0
2022-02-26,"North East",0
2022-02-25,"North East",801
2022-02-24,"North East",930
2022-02-23,"North East",968
2022-02-22,"North East",915
2022-02-21,"North East",834
2022-02-20,"North East",889
2022-02-19,"North East",1091
2022-02-18,"North East",1330
2022-02-17,"North East",1496
2022-02-16,"North East",1531
2022-02-15,"North East",1467
2022-02-14,"North East",1282
2022-02-13,"North East",1164
2022-02-12,"North East",1417
2022-02-11,"North East",1653
2022-02-10,"North East",2055
2022-02-09,"North East",2141
2022-02-08,"North East",2211
2022-02-07,"North East",1828
2022-02-06,"North East",1793
2022-02-05,"North East",2246
2022-02-04,"North East",2806
2022-02-03,"North East",3311
2022-02-02,"North East",3582
2022-02-01,"North East",4716
2022-01-31,"North East",48651
2022-01-30,"North East",2203
2022-01-29,"North East",2818
2022-01-28,"North East",3424
2022-01-27,"North East",3860
2022-01-26,"North East",4415
2022-01-25,"North East",4234
2022-01-24,"North East",3726
2022-01-23,"North East",3545
2022-01-22,"North East",3814
2022-01-21,"North East",4847
2022-01-20,"North East",5237
2022-01-19,"North East",5903
2022-01-18,"North East",5809
2022-01-17,"North East",4397
2022-01-16,"North East",4253
2022-01-15,"North East",4874
2022-01-14,"North East",5907
2022-01-13,"North East",7450
2022-01-12,"North East",9987
2022-01-11,"North East",7634
2022-01-10,"North East",8200
2022-01-09,"North East",10167
2022-01-08,"North East",7207
2022-01-07,"North East",10162
2022-01-06,"North East",9997
2022-01-05,"North East",9909
2022-01-04,"North East",10252
2022-01-03,"North East",7311
2022-01-02,"North East",7474
2022-01-01,"North East",10935
2021-12-31,"North East",6991
2021-12-30,"North East",6250
2021-12-29,"North East",5247
2021-12-28,"North East",4339
2021-12-27,"North East",3190
2021-12-26,"North East",3505
2021-12-25,"North East",3356
2021-12-24,"North East",2942
2021-12-23,"North East",2795
2021-12-22,"North East",2276
2021-12-21,"North East",2322
2021-12-20,"North East",1702
2021-12-19,"North East",1502
2021-12-18,"North East",1503
2021-12-17,"North East",2513
2021-12-16,"North East",1754
2021-12-15,"North East",1760
2021-12-14,"North East",1391
2021-12-13,"North East",1358
2021-12-12,"North East",1212
2021-12-11,"North East",1688
2021-12-10,"North East",2042
2021-12-09,"North East",1496
2021-12-08,"North East",1440
2021-12-07,"North East",1413
2021-12-06,"North East",1038
2021-12-05,"North East",1437
2021-12-04,"North East",1489
2021-12-03,"North East",1691
2021-12-02,"North East",1038
2021-12-01,"North East",1886
2021-11-30,"North East",1610
2021-11-29,"North East",1358
2021-11-28,"North East",1251
2021-11-27,"North East",1209
2021-11-26,"North East",1663
2021-11-25,"North East",1112
2021-11-24,"North East",1720
2021-11-23,"North East",2146
2021-11-22,"North East",1635
2021-11-21,"North East",1255
2021-11-20,"North East",1502
2021-11-19,"North East",1556
2021-11-18,"North East",1554
2021-11-17,"North East",1501
2021-11-16,"North East",1131
2021-11-15,"North East",1385
2021-11-14,"North East",1504
2021-11-13,"North East",1481
2021-11-12,"North East",1540
2021-11-11,"North East",1558
2021-11-10,"North East",1586
2021-11-09,"North East",1566
2021-11-08,"North East",1099
2021-11-07,"North East",1222
2021-11-06,"North East",1323
2021-11-05,"North East",1672
2021-11-04,"North East",1531
2021-11-03,"North East",1616
2021-11-02,"North East",1759
2021-11-01,"North East",1819
2021-10-31,"North East",1619
2021-10-30,"North East",1923
2021-10-29,"North East",2071
2021-10-28,"North East",1884
2021-10-27,"North East",2075
2021-10-26,"North East",1850
2021-10-25,"North East",1430
2021-10-24,"North East",1610
2021-10-23,"North East",2353
2021-10-22,"North East",2037
2021-10-21,"North East",2256
2021-10-20,"North East",1818
2021-10-19,"North East",2014
2021-10-18,"North East",1668
2021-10-17,"North East",1562
2021-10-16,"North East",1720
2021-10-15,"North East",1756
2021-10-14,"North East",2166
2021-10-13,"North East",1745
2021-10-12,"North East",1914
2021-10-11,"North East",1304
2021-10-10,"North East",1555
2021-10-09,"North East",1380
2021-10-08,"North East",1551
2021-10-07,"North East",1718
2021-10-06,"North East",1440
2021-10-05,"North East",1401
2021-10-04,"North East",1272
2021-10-03,"North East",1081
2021-10-02,"North East",1301
2021-10-01,"North East",1122
2021-09-30,"North East",1217
2021-09-29,"North East",1361
2021-09-28,"North East",1727
2021-09-27,"North East",1315
2021-09-26,"North East",1222
2021-09-25,"North East",1121
2021-09-24,"North East",1432
2021-09-23,"North East",1472
2021-09-22,"North East",1546
2021-09-21,"North East",1230
2021-09-20,"North East",1432
2021-09-19,"North East",1043
