"regionname,""date"",""cases"""
Alabama,2020-01-01,11
Arkansas,2020-01-01,1
Arizona,2020-01-01,2
California,2020-01-01,23
Colorado,2020-01-01,7
Connecticut,2020-01-01,1
District of Columbia,2020-01-01,2
Florida,2020-01-01,23
Georgia,2020-01-01,499
Iowa,2020-01-01,31
Illinois,2020-01-01,1
Indiana,2020-01-01,1
Kentucky,2020-01-01,8
Louisiana,2020-01-01,5
Massachusetts,2020-01-01,8
Maryland,2020-01-01,3
Maine,2020-01-01,2
Michigan,2020-01-01,14
Missouri,2020-01-01,7
North Carolina,2020-01-01,4
Nebraska,2020-01-01,4
New Jersey,2020-01-01,12
New Mexico,2020-01-01,1
Nevada,2020-01-01,8
New York,2020-01-01,52
Ohio,2020-01-01,3
Oklahoma,2020-01-01,7
Pennsylvania,2020-01-01,3
South Carolina,2020-01-01,12
South Dakota,2020-01-01,4
Tennessee,2020-01-01,25
Texas,2020-01-01,210
Washington,2020-01-01,2
Wisconsin,2020-01-01,6
Alabama,2020-01-02,6
Arizona,2020-01-02,3
California,2020-01-02,31
Colorado,2020-01-02,5
Florida,2020-01-02,9
Georgia,2020-01-02,17
Iowa,2020-01-02,5
Illinois,2020-01-02,15
Indiana,2020-01-02,3
Kansas,2020-01-02,1
Kentucky,2020-01-02,8
Louisiana,2020-01-02,3
Massachusetts,2020-01-02,4
Maryland,2020-01-02,1
Michigan,2020-01-02,5
Missouri,2020-01-02,8
North Carolina,2020-01-02,10
North Dakota,2020-01-02,1
Nebraska,2020-01-02,9
New Jersey,2020-01-02,11
New Mexico,2020-01-02,2
Nevada,2020-01-02,12
New York,2020-01-02,23
Ohio,2020-01-02,7
Oklahoma,2020-01-02,11
Pennsylvania,2020-01-02,1
PR,2020-01-02,1
South Carolina,2020-01-02,15
South Dakota,2020-01-02,3
Tennessee,2020-01-02,21
Texas,2020-01-02,208
Washington,2020-01-02,1
Wisconsin,2020-01-02,3
Alabama,2020-01-03,5
Arizona,2020-01-03,4
California,2020-01-03,21
Colorado,2020-01-03,5
Connecticut,2020-01-03,1
Florida,2020-01-03,9
Georgia,2020-01-03,23
Hawaii,2020-01-03,1
Iowa,2020-01-03,9
Illinois,2020-01-03,2
Indiana,2020-01-03,2
Kansas,2020-01-03,2
Kentucky,2020-01-03,5
Louisiana,2020-01-03,1
Massachusetts,2020-01-03,4
Maryland,2020-01-03,1
Maine,2020-01-03,1
Michigan,2020-01-03,5
Missouri,2020-01-03,4
Mississippi,2020-01-03,1
North Carolina,2020-01-03,4
Nebraska,2020-01-03,2
New Jersey,2020-01-03,11
Nevada,2020-01-03,10
New York,2020-01-03,13
Ohio,2020-01-03,2
Oklahoma,2020-01-03,13
Pennsylvania,2020-01-03,2
South Carolina,2020-01-03,9
South Dakota,2020-01-03,1
Tennessee,2020-01-03,12
Texas,2020-01-03,214
Utah,2020-01-03,2
Washington,2020-01-03,1
Alabama,2020-01-04,3
Arkansas,2020-01-04,1
Arizona,2020-01-04,5
California,2020-01-04,36
Colorado,2020-01-04,1
Florida,2020-01-04,6
Georgia,2020-01-04,16
Guam,2020-01-04,1
Iowa,2020-01-04,10
Illinois,2020-01-04,2
Indiana,2020-01-04,2
Kentucky,2020-01-04,6
Louisiana,2020-01-04,3
Massachusetts,2020-01-04,2
Maryland,2020-01-04,2
Maine,2020-01-04,2
Michigan,2020-01-04,12
Missouri,2020-01-04,10
North Carolina,2020-01-04,8
Nebraska,2020-01-04,3
New Jersey,2020-01-04,10
New Mexico,2020-01-04,2
Nevada,2020-01-04,12
New York,2020-01-04,113
Ohio,2020-01-04,5
Oklahoma,2020-01-04,18
Pennsylvania,2020-01-04,6
PR,2020-01-04,1
South Carolina,2020-01-04,9
South Dakota,2020-01-04,7
Tennessee,2020-01-04,12
Texas,2020-01-04,160
Utah,2020-01-04,1
Washington,2020-01-04,3
Alabama,2020-01-05,2
Arkansas,2020-01-05,1
Arizona,2020-01-05,4
California,2020-01-05,48
Colorado,2020-01-05,2
Florida,2020-01-05,1
Georgia,2020-01-05,11
Iowa,2020-01-05,2
Illinois,2020-01-05,1
Kansas,2020-01-05,1
Kentucky,2020-01-05,5
Louisiana,2020-01-05,1
Massachusetts,2020-01-05,2
Maryland,2020-01-05,2
Maine,2020-01-05,1
Michigan,2020-01-05,3
Missouri,2020-01-05,4
North Carolina,2020-01-05,5
Nebraska,2020-01-05,3
New Jersey,2020-01-05,8
Nevada,2020-01-05,6
New York,2020-01-05,39
Ohio,2020-01-05,9
Oklahoma,2020-01-05,10
Pennsylvania,2020-01-05,8
PR,2020-01-05,1
South Carolina,2020-01-05,4
South Dakota,2020-01-05,3
Tennessee,2020-01-05,9
Texas,2020-01-05,88
Washington,2020-01-05,1
Wisconsin,2020-01-05,1
Alaska,2020-01-06,1
Alabama,2020-01-06,3
Arkansas,2020-01-06,1
Arizona,2020-01-06,1
California,2020-01-06,36
Colorado,2020-01-06,2
Connecticut,2020-01-06,7
District of Columbia,2020-01-06,1
Florida,2020-01-06,9
Georgia,2020-01-06,11
Iowa,2020-01-06,6
Kentucky,2020-01-06,8
Louisiana,2020-01-06,1
Massachusetts,2020-01-06,6
Maryland,2020-01-06,1
Michigan,2020-01-06,9
Missouri,2020-01-06,3
North Carolina,2020-01-06,7
Nebraska,2020-01-06,3
New Jersey,2020-01-06,10
New Mexico,2020-01-06,1
Nevada,2020-01-06,7
New York,2020-01-06,36
Ohio,2020-01-06,11
Oklahoma,2020-01-06,7
Pennsylvania,2020-01-06,2
South Carolina,2020-01-06,4
South Dakota,2020-01-06,3
Tennessee,2020-01-06,7
Texas,2020-01-06,41
Virginia,2020-01-06,1
Washington,2020-01-06,2
Alabama,2020-01-07,4
Arkansas,2020-01-07,3
Arizona,2020-01-07,2
California,2020-01-07,17
Colorado,2020-01-07,1
Connecticut,2020-01-07,6
Florida,2020-01-07,5
Georgia,2020-01-07,5
Iowa,2020-01-07,2
Indiana,2020-01-07,1
Kentucky,2020-01-07,5
Massachusetts,2020-01-07,2
Maine,2020-01-07,1
Michigan,2020-01-07,3
Missouri,2020-01-07,3
North Carolina,2020-01-07,2
Nebraska,2020-01-07,1
New Jersey,2020-01-07,10
Nevada,2020-01-07,2
New York,2020-01-07,13
Ohio,2020-01-07,3
Oklahoma,2020-01-07,8
Pennsylvania,2020-01-07,3
PR,2020-01-07,2
South Carolina,2020-01-07,7
South Dakota,2020-01-07,2
Tennessee,2020-01-07,7
Texas,2020-01-07,22
Washington,2020-01-07,1
Alabama,2020-01-08,1
Arizona,2020-01-08,1
California,2020-01-08,4
Colorado,2020-01-08,2
Florida,2020-01-08,3
Georgia,2020-01-08,3
Iowa,2020-01-08,3
Illinois,2020-01-08,1
Kentucky,2020-01-08,2
Massachusetts,2020-01-08,1
Maine,2020-01-08,2
Michigan,2020-01-08,3
Missouri,2020-01-08,4
North Carolina,2020-01-08,2
Nebraska,2020-01-08,3
New Jersey,2020-01-08,13
Nevada,2020-01-08,3
New York,2020-01-08,20
Ohio,2020-01-08,5
Oklahoma,2020-01-08,7
Pennsylvania,2020-01-08,1
South Carolina,2020-01-08,3
Tennessee,2020-01-08,2
Texas,2020-01-08,14
Utah,2020-01-08,3
Washington,2020-01-08,1
Alabama,2020-01-09,3
Arizona,2020-01-09,1
California,2020-01-09,2
Connecticut,2020-01-09,1
Florida,2020-01-09,2
Georgia,2020-01-09,2
Hawaii,2020-01-09,1
Iowa,2020-01-09,1
Indiana,2020-01-09,1
Kansas,2020-01-09,1
Kentucky,2020-01-09,4
Massachusetts,2020-01-09,1
Maryland,2020-01-09,1
Michigan,2020-01-09,2
Missouri,2020-01-09,2
North Carolina,2020-01-09,1
New Jersey,2020-01-09,8
Nevada,2020-01-09,2
New York,2020-01-09,7
Oklahoma,2020-01-09,17
South Carolina,2020-01-09,2
Tennessee,2020-01-09,2
Texas,2020-01-09,16
Utah,2020-01-09,2
Wisconsin,2020-01-09,2
Alabama,2020-01-10,5
Arizona,2020-01-10,1
California,2020-01-10,2
Colorado,2020-01-10,1
Florida,2020-01-10,4
Georgia,2020-01-10,1
Iowa,2020-01-10,6
Illinois,2020-01-10,1
Kentucky,2020-01-10,2
Louisiana,2020-01-10,2
Massachusetts,2020-01-10,5
Maryland,2020-01-10,1
Michigan,2020-01-10,4
Missouri,2020-01-10,3
North Carolina,2020-01-10,2
New Jersey,2020-01-10,10
Nevada,2020-01-10,2
New York,2020-01-10,14
Ohio,2020-01-10,5
Oklahoma,2020-01-10,21
Pennsylvania,2020-01-10,2
PR,2020-01-10,2
South Carolina,2020-01-10,4
South Dakota,2020-01-10,2
Tennessee,2020-01-10,10
Texas,2020-01-10,17
Utah,2020-01-10,1
Washington,2020-01-10,1
Alabama,2020-01-11,8
Arkansas,2020-01-11,1
Arizona,2020-01-11,3
California,2020-01-11,5
Colorado,2020-01-11,2
Georgia,2020-01-11,2
Iowa,2020-01-11,1
Illinois,2020-01-11,2
Indiana,2020-01-11,1
Kentucky,2020-01-11,1
Massachusetts,2020-01-11,4
Michigan,2020-01-11,3
Missouri,2020-01-11,2
Nebraska,2020-01-11,1
New Jersey,2020-01-11,11
Nevada,2020-01-11,2
New York,2020-01-11,1
Ohio,2020-01-11,5
Oklahoma,2020-01-11,17
Pennsylvania,2020-01-11,2
South Carolina,2020-01-11,1
South Dakota,2020-01-11,1
Tennessee,2020-01-11,1
Texas,2020-01-11,20
Washington,2020-01-11,3
Wisconsin,2020-01-11,2
Alabama,2020-01-12,7
Arizona,2020-01-12,4
California,2020-01-12,3
Colorado,2020-01-12,1
Connecticut,2020-01-12,2
District of Columbia,2020-01-12,1
Florida,2020-01-12,5
Georgia,2020-01-12,3
Guam,2020-01-12,1
Iowa,2020-01-12,4
Indiana,2020-01-12,1
Kansas,2020-01-12,1
Kentucky,2020-01-12,1
Louisiana,2020-01-12,1
Massachusetts,2020-01-12,3
Maryland,2020-01-12,1
Maine,2020-01-12,3
Michigan,2020-01-12,3
Missouri,2020-01-12,3
Mississippi,2020-01-12,1
North Carolina,2020-01-12,2
Nebraska,2020-01-12,2
New Jersey,2020-01-12,9
New Mexico,2020-01-12,2
Nevada,2020-01-12,5
New York,2020-01-12,12
Ohio,2020-01-12,4
Oklahoma,2020-01-12,12
Pennsylvania,2020-01-12,1
PR,2020-01-12,1
South Carolina,2020-01-12,1
