"date","regionname","cases"
2022-08-31,"Scotland",3697
2022-08-30,"Scotland",0
2022-08-29,"Scotland",0
2022-08-28,"Scotland",0
2022-08-27,"Scotland",0
2022-08-26,"Scotland",0
2022-08-25,"Scotland",0
2022-08-24,"Scotland",3875
2022-08-23,"Scotland",0
2022-08-22,"Scotland",0
2022-08-21,"Scotland",0
2022-08-20,"Scotland",0
2022-08-19,"Scotland",0
2022-08-18,"Scotland",0
2022-08-17,"Scotland",4375
2022-08-16,"Scotland",0
2022-08-15,"Scotland",0
2022-08-14,"Scotland",0
2022-08-13,"Scotland",0
2022-08-12,"Scotland",0
2022-08-11,"Scotland",0
2022-08-10,"Scotland",5149
2022-08-09,"Scotland",0
2022-08-08,"Scotland",0
2022-08-07,"Scotland",0
2022-08-06,"Scotland",0
2022-08-05,"Scotland",0
2022-08-04,"Scotland",0
2022-08-03,"Scotland",6505
2022-08-02,"Scotland",0
2022-08-01,"Scotland",0
2022-07-31,"Scotland",0
2022-07-30,"Scotland",0
2022-07-29,"Scotland",0
2022-07-28,"Scotland",0
2022-07-27,"Scotland",9096
2022-07-26,"Scotland",0
2022-07-25,"Scotland",0
2022-07-24,"Scotland",0
2022-07-23,"Scotland",0
2022-07-22,"Scotland",0
2022-07-21,"Scotland",0
2022-07-20,"Scotland",12795
2022-07-19,"Scotland",0
2022-07-18,"Scotland",0
2022-07-17,"Scotland",0
2022-07-16,"Scotland",0
2022-07-15,"Scotland",0
2022-07-14,"Scotland",0
2022-07-13,"Scotland",17688
2022-07-12,"Scotland",0
2022-07-11,"Scotland",0
2022-07-10,"Scotland",0
2022-07-09,"Scotland",0
2022-07-08,"Scotland",0
2022-07-07,"Scotland",0
2022-07-06,"Scotland",22798
2022-07-05,"Scotland",0
2022-07-04,"Scotland",0
2022-07-03,"Scotland",0
2022-07-02,"Scotland",0
2022-07-01,"Scotland",0
2022-06-30,"Scotland",0
2022-06-29,"Scotland",14476
2022-06-28,"Scotland",0
2022-06-27,"Scotland",0
2022-06-26,"Scotland",0
2022-06-25,"Scotland",0
2022-06-24,"Scotland",0
2022-06-23,"Scotland",0
2022-06-22,"Scotland",15528
2022-06-21,"Scotland",0
2022-06-20,"Scotland",0
2022-06-19,"Scotland",0
2022-06-18,"Scotland",0
2022-06-17,"Scotland",0
2022-06-16,"Scotland",0
2022-06-15,"Scotland",11905
2022-06-14,"Scotland",0
2022-06-13,"Scotland",0
2022-06-12,"Scotland",0
2022-06-11,"Scotland",0
2022-06-10,"Scotland",0
2022-06-09,"Scotland",0
2022-06-08,"Scotland",4588
2022-06-07,"Scotland",0
2022-06-06,"Scotland",0
2022-06-05,"Scotland",0
2022-06-04,"Scotland",0
2022-06-03,"Scotland",0
2022-06-02,"Scotland",3653
2022-06-01,"Scotland",0
2022-05-31,"Scotland",0
2022-05-30,"Scotland",3514
2022-05-29,"Scotland",0
2022-05-28,"Scotland",0
2022-05-27,"Scotland",0
2022-05-26,"Scotland",3024
2022-05-25,"Scotland",0
2022-05-24,"Scotland",0
2022-05-23,"Scotland",11341
2022-05-22,"Scotland",0
2022-05-21,"Scotland",0
2022-05-20,"Scotland",0
2022-05-19,"Scotland",5170
2022-05-18,"Scotland",0
2022-05-17,"Scotland",0
2022-05-16,"Scotland",5108
2022-05-15,"Scotland",0
2022-05-14,"Scotland",0
2022-05-13,"Scotland",0
2022-05-12,"Scotland",3589
2022-05-11,"Scotland",0
2022-05-10,"Scotland",0
2022-05-09,"Scotland",3672
2022-05-08,"Scotland",0
2022-05-07,"Scotland",0
2022-05-06,"Scotland",1226
2022-05-05,"Scotland",1663
2022-05-04,"Scotland",1311
2022-05-03,"Scotland",5489
2022-05-02,"Scotland",0
2022-05-01,"Scotland",0
2022-04-30,"Scotland",0
2022-04-29,"Scotland",2254
2022-04-28,"Scotland",2587
2022-04-27,"Scotland",3194
2022-04-26,"Scotland",2711
2022-04-25,"Scotland",7714
2022-04-24,"Scotland",0
2022-04-23,"Scotland",0
2022-04-22,"Scotland",3093
2022-04-21,"Scotland",3974
2022-04-20,"Scotland",3976
2022-04-19,"Scotland",19979
2022-04-18,"Scotland",0
2022-04-17,"Scotland",0
2022-04-16,"Scotland",0
2022-04-15,"Scotland",0
2022-04-14,"Scotland",4196
2022-04-13,"Scotland",5513
2022-04-12,"Scotland",4958
2022-04-11,"Scotland",13761
2022-04-10,"Scotland",0
2022-04-09,"Scotland",0
