city,date,cases,country
Calgary,2020-03-05,1,Canada
Calgary,2020-03-07,1,Canada
Calgary,2020-03-08,1,Canada
Calgary,2020-03-09,1,Canada
Calgary,2020-03-10,6,Canada
Calgary,2020-03-11,5,Canada
Calgary,2020-03-12,2,Canada
Calgary,2020-03-13,7,Canada
Calgary,2020-03-14,13,Canada
Calgary,2020-03-15,10,Canada
Calgary,2020-03-16,16,Canada
Calgary,2020-03-17,3,Canada
Calgary,2020-03-18,23,Canada
Calgary,2020-03-19,15,Canada
Calgary,2020-03-20,30,Canada
Calgary,2020-03-21,26,Canada
Calgary,2020-03-22,33,Canada
Calgary,2020-03-23,27,Canada
Calgary,2020-03-24,38,Canada
Calgary,2020-03-25,46,Canada
Calgary,2020-03-26,45,Canada
Calgary,2020-03-27,43,Canada
Calgary,2020-03-28,33,Canada
Calgary,2020-03-29,23,Canada
Calgary,2020-03-30,20,Canada
Calgary,2020-03-31,84,Canada
Calgary,2020-04-01,62,Canada
Calgary,2020-04-02,82,Canada
Calgary,2020-04-03,46,Canada
Calgary,2020-04-04,33,Canada
Calgary,2020-04-05,15,Canada
Calgary,2020-04-06,17,Canada
Calgary,2020-04-07,25,Canada
Calgary,2020-04-08,19,Canada
Calgary,2020-04-09,38,Canada
Calgary,2020-04-10,45,Canada
Calgary,2020-04-11,51,Canada
Calgary,2020-04-12,59,Canada
Calgary,2020-04-13,64,Canada
Calgary,2020-04-14,111,Canada
Calgary,2020-04-15,102,Canada
Calgary,2020-04-16,131,Canada
Calgary,2020-04-17,181,Canada
Calgary,2020-04-18,142,Canada
Calgary,2020-04-19,154,Canada
Calgary,2020-04-20,113,Canada
Calgary,2020-04-21,163,Canada
Calgary,2020-04-22,232,Canada
Calgary,2020-04-23,234,Canada
Calgary,2020-04-24,154,Canada
Calgary,2020-04-25,134,Canada
Calgary,2020-04-26,125,Canada
Calgary,2020-04-27,113,Canada
Calgary,2020-04-28,136,Canada
Calgary,2020-04-29,106,Canada
Calgary,2020-04-30,86,Canada
Calgary,2020-05-01,106,Canada
Calgary,2020-05-02,92,Canada
Calgary,2020-05-03,56,Canada
Calgary,2020-05-04,66,Canada
Calgary,2020-05-05,47,Canada
Calgary,2020-05-06,55,Canada
Calgary,2020-05-07,67,Canada
Calgary,2020-05-08,66,Canada
Calgary,2020-05-09,70,Canada
Calgary,2020-05-10,61,Canada
Calgary,2020-05-11,44,Canada
Calgary,2020-05-12,64,Canada
Calgary,2020-05-13,47,Canada
Calgary,2020-05-14,44,Canada
Calgary,2020-05-15,58,Canada
Calgary,2020-05-16,45,Canada
Calgary,2020-05-17,41,Canada
Calgary,2020-05-18,34,Canada
Calgary,2020-05-19,38,Canada
Calgary,2020-05-20,21,Canada
Calgary,2020-05-21,24,Canada
Calgary,2020-05-22,21,Canada
Calgary,2020-05-23,29,Canada
Calgary,2020-05-24,22,Canada
Calgary,2020-05-25,13,Canada
Calgary,2020-05-26,15,Canada
Calgary,2020-05-27,23,Canada
Calgary,2020-05-28,23,Canada
Calgary,2020-05-29,20,Canada
Calgary,2020-05-30,12,Canada
Calgary,2020-05-31,21,Canada
Calgary,2020-06-01,18,Canada
Calgary,2020-06-02,7,Canada
Calgary,2020-06-03,14,Canada
Calgary,2020-06-04,11,Canada
Calgary,2020-06-05,12,Canada
Calgary,2020-06-06,11,Canada
Calgary,2020-06-07,8,Canada
Calgary,2020-06-08,11,Canada
Calgary,2020-06-09,21,Canada
Calgary,2020-06-10,24,Canada
Calgary,2020-06-11,21,Canada
Calgary,2020-06-12,9,Canada
Calgary,2020-06-13,23,Canada
Calgary,2020-06-14,19,Canada
Calgary,2020-06-15,11,Canada
Calgary,2020-06-16,21,Canada
Calgary,2020-06-17,16,Canada
Calgary,2020-06-18,19,Canada
Calgary,2020-06-19,17,Canada
Calgary,2020-06-20,5,Canada
Calgary,2020-06-21,23,Canada
Calgary,2020-06-22,12,Canada
Calgary,2020-06-23,11,Canada
Calgary,2020-06-24,8,Canada
Calgary,2020-06-25,12,Canada
Calgary,2020-06-26,34,Canada
Calgary,2020-06-27,11,Canada
Calgary,2020-06-28,31,Canada
Calgary,2020-06-29,22,Canada
Calgary,2020-06-30,14,Canada
Calgary,2020-07-01,17,Canada
Calgary,2020-07-02,3,Canada
Calgary,2020-07-03,14,Canada
Calgary,2020-07-04,20,Canada
Calgary,2020-07-05,17,Canada
Calgary,2020-07-06,14,Canada
Calgary,2020-07-07,15,Canada
Calgary,2020-07-08,19,Canada
Calgary,2020-07-09,34,Canada
Calgary,2020-07-10,16,Canada
Calgary,2020-07-11,44,Canada
Calgary,2020-07-12,43,Canada
Calgary,2020-07-13,38,Canada
Calgary,2020-07-14,30,Canada
Calgary,2020-07-15,59,Canada
Calgary,2020-07-16,37,Canada
Calgary,2020-07-17,102,Canada
Calgary,2020-07-18,62,Canada
Calgary,2020-07-19,52,Canada
Calgary,2020-07-20,52,Canada
Calgary,2020-07-21,79,Canada
Calgary,2020-07-22,60,Canada
Calgary,2020-07-23,56,Canada
Calgary,2020-07-24,51,Canada
Calgary,2020-07-25,51,Canada
Calgary,2020-07-26,36,Canada
Calgary,2020-07-27,31,Canada
Calgary,2020-07-28,43,Canada
Calgary,2020-07-29,23,Canada
Calgary,2020-07-30,26,Canada
Calgary,2020-07-31,44,Canada
Calgary,2020-08-01,25,Canada
Calgary,2020-08-02,21,Canada
Calgary,2020-08-03,16,Canada
Calgary,2020-08-04,30,Canada
Calgary,2020-08-05,16,Canada
Calgary,2020-08-06,32,Canada
Calgary,2020-08-07,35,Canada
Calgary,2020-08-08,36,Canada
Calgary,2020-08-09,14,Canada
Calgary,2020-08-10,11,Canada
Calgary,2020-08-11,14,Canada
Calgary,2020-08-12,31,Canada
Calgary,2020-08-13,19,Canada
Calgary,2020-08-14,21,Canada
Calgary,2020-08-15,23,Canada
Calgary,2020-08-16,20,Canada
Calgary,2020-08-17,13,Canada
Calgary,2020-08-18,20,Canada
Calgary,2020-08-19,34,Canada
Calgary,2020-08-20,35,Canada
Calgary,2020-08-21,47,Canada
Calgary,2020-08-22,41,Canada
Calgary,2020-08-23,28,Canada
Calgary,2020-08-24,17,Canada
Calgary,2020-08-25,46,Canada
Calgary,2020-08-26,36,Canada
Calgary,2020-08-27,96,Canada
Calgary,2020-08-28,82,Canada
Calgary,2020-08-29,70,Canada
Calgary,2020-08-30,32,Canada
Calgary,2020-08-31,66,Canada
Calgary,2020-09-01,32,Canada
Calgary,2020-09-02,52,Canada
Calgary,2020-09-03,52,Canada
Calgary,2020-09-04,65,Canada
Calgary,2020-09-05,47,Canada
Calgary,2020-09-06,47,Canada
Calgary,2020-09-07,46,Canada
Calgary,2020-09-08,29,Canada
Calgary,2020-09-09,27,Canada
Calgary,2020-09-10,28,Canada
Calgary,2020-09-11,46,Canada
Calgary,2020-09-12,49,Canada
Calgary,2020-09-13,55,Canada
Calgary,2020-09-14,31,Canada
Calgary,2020-09-15,47,Canada
Calgary,2020-09-16,42,Canada
Calgary,2020-09-17,48,Canada
Calgary,2020-09-18,35,Canada
Calgary,2020-09-19,37,Canada
Calgary,2020-09-20,43,Canada
Calgary,2020-09-21,60,Canada
Calgary,2020-09-22,33,Canada
Calgary,2020-09-23,63,Canada
Calgary,2020-09-24,41,Canada
Calgary,2020-09-25,69,Canada
Calgary,2020-09-26,59,Canada
Calgary,2020-09-27,43,Canada
Calgary,2020-09-28,61,Canada
Calgary,2020-09-29,44,Canada
Calgary,2020-09-30,34,Canada
Calgary,2020-10-01,36,Canada
Calgary,2020-10-02,72,Canada
Calgary,2020-10-03,53,Canada
Calgary,2020-10-04,53,Canada
Calgary,2020-10-05,52,Canada
Calgary,2020-10-06,47,Canada
Calgary,2020-10-07,55,Canada
Calgary,2020-10-08,44,Canada
Calgary,2020-10-09,74,Canada
Calgary,2020-10-10,72,Canada
Calgary,2020-10-11,74,Canada
Calgary,2020-10-12,69,Canada
Calgary,2020-10-13,72,Canada
Calgary,2020-10-14,78,Canada
Calgary,2020-10-15,94,Canada
