city,date,cases,country
Vancouver,2020-01-29,0,Canada
Vancouver,2020-01-30,0,Canada
Vancouver,2020-01-31,0,Canada
Vancouver,2020-02-01,0,Canada
Vancouver,2020-02-02,0,Canada
Vancouver,2020-02-03,0,Canada
Vancouver,2020-02-04,0,Canada
Vancouver,2020-02-05,0,Canada
Vancouver,2020-02-06,1,Canada
Vancouver,2020-02-07,0,Canada
Vancouver,2020-02-08,0,Canada
Vancouver,2020-02-09,0,Canada
Vancouver,2020-02-10,0,Canada
Vancouver,2020-02-11,0,Canada
Vancouver,2020-02-12,0,Canada
Vancouver,2020-02-13,0,Canada
Vancouver,2020-02-14,0,Canada
Vancouver,2020-02-15,0,Canada
Vancouver,2020-02-16,0,Canada
Vancouver,2020-02-17,0,Canada
Vancouver,2020-02-18,0,Canada
Vancouver,2020-02-19,0,Canada
Vancouver,2020-02-20,0,Canada
Vancouver,2020-02-21,0,Canada
Vancouver,2020-02-22,0,Canada
Vancouver,2020-02-23,0,Canada
Vancouver,2020-02-24,0,Canada
Vancouver,2020-02-25,0,Canada
Vancouver,2020-02-26,0,Canada
Vancouver,2020-02-27,0,Canada
Vancouver,2020-02-28,0,Canada
Vancouver,2020-02-29,0,Canada
Vancouver,2020-03-01,0,Canada
Vancouver,2020-03-02,0,Canada
Vancouver,2020-03-03,3,Canada
Vancouver,2020-03-04,0,Canada
Vancouver,2020-03-05,2,Canada
Vancouver,2020-03-06,0,Canada
Vancouver,2020-03-07,1,Canada
Vancouver,2020-03-08,0,Canada
Vancouver,2020-03-09,0,Canada
Vancouver,2020-03-10,3,Canada
Vancouver,2020-03-11,4,Canada
Vancouver,2020-03-12,2,Canada
Vancouver,2020-03-13,3,Canada
Vancouver,2020-03-14,8,Canada
Vancouver,2020-03-15,4,Canada
Vancouver,2020-03-16,11,Canada
Vancouver,2020-03-17,9,Canada
Vancouver,2020-03-18,15,Canada
Vancouver,2020-03-19,19,Canada
Vancouver,2020-03-20,21,Canada
Vancouver,2020-03-21,25,Canada
Vancouver,2020-03-22,17,Canada
Vancouver,2020-03-23,15,Canada
Vancouver,2020-03-24,15,Canada
Vancouver,2020-03-25,31,Canada
Vancouver,2020-03-26,11,Canada
Vancouver,2020-03-27,18,Canada
Vancouver,2020-03-28,15,Canada
Vancouver,2020-03-29,14,Canada
Vancouver,2020-03-30,11,Canada
Vancouver,2020-03-31,9,Canada
Vancouver,2020-04-01,13,Canada
Vancouver,2020-04-02,11,Canada
Vancouver,2020-04-03,7,Canada
Vancouver,2020-04-04,8,Canada
Vancouver,2020-04-05,2,Canada
Vancouver,2020-04-06,18,Canada
Vancouver,2020-04-07,4,Canada
Vancouver,2020-04-08,7,Canada
Vancouver,2020-04-09,5,Canada
Vancouver,2020-04-10,9,Canada
Vancouver,2020-04-11,2,Canada
Vancouver,2020-04-12,1,Canada
Vancouver,2020-04-13,7,Canada
Vancouver,2020-04-14,6,Canada
Vancouver,2020-04-15,1,Canada
Vancouver,2020-04-16,4,Canada
Vancouver,2020-04-17,5,Canada
Vancouver,2020-04-18,9,Canada
Vancouver,2020-04-19,4,Canada
Vancouver,2020-04-20,5,Canada
Vancouver,2020-04-21,29,Canada
Vancouver,2020-04-22,5,Canada
Vancouver,2020-04-23,7,Canada
Vancouver,2020-04-24,7,Canada
Vancouver,2020-04-25,8,Canada
Vancouver,2020-04-26,0,Canada
Vancouver,2020-04-27,10,Canada
Vancouver,2020-04-28,2,Canada
Vancouver,2020-04-29,3,Canada
Vancouver,2020-04-30,6,Canada
Vancouver,2020-05-01,0,Canada
Vancouver,2020-05-02,7,Canada
Vancouver,2020-05-03,3,Canada
