country,city,cases
Canada,Montreal,NA
Canada,Montreal,0
Canada,Montreal,0
Canada,Montreal,0
Canada,Montreal,0
Canada,Montreal,0
Canada,Montreal,0
Canada,Montreal,0
Canada,Montreal,0
Canada,Montreal,0
Canada,Montreal,0
Canada,Montreal,1
Canada,Montreal,0
Canada,Montreal,0
Canada,Montreal,0
Canada,Montreal,0
Canada,Montreal,2
Canada,Montreal,1
Canada,Montreal,1
Canada,Montreal,1
Canada,Montreal,2
Canada,Montreal,5
Canada,Montreal,2
Canada,Montreal,7
Canada,Montreal,28
Canada,Montreal,28
Canada,Montreal,88
Canada,Montreal,93
Canada,Montreal,128
Canada,Montreal,121
Canada,Montreal,144
Canada,Montreal,170
Canada,Montreal,283
Canada,Montreal,195
Canada,Montreal,265
Canada,Montreal,296
Canada,Montreal,338
Canada,Montreal,321
Canada,Montreal,375
Canada,Montreal,297
Canada,Montreal,410
Canada,Montreal,259
Canada,Montreal,345
Canada,Montreal,440
Canada,Montreal,330
Canada,Montreal,473
Canada,Montreal,335
Canada,Montreal,287
Canada,Montreal,434
Canada,Montreal,507
Canada,Montreal,640
Canada,Montreal,478
Canada,Montreal,522
Canada,Montreal,509
Canada,Montreal,366
Canada,Montreal,386
Canada,Montreal,358
Canada,Montreal,406
Canada,Montreal,460
Canada,Montreal,414
Canada,Montreal,474
Canada,Montreal,302
Canada,Montreal,310
Canada,Montreal,325
Canada,Montreal,459
Canada,Montreal,506
Canada,Montreal,461
Canada,Montreal,467
Canada,Montreal,408
Canada,Montreal,322
Canada,Montreal,282
Canada,Montreal,490
Canada,Montreal,457
Canada,Montreal,448
Canada,Montreal,358
Canada,Montreal,299
Canada,Montreal,263
Canada,Montreal,276
Canada,Montreal,351
Canada,Montreal,333
Canada,Montreal,388
Canada,Montreal,304
Canada,Montreal,303
Canada,Montreal,293
Canada,Montreal,257
Canada,Montreal,359
Canada,Montreal,312
Canada,Montreal,329
Canada,Montreal,238
Canada,Montreal,234
Canada,Montreal,203
Canada,Montreal,155
Canada,Montreal,185
Canada,Montreal,204
Canada,Montreal,181
Canada,Montreal,181
Canada,Montreal,174
Canada,Montreal,106
Canada,Montreal,94
Canada,Montreal,120
Canada,Montreal,107
Canada,Montreal,110
Canada,Montreal,100
Canada,Montreal,88
Canada,Montreal,62
Canada,Montreal,45
Canada,Montreal,71
Canada,Montreal,72
Canada,Montreal,69
Canada,Montreal,56
Canada,Montreal,47
Canada,Montreal,34
Canada,Montreal,49
Canada,Montreal,54
Canada,Montreal,46
Canada,Montreal,50
Canada,Montreal,37
Canada,Montreal,29
Canada,Montreal,26
Canada,Montreal,28
Canada,Montreal,33
Canada,Montreal,34
Canada,Montreal,37
Canada,Montreal,28
Canada,Montreal,30
Canada,Montreal,16
Canada,Montreal,6
Canada,Montreal,35
Canada,Montreal,20
Canada,Montreal,15
Canada,Montreal,20
Canada,Montreal,14
Canada,Montreal,12
Canada,Montreal,13
Canada,Montreal,27
Canada,Montreal,43
Canada,Montreal,37
Canada,Montreal,38
Canada,Montreal,22
Canada,Montreal,21
Canada,Montreal,74
Canada,Montreal,52
Canada,Montreal,88
Canada,Montreal,78
Canada,Montreal,74
Canada,Montreal,101
Canada,Montreal,41
Canada,Montreal,54
Canada,Montreal,55
Canada,Montreal,84
Canada,Montreal,78
Canada,Montreal,50
Canada,Montreal,41
Canada,Montreal,32
Canada,Montreal,40
Canada,Montreal,37
Canada,Montreal,78
Canada,Montreal,62
Canada,Montreal,38
Canada,Montreal,44
Canada,Montreal,36
Canada,Montreal,48
Canada,Montreal,52
Canada,Montreal,40
Canada,Montreal,35
Canada,Montreal,44
Canada,Montreal,48
Canada,Montreal,31
Canada,Montreal,31
Canada,Montreal,44
Canada,Montreal,36
Canada,Montreal,35
Canada,Montreal,24
Canada,Montreal,18
Canada,Montreal,7
Canada,Montreal,22
Canada,Montreal,25
Canada,Montreal,24
Canada,Montreal,38
Canada,Montreal,30
Canada,Montreal,17
Canada,Montreal,16
Canada,Montreal,17
Canada,Montreal,47
Canada,Montreal,49
Canada,Montreal,32
Canada,Montreal,46
Canada,Montreal,31
Canada,Montreal,22
Canada,Montreal,26
Canada,Montreal,47
Canada,Montreal,60
Canada,Montreal,48
Canada,Montreal,43
Canada,Montreal,75
Canada,Montreal,63
Canada,Montreal,54
Canada,Montreal,62
Canada,Montreal,83
Canada,Montreal,90
Canada,Montreal,105
Canada,Montreal,102
Canada,Montreal,81
Canada,Montreal,61
Canada,Montreal,103
Canada,Montreal,93
Canada,Montreal,123
Canada,Montreal,168
Canada,Montreal,159
Canada,Montreal,170
Canada,Montreal,151
Canada,Montreal,178
Canada,Montreal,262
Canada,Montreal,259
Canada,Montreal,295
Canada,Montreal,335
Canada,Montreal,284
Canada,Montreal,302
Canada,Montreal,356
Canada,Montreal,323
Canada,Montreal,420
Canada,Montreal,471
Canada,Montreal,297
Canada,Montreal,318
Canada,Montreal,260
Canada,Montreal,312
Canada,Montreal,278
Canada,Montreal,340
Canada,Montreal,266
Canada,Montreal,306
Canada,Montreal,257
Canada,Montreal,187
Canada,Montreal,292
Canada,Montreal,247
Canada,Montreal,264
Canada,Montreal,303
Canada,Montreal,233
Canada,Montreal,232
Canada,Montreal,204
Canada,Montreal,314
Canada,Montreal,274
Canada,Montreal,239
Canada,Montreal,237
Canada,Montreal,256
Canada,Montreal,259
Canada,Montreal,175
Canada,Montreal,267
Canada,Montreal,209
Canada,Montreal,222
Canada,Montreal,222
Canada,Montreal,270
Canada,Montreal,210
Canada,Montreal,182
Canada,Montreal,251
Canada,Montreal,293
Canada,Montreal,301
Canada,Montreal,287
Canada,Montreal,297
Canada,Montreal,260
Canada,Montreal,312
Canada,Montreal,313
Canada,Montreal,321
Canada,Montreal,295
Canada,Montreal,350
Canada,Montreal,306
Canada,Montreal,271
Canada,Montreal,252
Canada,Montreal,246
Canada,Montreal,267
Canada,Montreal,286
Canada,Montreal,282
Canada,Montreal,269
Canada,Montreal,330
Canada,Montreal,247
Canada,Montreal,289
Canada,Montreal,355
Canada,Montreal,393
Canada,Montreal,406
Canada,Montreal,364
Canada,Montreal,393
Canada,Montreal,350
Canada,Montreal,493
Canada,Montreal,407
Canada,Montreal,516
