city,date,cases,country
Hamilton,2020-02-20,1,Canada
Hamilton,2020-03-01,1,Canada
Hamilton,2020-03-03,1,Canada
Hamilton,2020-03-06,1,Canada
Hamilton,2020-03-07,2,Canada
Hamilton,2020-03-09,3,Canada
Hamilton,2020-03-10,10,Canada
Hamilton,2020-03-11,3,Canada
Hamilton,2020-03-12,4,Canada
Hamilton,2020-03-13,6,Canada
Hamilton,2020-03-14,6,Canada
Hamilton,2020-03-15,8,Canada
Hamilton,2020-03-16,11,Canada
Hamilton,2020-03-17,4,Canada
Hamilton,2020-03-18,10,Canada
Hamilton,2020-03-19,10,Canada
Hamilton,2020-03-20,11,Canada
Hamilton,2020-03-21,8,Canada
Hamilton,2020-03-22,8,Canada
Hamilton,2020-03-23,11,Canada
Hamilton,2020-03-24,10,Canada
Hamilton,2020-03-25,13,Canada
Hamilton,2020-03-26,5,Canada
Hamilton,2020-03-27,11,Canada
Hamilton,2020-03-28,9,Canada
Hamilton,2020-03-29,5,Canada
Hamilton,2020-03-30,9,Canada
Hamilton,2020-03-31,5,Canada
Hamilton,2020-04-01,17,Canada
Hamilton,2020-04-02,7,Canada
Hamilton,2020-04-03,4,Canada
Hamilton,2020-04-04,8,Canada
Hamilton,2020-04-05,12,Canada
Hamilton,2020-04-06,11,Canada
Hamilton,2020-04-07,14,Canada
Hamilton,2020-04-08,8,Canada
Hamilton,2020-04-09,10,Canada
Hamilton,2020-04-10,9,Canada
Hamilton,2020-04-11,12,Canada
Hamilton,2020-04-12,6,Canada
Hamilton,2020-04-13,10,Canada
Hamilton,2020-04-14,10,Canada
Hamilton,2020-04-15,27,Canada
Hamilton,2020-04-16,5,Canada
Hamilton,2020-04-17,7,Canada
Hamilton,2020-04-18,14,Canada
Hamilton,2020-04-19,7,Canada
Hamilton,2020-04-20,8,Canada
Hamilton,2020-04-21,4,Canada
Hamilton,2020-04-22,5,Canada
Hamilton,2020-04-23,12,Canada
Hamilton,2020-04-24,7,Canada
Hamilton,2020-04-25,8,Canada
Hamilton,2020-04-26,6,Canada
Hamilton,2020-04-27,6,Canada
Hamilton,2020-04-28,5,Canada
Hamilton,2020-04-29,4,Canada
Hamilton,2020-04-30,6,Canada
Hamilton,2020-05-01,6,Canada
Hamilton,2020-05-02,4,Canada
Hamilton,2020-05-03,2,Canada
Hamilton,2020-05-04,2,Canada
Hamilton,2020-05-05,11,Canada
Hamilton,2020-05-06,5,Canada
Hamilton,2020-05-07,9,Canada
Hamilton,2020-05-08,8,Canada
Hamilton,2020-05-09,1,Canada
Hamilton,2020-05-10,6,Canada
Hamilton,2020-05-11,4,Canada
Hamilton,2020-05-12,18,Canada
Hamilton,2020-05-13,9,Canada
Hamilton,2020-05-14,10,Canada
Hamilton,2020-05-15,40,Canada
Hamilton,2020-05-16,10,Canada
Hamilton,2020-05-17,6,Canada
Hamilton,2020-05-18,9,Canada
Hamilton,2020-05-19,14,Canada
Hamilton,2020-05-20,7,Canada
Hamilton,2020-05-21,8,Canada
Hamilton,2020-05-22,6,Canada
Hamilton,2020-05-23,8,Canada
Hamilton,2020-05-24,4,Canada
Hamilton,2020-05-25,10,Canada
Hamilton,2020-05-26,3,Canada
Hamilton,2020-05-27,3,Canada
Hamilton,2020-05-28,2,Canada
Hamilton,2020-05-29,10,Canada
Hamilton,2020-05-30,7,Canada
Hamilton,2020-05-31,8,Canada
Hamilton,2020-06-01,4,Canada
Hamilton,2020-06-02,7,Canada
Hamilton,2020-06-03,2,Canada
Hamilton,2020-06-04,8,Canada
Hamilton,2020-06-05,6,Canada
Hamilton,2020-06-06,8,Canada
Hamilton,2020-06-07,7,Canada
Hamilton,2020-06-08,6,Canada
Hamilton,2020-06-09,1,Canada
Hamilton,2020-06-10,6,Canada
Hamilton,2020-06-12,3,Canada
Hamilton,2020-06-13,1,Canada
Hamilton,2020-06-14,2,Canada
Hamilton,2020-06-15,2,Canada
Hamilton,2020-06-16,9,Canada
Hamilton,2020-06-17,2,Canada
Hamilton,2020-06-18,3,Canada
Hamilton,2020-06-19,11,Canada
Hamilton,2020-06-20,3,Canada
Hamilton,2020-06-21,3,Canada
Hamilton,2020-06-22,4,Canada
Kingston,2020-03-05,1,Canada
Kingston,2020-03-11,2,Canada
Kingston,2020-03-12,2,Canada
Kingston,2020-03-13,1,Canada
Kingston,2020-03-16,2,Canada
Kingston,2020-03-17,2,Canada
Kingston,2020-03-18,5,Canada
Kingston,2020-03-19,5,Canada
Kingston,2020-03-20,3,Canada
Kingston,2020-03-21,3,Canada
Kingston,2020-03-22,2,Canada
Kingston,2020-03-23,6,Canada
Kingston,2020-03-24,4,Canada
Kingston,2020-03-25,5,Canada
Kingston,2020-03-26,5,Canada
Kingston,2020-03-27,2,Canada
Kingston,2020-03-28,1,Canada
Kingston,2020-03-31,1,Canada
Kingston,2020-04-03,1,Canada
Kingston,2020-04-07,1,Canada
Kingston,2020-04-08,1,Canada
Kingston,2020-04-15,1,Canada
Kingston,2020-04-16,1,Canada
Kingston,2020-04-18,1,Canada
Kingston,2020-04-19,1,Canada
Kingston,2020-04-20,1,Canada
Kingston,2020-04-23,1,Canada
Kingston,2020-05-08,1,Canada
Kingston,2020-05-10,1,Canada
Kingston,2020-05-18,1,Canada
Kingston,2020-05-22,1,Canada
Kingston,2020-06-16,2,Canada
