date,cases,city,country
2020-02-22,1,Brisbane,Australia
2020-02-23,0,Brisbane,Australia
2020-02-24,0,Brisbane,Australia
2020-02-25,0,Brisbane,Australia
2020-02-26,0,Brisbane,Australia
2020-02-27,0,Brisbane,Australia
2020-02-28,0,Brisbane,Australia
2020-02-29,0,Brisbane,Australia
2020-03-01,0,Brisbane,Australia
2020-03-02,1,Brisbane,Australia
2020-03-03,0,Brisbane,Australia
2020-03-04,0,Brisbane,Australia
2020-03-05,0,Brisbane,Australia
2020-03-06,0,Brisbane,Australia
2020-03-07,0,Brisbane,Australia
2020-03-08,0,Brisbane,Australia
2020-03-09,0,Brisbane,Australia
2020-03-10,2,Brisbane,Australia
2020-03-11,1,Brisbane,Australia
2020-03-12,3,Brisbane,Australia
2020-03-13,8,Brisbane,Australia
2020-03-14,9,Brisbane,Australia
2020-03-15,0,Brisbane,Australia
2020-03-16,14,Brisbane,Australia
2020-03-17,12,Brisbane,Australia
2020-03-18,12,Brisbane,Australia
2020-03-19,14,Brisbane,Australia
2020-03-20,18,Brisbane,Australia
2020-03-21,20,Brisbane,Australia
2020-03-22,20,Brisbane,Australia
2020-03-23,18,Brisbane,Australia
2020-03-24,33,Brisbane,Australia
2020-03-25,19,Brisbane,Australia
2020-03-26,31,Brisbane,Australia
2020-03-27,26,Brisbane,Australia
2020-03-28,19,Brisbane,Australia
2020-03-29,10,Brisbane,Australia
2020-03-30,6,Brisbane,Australia
2020-03-31,9,Brisbane,Australia
2020-04-01,17,Brisbane,Australia
2020-04-02,12,Brisbane,Australia
2020-04-03,11,Brisbane,Australia
2020-04-04,5,Brisbane,Australia
2020-04-05,7,Brisbane,Australia
2020-04-06,3,Brisbane,Australia
2020-04-07,1,Brisbane,Australia
2020-04-08,7,Brisbane,Australia
2020-04-09,3,Brisbane,Australia
2020-04-10,7,Brisbane,Australia
2020-04-11,2,Brisbane,Australia
2020-04-12,2,Brisbane,Australia
2020-04-13,0,Brisbane,Australia
2020-04-14,3,Brisbane,Australia
2020-04-15,4,Brisbane,Australia
2020-04-16,3,Brisbane,Australia
2020-04-17,2,Brisbane,Australia
2020-04-18,1,Brisbane,Australia
2020-04-19,0,Brisbane,Australia
2020-04-20,3,Brisbane,Australia
2020-04-21,0,Brisbane,Australia
2020-04-22,0,Brisbane,Australia
2020-04-23,0,Brisbane,Australia
2020-04-24,2,Brisbane,Australia
2020-04-25,0,Brisbane,Australia
2020-04-26,0,Brisbane,Australia
2020-04-27,1,Brisbane,Australia
2020-04-28,0,Brisbane,Australia
2020-04-29,0,Brisbane,Australia
2020-04-30,0,Brisbane,Australia
2020-05-01,3,Brisbane,Australia
2020-05-02,1,Brisbane,Australia
2020-05-03,1,Brisbane,Australia
2020-05-04,2,Brisbane,Australia
2020-05-05,0,Brisbane,Australia
2020-05-06,0,Brisbane,Australia
2020-05-07,0,Brisbane,Australia
2020-05-08,0,Brisbane,Australia
2020-05-09,0,Brisbane,Australia
2020-05-10,0,Brisbane,Australia
2020-05-11,1,Brisbane,Australia
2020-05-12,0,Brisbane,Australia
2020-05-13,0,Brisbane,Australia
2020-05-14,1,Brisbane,Australia
2020-05-15,0,Brisbane,Australia
2020-05-16,0,Brisbane,Australia
2020-05-17,1,Brisbane,Australia
2020-05-18,0,Brisbane,Australia
2020-05-19,1,Brisbane,Australia
2020-05-20,0,Brisbane,Australia
2020-05-21,0,Brisbane,Australia
2020-05-22,0,Brisbane,Australia
2020-05-23,0,Brisbane,Australia
2020-05-24,0,Brisbane,Australia
2020-05-25,0,Brisbane,Australia
2020-05-26,0,Brisbane,Australia
2020-05-27,0,Brisbane,Australia
2020-05-28,0,Brisbane,Australia
2020-05-29,0,Brisbane,Australia
2020-05-30,1,Brisbane,Australia
2020-05-31,0,Brisbane,Australia
2020-06-01,0,Brisbane,Australia
2020-06-02,0,Brisbane,Australia
2020-06-03,0,Brisbane,Australia
2020-06-04,0,Brisbane,Australia
2020-06-05,0,Brisbane,Australia
2020-06-06,0,Brisbane,Australia
2020-06-07,0,Brisbane,Australia
2020-06-08,0,Brisbane,Australia
2020-06-09,0,Brisbane,Australia
2020-06-10,0,Brisbane,Australia
2020-06-11,0,Brisbane,Australia
2020-06-12,1,Brisbane,Australia
2020-06-13,0,Brisbane,Australia
2020-06-14,0,Brisbane,Australia
2020-06-15,0,Brisbane,Australia
2020-06-16,0,Brisbane,Australia
2020-06-17,0,Brisbane,Australia
2020-06-18,0,Brisbane,Australia
2020-06-19,0,Brisbane,Australia
2020-06-20,0,Brisbane,Australia
2020-06-21,0,Brisbane,Australia
2020-06-22,0,Brisbane,Australia
2020-06-23,0,Brisbane,Australia
2020-06-24,0,Brisbane,Australia
2020-06-25,0,Brisbane,Australia
2020-06-26,0,Brisbane,Australia
2020-06-27,0,Brisbane,Australia
2020-06-28,0,Brisbane,Australia
2020-06-29,0,Brisbane,Australia
2020-06-30,0,Brisbane,Australia
2020-07-01,0,Brisbane,Australia
2020-07-02,0,Brisbane,Australia
2020-07-03,1,Brisbane,Australia
2020-07-04,0,Brisbane,Australia
2020-07-05,0,Brisbane,Australia
2020-07-06,0,Brisbane,Australia
