date,cases_cum,city,country,cases
2020-04-17,299,Brasov,Romania,9
2020-04-18,308,Brasov,Romania,7
2020-04-19,315,Brasov,Romania,25
2020-04-20,340,Brasov,Romania,5
2020-04-21,345,Brasov,Romania,3
2020-04-22,348,Brasov,Romania,25
2020-04-23,373,Brasov,Romania,9
2020-04-24,382,Brasov,Romania,4
2020-04-25,386,Brasov,Romania,10
2020-04-26,396,Brasov,Romania,20
2020-04-27,416,Brasov,Romania,6
2020-04-28,422,Brasov,Romania,7
2020-04-29,429,Brasov,Romania,28
2020-04-30,457,Brasov,Romania,13
2020-05-01,470,Brasov,Romania,3
2020-05-02,473,Brasov,Romania,16
2020-05-03,489,Brasov,Romania,3
2020-05-04,492,Brasov,Romania,12
2020-05-05,504,Brasov,Romania,15
2020-05-06,519,Brasov,Romania,13
2020-05-07,532,Brasov,Romania,7
2020-05-08,539,Brasov,Romania,18
2020-05-09,557,Brasov,Romania,17
2020-05-10,574,Brasov,Romania,3
2020-05-11,577,Brasov,Romania,1
2020-05-12,578,Brasov,Romania,16
2020-05-13,594,Brasov,Romania,3
2020-05-14,597,Brasov,Romania,7
2020-05-15,604,Brasov,Romania,9
2020-05-16,613,Brasov,Romania,3
2020-05-17,616,Brasov,Romania,11
2020-05-18,627,Brasov,Romania,3
2020-05-19,630,Brasov,Romania,16
2020-05-20,646,Brasov,Romania,16
2020-05-21,662,Brasov,Romania,8
2020-05-22,670,Brasov,Romania,7
2020-05-23,677,Brasov,Romania,8
2020-05-24,685,Brasov,Romania,0
2020-05-25,685,Brasov,Romania,12
2020-05-26,697,Brasov,Romania,10
2020-05-27,707,Brasov,Romania,16
2020-05-28,723,Brasov,Romania,13
2020-05-29,736,Brasov,Romania,7
2020-05-30,743,Brasov,Romania,7
2020-05-31,750,Brasov,Romania,2
2020-06-01,752,Brasov,Romania,4
2020-06-02,756,Brasov,Romania,6
2020-06-03,762,Brasov,Romania,32
2020-06-04,794,Brasov,Romania,12
2020-06-05,806,Brasov,Romania,20
2020-06-06,826,Brasov,Romania,11
2020-06-07,837,Brasov,Romania,18
2020-06-08,855,Brasov,Romania,35
2020-06-09,890,Brasov,Romania,33
2020-06-10,923,Brasov,Romania,18
2020-06-11,941,Brasov,Romania,17
2020-06-12,958,Brasov,Romania,19
2020-06-13,977,Brasov,Romania,45
2020-06-14,1022,Brasov,Romania,7
2020-06-15,1029,Brasov,Romania,22
2020-06-16,1051,Brasov,Romania,34
2020-06-17,1085,Brasov,Romania,36
2020-06-18,1121,Brasov,Romania,27
2020-06-19,1148,Brasov,Romania,10
2020-06-20,1158,Brasov,Romania,57
2020-06-21,1215,Brasov,Romania,12
2020-06-22,1227,Brasov,Romania,18
2020-06-23,1245,Brasov,Romania,32
2020-06-24,1277,Brasov,Romania,42
2020-06-25,1319,Brasov,Romania,32
2020-06-26,1351,Brasov,Romania,44
2020-06-27,1395,Brasov,Romania,14
2020-06-28,1409,Brasov,Romania,28
2020-06-29,1437,Brasov,Romania,47
2020-06-30,1484,Brasov,Romania,13
2020-07-01,1497,Brasov,Romania,56
2020-07-02,1553,Brasov,Romania,62
2020-07-03,1615,Brasov,Romania,36
2020-07-04,1651,Brasov,Romania,43
2020-07-05,1694,Brasov,Romania,4
2020-07-06,1698,Brasov,Romania,45
2020-07-07,1743,Brasov,Romania,53
2020-07-08,1796,Brasov,Romania,55
2020-07-09,1851,Brasov,Romania,54
2020-07-10,1905,Brasov,Romania,45
2020-07-11,1950,Brasov,Romania,47
2020-07-12,1997,Brasov,Romania,17
2020-07-13,2014,Brasov,Romania,62
2020-07-14,2076,Brasov,Romania,54
2020-07-15,2130,Brasov,Romania,54
2020-07-16,2184,Brasov,Romania,45
2020-07-17,2229,Brasov,Romania,67
2020-07-18,2296,Brasov,Romania,32
2020-07-19,2328,Brasov,Romania,53
2020-07-20,2381,Brasov,Romania,43
2020-07-21,2424,Brasov,Romania,48
2020-07-22,2472,Brasov,Romania,113
2020-07-23,2585,Brasov,Romania,58
2020-07-24,2643,Brasov,Romania,30
2020-07-25,2673,Brasov,Romania,30
2020-07-26,2703,Brasov,Romania,108
2020-07-27,2811,Brasov,Romania,73
2020-07-28,2884,Brasov,Romania,49
2020-07-29,2933,Brasov,Romania,60
2020-07-30,2993,Brasov,Romania,71
2020-07-31,3064,Brasov,Romania,52
2020-08-01,3116,Brasov,Romania,81
2020-08-02,3197,Brasov,Romania,30
2020-08-03,3227,Brasov,Romania,95
2020-08-04,3322,Brasov,Romania,91
2020-08-05,3413,Brasov,Romania,55
2020-08-06,3468,Brasov,Romania,79
2020-08-07,3547,Brasov,Romania,32
2020-08-08,3579,Brasov,Romania,60
2020-08-09,3639,Brasov,Romania,44
2020-08-10,3683,Brasov,Romania,27
2020-08-11,3710,Brasov,Romania,42
