"date,""mcccityname1"",""cases"""
"2022-08-10,""Barnsley"",178"
"2022-08-09,""Barnsley"",0"
"2022-08-08,""Barnsley"",0"
"2022-08-07,""Barnsley"",0"
"2022-08-06,""Barnsley"",0"
"2022-08-05,""Barnsley"",0"
"2022-08-04,""Barnsley"",0"
"2022-08-03,""Barnsley"",208"
"2022-08-02,""Barnsley"",0"
"2022-08-01,""Barnsley"",0"
"2022-07-31,""Barnsley"",0"
"2022-07-30,""Barnsley"",0"
"2022-07-29,""Barnsley"",0"
"2022-07-28,""Barnsley"",0"
"2022-07-27,""Barnsley"",300"
"2022-07-26,""Barnsley"",0"
"2022-07-25,""Barnsley"",0"
"2022-07-24,""Barnsley"",0"
"2022-07-23,""Barnsley"",0"
"2022-07-22,""Barnsley"",0"
"2022-07-21,""Barnsley"",0"
"2022-07-20,""Barnsley"",512"
"2022-07-19,""Barnsley"",0"
"2022-07-18,""Barnsley"",0"
"2022-07-17,""Barnsley"",0"
"2022-07-16,""Barnsley"",0"
"2022-07-15,""Barnsley"",0"
"2022-07-14,""Barnsley"",0"
"2022-07-13,""Barnsley"",550"
"2022-07-12,""Barnsley"",0"
"2022-07-11,""Barnsley"",0"
"2022-07-10,""Barnsley"",0"
"2022-07-09,""Barnsley"",0"
"2022-07-08,""Barnsley"",0"
"2022-07-07,""Barnsley"",0"
"2022-07-06,""Barnsley"",435"
"2022-07-05,""Barnsley"",0"
"2022-07-04,""Barnsley"",0"
"2022-07-03,""Barnsley"",0"
"2022-07-02,""Barnsley"",0"
"2022-07-01,""Barnsley"",81"
"2022-06-30,""Barnsley"",82"
"2022-06-29,""Barnsley"",100"
"2022-06-28,""Barnsley"",65"
"2022-06-27,""Barnsley"",167"
"2022-06-26,""Barnsley"",0"
"2022-06-25,""Barnsley"",0"
"2022-06-24,""Barnsley"",69"
"2022-06-23,""Barnsley"",71"
"2022-06-22,""Barnsley"",57"
"2022-06-21,""Barnsley"",60"
"2022-06-20,""Barnsley"",130"
"2022-06-19,""Barnsley"",0"
"2022-06-18,""Barnsley"",0"
"2022-06-17,""Barnsley"",38"
"2022-06-16,""Barnsley"",31"
"2022-06-15,""Barnsley"",39"
"2022-06-14,""Barnsley"",37"
"2022-06-13,""Barnsley"",86"
"2022-06-12,""Barnsley"",0"
"2022-06-11,""Barnsley"",0"
"2022-06-10,""Barnsley"",28"
"2022-06-09,""Barnsley"",24"
"2022-06-08,""Barnsley"",25"
"2022-06-07,""Barnsley"",36"
"2022-06-06,""Barnsley"",83"
"2022-06-05,""Barnsley"",0"
"2022-06-04,""Barnsley"",0"
"2022-06-03,""Barnsley"",0"
"2022-06-02,""Barnsley"",0"
"2022-06-01,""Barnsley"",16"
"2022-05-31,""Barnsley"",19"
"2022-05-30,""Barnsley"",28"
"2022-05-29,""Barnsley"",0"
"2022-05-28,""Barnsley"",0"
"2022-05-27,""Barnsley"",9"
"2022-05-26,""Barnsley"",23"
"2022-05-25,""Barnsley"",21"
"2022-05-24,""Barnsley"",29"
