date,city,cases,country
2019-12-29,Winnipeg,0,Canada
2019-12-30,Winnipeg,0,Canada
2019-12-31,Winnipeg,0,Canada
2020-01-01,Winnipeg,0,Canada
2020-01-02,Winnipeg,0,Canada
2020-01-03,Winnipeg,0,Canada
2020-01-04,Winnipeg,0,Canada
2020-01-05,Winnipeg,0,Canada
2020-01-06,Winnipeg,0,Canada
2020-01-07,Winnipeg,0,Canada
2020-01-08,Winnipeg,0,Canada
2020-01-09,Winnipeg,0,Canada
2020-01-10,Winnipeg,0,Canada
2020-01-11,Winnipeg,0,Canada
2020-01-12,Winnipeg,0,Canada
2020-01-13,Winnipeg,0,Canada
2020-01-14,Winnipeg,0,Canada
2020-01-15,Winnipeg,0,Canada
2020-01-16,Winnipeg,0,Canada
2020-01-17,Winnipeg,0,Canada
2020-01-18,Winnipeg,0,Canada
2020-01-19,Winnipeg,0,Canada
2020-01-20,Winnipeg,0,Canada
2020-01-21,Winnipeg,0,Canada
2020-01-22,Winnipeg,0,Canada
2020-01-23,Winnipeg,0,Canada
2020-01-24,Winnipeg,0,Canada
2020-01-25,Winnipeg,0,Canada
2020-01-26,Winnipeg,0,Canada
2020-01-27,Winnipeg,0,Canada
2020-01-28,Winnipeg,0,Canada
2020-01-29,Winnipeg,0,Canada
2020-01-30,Winnipeg,0,Canada
2020-01-31,Winnipeg,0,Canada
2020-02-01,Winnipeg,0,Canada
2020-02-02,Winnipeg,0,Canada
2020-02-03,Winnipeg,0,Canada
2020-02-04,Winnipeg,0,Canada
2020-02-05,Winnipeg,0,Canada
2020-02-06,Winnipeg,0,Canada
2020-02-07,Winnipeg,0,Canada
2020-02-08,Winnipeg,0,Canada
2020-02-09,Winnipeg,0,Canada
2020-02-10,Winnipeg,0,Canada
2020-02-11,Winnipeg,0,Canada
2020-02-12,Winnipeg,0,Canada
2020-02-13,Winnipeg,0,Canada
2020-02-14,Winnipeg,0,Canada
2020-02-15,Winnipeg,0,Canada
2020-02-16,Winnipeg,0,Canada
2020-02-17,Winnipeg,0,Canada
2020-02-18,Winnipeg,0,Canada
2020-02-19,Winnipeg,0,Canada
2020-02-20,Winnipeg,0,Canada
2020-02-21,Winnipeg,0,Canada
2020-02-22,Winnipeg,0,Canada
2020-02-23,Winnipeg,0,Canada
2020-02-24,Winnipeg,0,Canada
2020-02-25,Winnipeg,0,Canada
2020-02-26,Winnipeg,0,Canada
2020-02-27,Winnipeg,0,Canada
2020-02-28,Winnipeg,0,Canada
2020-02-29,Winnipeg,0,Canada
2020-03-01,Winnipeg,0,Canada
2020-03-02,Winnipeg,0,Canada
2020-03-03,Winnipeg,0,Canada
2020-03-04,Winnipeg,0,Canada
2020-03-05,Winnipeg,0,Canada
2020-03-06,Winnipeg,0,Canada
2020-03-07,Winnipeg,0,Canada
2020-03-08,Winnipeg,0,Canada
2020-03-09,Winnipeg,0,Canada
2020-03-10,Winnipeg,0,Canada
2020-03-11,Winnipeg,0,Canada
2020-03-12,Winnipeg,0,Canada
2020-03-13,Winnipeg,2,Canada
2020-03-14,Winnipeg,1,Canada
2020-03-15,Winnipeg,0,Canada
2020-03-16,Winnipeg,2,Canada
2020-03-17,Winnipeg,1,Canada
2020-03-18,Winnipeg,5,Canada
2020-03-19,Winnipeg,1,Canada
2020-03-20,Winnipeg,1,Canada
2020-03-21,Winnipeg,0,Canada
2020-03-22,Winnipeg,1,Canada
2020-03-23,Winnipeg,3,Canada
2020-03-24,Winnipeg,0,Canada
2020-03-25,Winnipeg,5,Canada
2020-03-26,Winnipeg,6,Canada
2020-03-27,Winnipeg,26,Canada
2020-03-28,Winnipeg,4,Canada
2020-03-29,Winnipeg,18,Canada
2020-03-30,Winnipeg,9,Canada
2020-03-31,Winnipeg,23,Canada
2020-04-01,Winnipeg,22,Canada
2020-04-02,Winnipeg,10,Canada
2020-04-03,Winnipeg,7,Canada
2020-04-04,Winnipeg,6,Canada
2020-04-05,Winnipeg,1,Canada
2020-04-06,Winnipeg,11,Canada
2020-04-07,Winnipeg,1,Canada
2020-04-08,Winnipeg,1,Canada
2020-04-09,Winnipeg,4,Canada
2020-04-10,Winnipeg,8,Canada
2020-04-11,Winnipeg,0,Canada
2020-04-12,Winnipeg,1,Canada
2020-04-13,Winnipeg,0,Canada
