city,date,cases,country
Santiago,2020-03-31,18,Chile
Santiago,2020-04-01,11,Chile
Santiago,2020-04-02,7,Chile
Santiago,2020-04-03,10,Chile
Santiago,2020-04-04,17,Chile
Santiago,2020-04-05,22,Chile
Santiago,2020-04-06,22,Chile
Santiago,2020-04-07,18,Chile
Santiago,2020-04-08,19,Chile
Santiago,2020-04-09,24,Chile
Santiago,2020-04-10,26,Chile
Santiago,2020-04-11,22,Chile
Santiago,2020-04-12,18,Chile
Santiago,2020-04-13,14,Chile
Santiago,2020-04-14,11,Chile
Santiago,2020-04-15,18,Chile
Santiago,2020-04-16,30,Chile
Santiago,2020-04-17,29,Chile
Santiago,2020-04-18,17,Chile
Santiago,2020-04-19,9,Chile
Santiago,2020-04-20,11,Chile
Santiago,2020-04-21,20,Chile
Santiago,2020-04-22,28,Chile
Santiago,2020-04-23,30,Chile
Santiago,2020-04-24,30,Chile
Santiago,2020-04-25,27,Chile
Santiago,2020-04-26,28,Chile
Santiago,2020-04-27,37,Chile
Santiago,2020-04-28,50,Chile
Santiago,2020-04-29,65,Chile
Santiago,2020-04-30,77,Chile
Santiago,2020-05-01,88,Chile
Santiago,2020-05-02,99,Chile
Santiago,2020-05-03,105,Chile
Santiago,2020-05-04,110,Chile
Santiago,2020-05-05,110,Chile
Santiago,2020-05-06,103,Chile
Santiago,2020-05-07,89,Chile
Santiago,2020-05-08,70,Chile
Santiago,2020-05-09,49,Chile
Santiago,2020-05-10,58,Chile
Santiago,2020-05-11,100,Chile
Santiago,2020-05-12,166,Chile
Santiago,2020-05-13,206,Chile
Santiago,2020-05-14,209,Chile
Santiago,2020-05-15,173,Chile
Santiago,2020-05-16,115,Chile
Santiago,2020-05-17,94,Chile
Santiago,2020-05-18,125,Chile
Santiago,2020-05-19,193,Chile
Santiago,2020-05-20,247,Chile
Santiago,2020-05-21,270,Chile
Santiago,2020-05-22,264,Chile
Santiago,2020-05-23,237,Chile
Santiago,2020-05-24,222,Chile
Santiago,2020-05-25,224,Chile
Santiago,2020-05-26,241,Chile
Santiago,2020-05-27,254,Chile
Santiago,2020-05-28,256,Chile
Santiago,2020-05-29,248,Chile
Santiago,2020-05-30,233,Chile
Santiago,2020-05-31,219,Chile
Santiago,2020-06-01,209,Chile
Santiago,2020-06-02,203,Chile
Santiago,2020-06-03,200,Chile
Santiago,2020-06-04,202,Chile
Santiago,2020-06-05,206,Chile
Santiago,2020-06-06,215,Chile
Santiago,2020-06-07,230,Chile
Santiago,2020-06-08,252,Chile
Santiago,2020-06-09,275,Chile
Santiago,2020-06-10,279,Chile
Santiago,2020-06-11,260,Chile
Santiago,2020-06-12,218,Chile
Santiago,2020-06-13,167,Chile
Santiago,2020-06-14,174,Chile
Santiago,2020-06-15,253,Chile
Santiago,2020-06-16,381,Chile
Santiago,2020-06-17,460,Chile
Santiago,2020-06-18,468,Chile
Santiago,2020-06-19,402,Chile
Santiago,2020-06-20,283,Chile
Santiago,2020-06-21,186,Chile
Santiago,2020-06-22,128,Chile
Santiago,2020-06-23,111,Chile
Santiago,2020-06-24,125,Chile
Santiago,2020-06-25,138,Chile
Santiago,2020-06-26,141,Chile
Santiago,2020-06-27,132,Chile
Santiago,2020-06-28,114,Chile
Santiago,2020-06-29,90,Chile
Santiago,2020-06-30,77,Chile
Santiago,2020-07-01,80,Chile
Santiago,2020-07-02,95,Chile
Santiago,2020-07-03,106,Chile
Santiago,2020-07-04,110,Chile
Santiago,2020-07-05,107,Chile
Santiago,2020-07-06,98,Chile
Santiago,2020-07-07,90,Chile
Santiago,2020-07-08,86,Chile
Santiago,2020-07-09,85,Chile
Santiago,2020-07-10,87,Chile
Santiago,2020-07-11,91,Chile
Santiago,2020-07-12,90,Chile
Santiago,2020-07-13,79,Chile
Santiago,2020-07-14,64,Chile
Santiago,2020-07-15,50,Chile
Santiago,2020-07-16,41,Chile
Santiago,2020-07-17,34,Chile
Santiago,2020-07-18,32,Chile
Santiago,2020-07-19,33,Chile
Santiago,2020-07-20,36,Chile
Santiago,2020-07-21,41,Chile
Santiago,2020-07-22,46,Chile
Santiago,2020-07-23,49,Chile
Santiago,2020-07-24,51,Chile
Santiago,2020-07-25,51,Chile
Santiago,2020-07-26,46,Chile
Santiago,2020-07-27,37,Chile
Santiago,2020-07-28,24,Chile
Santiago,2020-07-29,16,Chile
Santiago,2020-07-30,16,Chile
Santiago,2020-07-31,22,Chile
Santiago,2020-08-01,33,Chile
Santiago,2020-08-02,39,Chile
Santiago,2020-08-03,35,Chile
Santiago,2020-08-04,26,Chile
Santiago,2020-08-05,20,Chile
Santiago,2020-08-06,21,Chile
Santiago,2020-08-07,26,Chile
Santiago,2020-08-08,36,Chile
Santiago,2020-08-09,42,Chile
Santiago,2020-08-10,42,Chile
Santiago,2020-08-11,37,Chile
Santiago,2020-08-12,33,Chile
Santiago,2020-08-13,29,Chile
Santiago,2020-08-14,26,Chile
Santiago,2020-08-15,24,Chile
Santiago,2020-08-16,22,Chile
Santiago,2020-08-17,20,Chile
Santiago,2020-08-18,18,Chile
Santiago,2020-08-19,18,Chile
Santiago,2020-08-20,18,Chile
Santiago,2020-08-21,19,Chile
Santiago,2020-08-22,21,Chile
Santiago,2020-08-23,23,Chile
Santiago,2020-08-24,26,Chile
Santiago,2020-08-25,28,Chile
Santiago,2020-08-26,29,Chile
Santiago,2020-08-27,29,Chile
Santiago,2020-08-28,30,Chile
Santiago,2020-08-29,29,Chile
Santiago,2020-08-30,29,Chile
Santiago,2020-08-31,29,Chile
Santiago,2020-09-01,29,Chile
Santiago,2020-09-02,30,Chile
Santiago,2020-09-03,30,Chile
Santiago,2020-09-04,29,Chile
Santiago,2020-09-05,29,Chile
Santiago,2020-09-06,29,Chile
Santiago,2020-09-07,30,Chile
Santiago,2020-09-08,30,Chile
Santiago,2020-09-09,30,Chile
Santiago,2020-09-10,29,Chile
Santiago,2020-09-11,27,Chile
Santiago,2020-09-12,24,Chile
Santiago,2020-09-13,24,Chile
Santiago,2020-09-14,23,Chile
Santiago,2020-09-15,25,Chile
Santiago,2020-09-16,24,Chile
Santiago,2020-09-17,22,Chile
Santiago,2020-09-18,18,Chile
Santiago,2020-09-19,13,Chile
Santiago,2020-09-20,10,Chile
Santiago,2020-09-21,13,Chile
Santiago,2020-09-22,18,Chile
Santiago,2020-09-23,22,Chile
Santiago,2020-09-24,25,Chile
Santiago,2020-09-25,25,Chile
Santiago,2020-09-26,25,Chile
Santiago,2020-09-27,25,Chile
Santiago,2020-09-28,27,Chile
Santiago,2020-09-29,29,Chile
Santiago,2020-09-30,31,Chile
Santiago,2020-10-01,30,Chile
Santiago,2020-10-02,29,Chile
Santiago,2020-10-03,26,Chile
Santiago,2020-10-04,22,Chile
Santiago,2020-10-05,19,Chile
Santiago,2020-10-06,16,Chile
Santiago,2020-10-07,14,Chile
Santiago,2020-10-08,16,Chile
Santiago,2020-10-09,19,Chile
Santiago,2020-10-10,24,Chile
Santiago,2020-10-11,25,Chile
Santiago,2020-10-12,24,Chile
Santiago,2020-10-13,20,Chile
Santiago,2020-10-14,18,Chile
Santiago,2020-10-15,19,Chile
Santiago,2020-10-16,25,Chile
Santiago,2020-10-17,32,Chile
Santiago,2020-10-18,35,Chile
Santiago,2020-10-19,32,Chile
Santiago,2020-10-20,24,Chile
Santiago,2020-10-21,19,Chile
Santiago,2020-10-22,15,Chile
Santiago,2020-10-23,15,Chile
Santiago,2020-10-24,18,Chile
Santiago,2020-10-25,22,Chile
Santiago,2020-10-26,23,Chile
Santiago,2020-10-27,19,Chile
Santiago,2020-10-28,16,Chile
Santiago,2020-10-29,17,Chile
Santiago,2020-10-30,20,Chile
Santiago,2020-10-31,25,Chile
Santiago,2020-11-01,29,Chile
Santiago,2020-11-02,28,Chile
Santiago,2020-11-03,25,Chile
Santiago,2020-11-04,23,Chile
Santiago,2020-11-05,20,Chile
Santiago,2020-11-06,18,Chile
Santiago,2020-11-07,17,Chile
Santiago,2020-11-08,15,Chile
Santiago,2020-11-09,14,Chile
Santiago,2020-11-10,13,Chile
Santiago,2020-11-11,13,Chile
Santiago,2020-11-12,15,Chile
Santiago,2020-11-13,20,Chile
Santiago,2020-11-14,25,Chile
Santiago,2020-11-15,26,Chile
Santiago,2020-11-16,24,Chile
Santiago,2020-11-17,19,Chile
Santiago,2020-11-18,16,Chile
Santiago,2020-11-19,15,Chile
Santiago,2020-11-20,18,Chile
Santiago,2020-11-21,22,Chile
Santiago,2020-11-22,22,Chile
Santiago,2020-11-23,16,Chile
Santiago,2020-11-24,7,Chile
Santiago,2020-11-25,5,Chile
Santiago,2020-11-26,14,Chile
Santiago,2020-11-27,33,Chile
Santiago,2020-11-28,58,Chile
Santiago,2020-11-29,70,Chile
Santiago,2020-11-30,67,Chile
Santiago,2020-12-01,50,Chile
Santiago,2020-12-02,37,Chile
Santiago,2020-12-03,30,Chile
Santiago,2020-12-04,32,Chile
Santiago,2020-12-05,38,Chile
Santiago,2020-12-06,40,Chile
Santiago,2020-12-07,37,Chile
Santiago,2020-12-08,30,Chile
Santiago,2020-12-09,26,Chile
Santiago,2020-12-10,26,Chile
Santiago,2020-12-11,29,Chile
Santiago,2020-12-12,36,Chile
Santiago,2020-12-13,40,Chile
Santiago,2020-12-14,41,Chile
Santiago,2020-12-15,39,Chile
Santiago,2020-12-16,38,Chile
Santiago,2020-12-17,37,Chile
Santiago,2020-12-18,37,Chile
Santiago,2020-12-19,38,Chile
Santiago,2020-12-20,39,Chile
Santiago,2020-12-21,41,Chile
Santiago,2020-12-22,42,Chile
Santiago,2020-12-23,42,Chile
Santiago,2020-12-24,37,Chile
Santiago,2020-12-25,30,Chile
Santiago,2020-12-26,22,Chile
Santiago,2020-12-27,23,Chile
Santiago,2020-12-28,32,Chile
Santiago,2020-12-29,49,Chile
Santiago,2020-12-30,60,Chile
Santiago,2020-12-31,63,Chile
Santiago,2021-01-01,56,Chile
