date,cases,city,country
2020-03-01,2,Prague,Czech Republic
2020-03-03,1,Prague,Czech Republic
2020-03-04,1,Prague,Czech Republic
2020-03-06,8,Prague,Czech Republic
2020-03-07,4,Prague,Czech Republic
2020-03-09,4,Prague,Czech Republic
2020-03-10,12,Prague,Czech Republic
2020-03-11,6,Prague,Czech Republic
2020-03-12,12,Prague,Czech Republic
2020-03-13,7,Prague,Czech Republic
2020-03-14,15,Prague,Czech Republic
2020-03-15,40,Prague,Czech Republic
2020-03-16,20,Prague,Czech Republic
2020-03-17,20,Prague,Czech Republic
2020-03-18,32,Prague,Czech Republic
2020-03-19,79,Prague,Czech Republic
2020-03-20,35,Prague,Czech Republic
2020-03-21,63,Prague,Czech Republic
2020-03-22,28,Prague,Czech Republic
2020-03-23,39,Prague,Czech Republic
2020-03-24,58,Prague,Czech Republic
2020-03-25,83,Prague,Czech Republic
2020-03-26,70,Prague,Czech Republic
2020-03-27,112,Prague,Czech Republic
2020-03-28,56,Prague,Czech Republic
2020-03-29,33,Prague,Czech Republic
2020-03-30,37,Prague,Czech Republic
2020-03-31,59,Prague,Czech Republic
2020-04-01,78,Prague,Czech Republic
2020-04-02,83,Prague,Czech Republic
2020-04-03,61,Prague,Czech Republic
2020-04-04,28,Prague,Czech Republic
2020-04-05,38,Prague,Czech Republic
2020-04-06,36,Prague,Czech Republic
2020-04-07,34,Prague,Czech Republic
2020-04-08,58,Prague,Czech Republic
2020-04-09,40,Prague,Czech Republic
2020-04-10,36,Prague,Czech Republic
2020-04-11,19,Prague,Czech Republic
2020-04-12,15,Prague,Czech Republic
2020-04-13,11,Prague,Czech Republic
2020-04-14,12,Prague,Czech Republic
2020-04-15,39,Prague,Czech Republic
2020-04-16,24,Prague,Czech Republic
2020-04-17,22,Prague,Czech Republic
2020-04-18,28,Prague,Czech Republic
2020-04-19,13,Prague,Czech Republic
2020-04-20,44,Prague,Czech Republic
2020-04-21,9,Prague,Czech Republic
2020-04-22,14,Prague,Czech Republic
2020-04-23,2,Prague,Czech Republic
2020-04-24,14,Prague,Czech Republic
2020-04-25,14,Prague,Czech Republic
2020-04-26,1,Prague,Czech Republic
2020-04-27,4,Prague,Czech Republic
2020-04-28,10,Prague,Czech Republic
2020-04-29,14,Prague,Czech Republic
2020-04-30,33,Prague,Czech Republic
2020-05-01,14,Prague,Czech Republic
2020-05-02,2,Prague,Czech Republic
2020-05-03,1,Prague,Czech Republic
2020-05-04,12,Prague,Czech Republic
2020-05-05,19,Prague,Czech Republic
2020-05-06,11,Prague,Czech Republic
2020-05-07,15,Prague,Czech Republic
2020-05-08,14,Prague,Czech Republic
2020-05-09,12,Prague,Czech Republic
2020-05-10,9,Prague,Czech Republic
2020-05-11,13,Prague,Czech Republic
2020-05-12,7,Prague,Czech Republic
2020-05-13,25,Prague,Czech Republic
2020-05-14,13,Prague,Czech Republic
2020-05-15,16,Prague,Czech Republic
2020-05-16,20,Prague,Czech Republic
2020-05-17,13,Prague,Czech Republic
2020-05-18,27,Prague,Czech Republic
2020-05-19,17,Prague,Czech Republic
2020-05-20,16,Prague,Czech Republic
2020-05-21,5,Prague,Czech Republic
2020-05-22,25,Prague,Czech Republic
2020-05-23,3,Prague,Czech Republic
2020-05-24,4,Prague,Czech Republic
2020-05-25,4,Prague,Czech Republic
2020-05-26,4,Prague,Czech Republic
