date,city,country,DailyCases
2020-02-05,Tallinn,Estonia,0
2020-02-06,Tallinn,Estonia,0
2020-02-07,Tallinn,Estonia,0
2020-02-08,Tallinn,Estonia,0
2020-02-09,Tallinn,Estonia,0
2020-02-10,Tallinn,Estonia,0
2020-02-11,Tallinn,Estonia,0
2020-02-12,Tallinn,Estonia,0
2020-02-13,Tallinn,Estonia,0
2020-02-14,Tallinn,Estonia,0
2020-02-15,Tallinn,Estonia,0
2020-02-16,Tallinn,Estonia,0
2020-02-17,Tallinn,Estonia,0
2020-02-18,Tallinn,Estonia,0
2020-02-19,Tallinn,Estonia,0
2020-02-20,Tallinn,Estonia,0
2020-02-21,Tallinn,Estonia,0
2020-02-22,Tallinn,Estonia,0
2020-02-23,Tallinn,Estonia,0
2020-02-24,Tallinn,Estonia,0
2020-02-25,Tallinn,Estonia,0
2020-02-26,Tallinn,Estonia,1
2020-02-27,Tallinn,Estonia,0
2020-02-28,Tallinn,Estonia,0
2020-02-29,Tallinn,Estonia,0
2020-03-01,Tallinn,Estonia,0
2020-03-02,Tallinn,Estonia,0
2020-03-03,Tallinn,Estonia,0
2020-03-04,Tallinn,Estonia,1
2020-03-05,Tallinn,Estonia,6
2020-03-06,Tallinn,Estonia,0
2020-03-07,Tallinn,Estonia,0
2020-03-08,Tallinn,Estonia,0
2020-03-09,Tallinn,Estonia,3
2020-03-10,Tallinn,Estonia,0
2020-03-11,Tallinn,Estonia,3
2020-03-12,Tallinn,Estonia,23
2020-03-13,Tallinn,Estonia,15
2020-03-14,Tallinn,Estonia,15
2020-03-15,Tallinn,Estonia,18
2020-03-16,Tallinn,Estonia,10
2020-03-17,Tallinn,Estonia,3
2020-03-18,Tallinn,Estonia,17
2020-03-19,Tallinn,Estonia,9
2020-03-20,Tallinn,Estonia,7
2020-03-21,Tallinn,Estonia,10
2020-03-22,Tallinn,Estonia,2
2020-03-23,Tallinn,Estonia,8
2020-03-24,Tallinn,Estonia,25
2020-03-25,Tallinn,Estonia,13
2020-03-26,Tallinn,Estonia,6
2020-03-27,Tallinn,Estonia,17
2020-03-28,Tallinn,Estonia,11
2020-03-29,Tallinn,Estonia,8
2020-03-30,Tallinn,Estonia,13
2020-03-31,Tallinn,Estonia,23
2020-04-01,Tallinn,Estonia,25
2020-04-02,Tallinn,Estonia,20
2020-04-03,Tallinn,Estonia,19
2020-04-04,Tallinn,Estonia,14
2020-04-05,Tallinn,Estonia,6
2020-04-06,Tallinn,Estonia,17
2020-04-07,Tallinn,Estonia,17
2020-04-08,Tallinn,Estonia,5
2020-04-09,Tallinn,Estonia,24
2020-04-10,Tallinn,Estonia,12
2020-04-11,Tallinn,Estonia,2
2020-04-12,Tallinn,Estonia,5
2020-04-13,Tallinn,Estonia,19
2020-04-14,Tallinn,Estonia,13
2020-04-15,Tallinn,Estonia,18
2020-04-16,Tallinn,Estonia,9
2020-04-17,Tallinn,Estonia,32
2020-04-18,Tallinn,Estonia,6
2020-04-19,Tallinn,Estonia,6
2020-04-20,Tallinn,Estonia,11
2020-04-21,Tallinn,Estonia,5
2020-04-22,Tallinn,Estonia,12
2020-04-23,Tallinn,Estonia,7
2020-04-24,Tallinn,Estonia,9
2020-04-25,Tallinn,Estonia,7
2020-04-26,Tallinn,Estonia,3
2020-04-27,Tallinn,Estonia,4
2020-04-28,Tallinn,Estonia,2
2020-04-29,Tallinn,Estonia,3
2020-04-30,Tallinn,Estonia,3
2020-05-01,Tallinn,Estonia,4
2020-05-02,Tallinn,Estonia,0
2020-05-03,Tallinn,Estonia,2
2020-05-04,Tallinn,Estonia,5
2020-05-05,Tallinn,Estonia,1
2020-05-06,Tallinn,Estonia,6
2020-05-07,Tallinn,Estonia,1
2020-05-08,Tallinn,Estonia,3
2020-05-09,Tallinn,Estonia,1
2020-05-10,Tallinn,Estonia,2
2020-05-11,Tallinn,Estonia,2
2020-05-12,Tallinn,Estonia,4
2020-05-13,Tallinn,Estonia,5
2020-05-14,Tallinn,Estonia,4
2020-05-15,Tallinn,Estonia,3
2020-05-16,Tallinn,Estonia,1
2020-05-17,Tallinn,Estonia,2
2020-05-18,Tallinn,Estonia,4
2020-05-19,Tallinn,Estonia,3
2020-05-20,Tallinn,Estonia,3
2020-05-21,Tallinn,Estonia,6
2020-05-22,Tallinn,Estonia,9
2020-05-23,Tallinn,Estonia,1
2020-05-24,Tallinn,Estonia,1
2020-05-25,Tallinn,Estonia,6
2020-05-26,Tallinn,Estonia,5
2020-05-27,Tallinn,Estonia,7
2020-05-28,Tallinn,Estonia,5
2020-05-29,Tallinn,Estonia,1
2020-05-30,Tallinn,Estonia,4
2020-05-31,Tallinn,Estonia,2
2020-06-01,Tallinn,Estonia,0
2020-06-02,Tallinn,Estonia,5
2020-06-03,Tallinn,Estonia,9
2020-06-04,Tallinn,Estonia,15
2020-06-05,Tallinn,Estonia,13
2020-06-06,Tallinn,Estonia,5
2020-06-07,Tallinn,Estonia,1
2020-06-08,Tallinn,Estonia,5
2020-06-09,Tallinn,Estonia,10
2020-06-10,Tallinn,Estonia,5
2020-06-11,Tallinn,Estonia,3
2020-06-12,Tallinn,Estonia,3
2020-06-13,Tallinn,Estonia,0
2020-06-14,Tallinn,Estonia,0
2020-06-15,Tallinn,Estonia,0
2020-06-16,Tallinn,Estonia,2
2020-06-17,Tallinn,Estonia,0
2020-06-18,Tallinn,Estonia,2
2020-06-19,Tallinn,Estonia,3
2020-06-20,Tallinn,Estonia,0
2020-06-21,Tallinn,Estonia,0
2020-06-22,Tallinn,Estonia,1
2020-06-23,Tallinn,Estonia,1
2020-06-24,Tallinn,Estonia,0
2020-06-25,Tallinn,Estonia,0
2020-06-26,Tallinn,Estonia,1
2020-06-27,Tallinn,Estonia,1
2020-06-28,Tallinn,Estonia,0
2020-06-29,Tallinn,Estonia,1
2020-06-30,Tallinn,Estonia,0
2020-07-01,Tallinn,Estonia,0
2020-07-02,Tallinn,Estonia,0
2020-07-03,Tallinn,Estonia,0
2020-07-04,Tallinn,Estonia,0
2020-07-05,Tallinn,Estonia,1
2020-07-06,Tallinn,Estonia,1
2020-07-07,Tallinn,Estonia,5
2020-07-08,Tallinn,Estonia,3
2020-07-09,Tallinn,Estonia,2
2020-07-10,Tallinn,Estonia,1
2020-07-11,Tallinn,Estonia,0
2020-07-12,Tallinn,Estonia,0
2020-07-13,Tallinn,Estonia,0
2020-07-14,Tallinn,Estonia,0
2020-07-15,Tallinn,Estonia,0
2020-07-16,Tallinn,Estonia,0
2020-07-17,Tallinn,Estonia,1
2020-07-18,Tallinn,Estonia,0
2020-07-19,Tallinn,Estonia,0
2020-07-20,Tallinn,Estonia,0
2020-07-21,Tallinn,Estonia,0
2020-07-22,Tallinn,Estonia,0
2020-07-23,Tallinn,Estonia,0
2020-07-24,Tallinn,Estonia,0
2020-07-25,Tallinn,Estonia,1
2020-07-26,Tallinn,Estonia,0
2020-07-27,Tallinn,Estonia,2
2020-07-28,Tallinn,Estonia,0
2020-07-29,Tallinn,Estonia,1
2020-07-30,Tallinn,Estonia,3
2020-07-31,Tallinn,Estonia,4
2020-08-01,Tallinn,Estonia,2
2020-08-02,Tallinn,Estonia,0
2020-08-03,Tallinn,Estonia,1
2020-08-04,Tallinn,Estonia,0
2020-08-05,Tallinn,Estonia,1
2020-08-06,Tallinn,Estonia,3
2020-08-07,Tallinn,Estonia,1
2020-08-08,Tallinn,Estonia,1
2020-08-09,Tallinn,Estonia,1
2020-08-10,Tallinn,Estonia,2
2020-08-11,Tallinn,Estonia,3
2020-08-12,Tallinn,Estonia,0
2020-08-13,Tallinn,Estonia,2
2020-08-14,Tallinn,Estonia,3
2020-08-15,Tallinn,Estonia,2
2020-08-16,Tallinn,Estonia,0
2020-08-17,Tallinn,Estonia,4
2020-08-18,Tallinn,Estonia,3
2020-08-19,Tallinn,Estonia,5
2020-08-20,Tallinn,Estonia,4
2020-08-21,Tallinn,Estonia,10
2020-08-22,Tallinn,Estonia,1
2020-08-23,Tallinn,Estonia,0
2020-08-24,Tallinn,Estonia,3
2020-08-25,Tallinn,Estonia,8
2020-08-26,Tallinn,Estonia,7
2020-08-27,Tallinn,Estonia,6
2020-08-28,Tallinn,Estonia,5
2020-08-29,Tallinn,Estonia,8
2020-08-30,Tallinn,Estonia,2
2020-08-31,Tallinn,Estonia,10
2020-09-01,Tallinn,Estonia,8
2020-09-02,Tallinn,Estonia,18
2020-09-03,Tallinn,Estonia,9
2020-09-04,Tallinn,Estonia,24
2020-09-05,Tallinn,Estonia,17
2020-09-06,Tallinn,Estonia,8
2020-09-07,Tallinn,Estonia,12
2020-09-08,Tallinn,Estonia,11
2020-09-09,Tallinn,Estonia,6
2020-09-10,Tallinn,Estonia,16
2020-09-11,Tallinn,Estonia,17
2020-09-12,Tallinn,Estonia,13
2020-09-13,Tallinn,Estonia,12
2020-09-14,Tallinn,Estonia,12
2020-09-15,Tallinn,Estonia,9
2020-09-16,Tallinn,Estonia,13
2020-09-17,Tallinn,Estonia,12
2020-09-18,Tallinn,Estonia,38
2020-09-19,Tallinn,Estonia,16
2020-09-20,Tallinn,Estonia,5
2020-09-21,Tallinn,Estonia,14
2020-09-22,Tallinn,Estonia,39
2020-09-23,Tallinn,Estonia,17
2020-09-24,Tallinn,Estonia,15
2020-09-25,Tallinn,Estonia,20
2020-09-26,Tallinn,Estonia,19
2020-09-27,Tallinn,Estonia,33
2020-09-28,Tallinn,Estonia,30
2020-09-29,Tallinn,Estonia,31
2020-09-30,Tallinn,Estonia,39
2020-10-01,Tallinn,Estonia,43
2020-10-02,Tallinn,Estonia,26
2020-10-03,Tallinn,Estonia,11
2020-10-04,Tallinn,Estonia,7
2020-10-05,Tallinn,Estonia,21
2020-10-06,Tallinn,Estonia,17
2020-10-07,Tallinn,Estonia,30
2020-10-08,Tallinn,Estonia,11
2020-10-09,Tallinn,Estonia,20
2020-10-10,Tallinn,Estonia,5
2020-10-11,Tallinn,Estonia,4
2020-10-12,Tallinn,Estonia,11
2020-10-13,Tallinn,Estonia,20
2020-10-14,Tallinn,Estonia,3
2020-10-15,Tallinn,Estonia,14
2020-10-16,Tallinn,Estonia,17
2020-10-17,Tallinn,Estonia,14
2020-10-18,Tallinn,Estonia,3
2020-10-19,Tallinn,Estonia,21
2020-10-20,Tallinn,Estonia,27
2020-10-21,Tallinn,Estonia,49
2020-10-22,Tallinn,Estonia,32
2020-10-23,Tallinn,Estonia,31
2020-10-24,Tallinn,Estonia,13
2020-10-25,Tallinn,Estonia,10
2020-10-26,Tallinn,Estonia,21
2020-10-27,Tallinn,Estonia,50
2020-10-28,Tallinn,Estonia,44
2020-10-29,Tallinn,Estonia,66
2020-10-30,Tallinn,Estonia,76
2020-10-31,Tallinn,Estonia,43
2020-11-01,Tallinn,Estonia,39
2020-11-02,Tallinn,Estonia,54
2020-11-03,Tallinn,Estonia,103
2020-11-04,Tallinn,Estonia,92
2020-11-05,Tallinn,Estonia,116
2020-11-06,Tallinn,Estonia,106
2020-11-07,Tallinn,Estonia,91
2020-11-08,Tallinn,Estonia,95
2020-11-09,Tallinn,Estonia,89
2020-11-10,Tallinn,Estonia,62
2020-11-11,Tallinn,Estonia,243
2020-11-12,Tallinn,Estonia,123
2020-11-13,Tallinn,Estonia,153
2020-11-14,Tallinn,Estonia,128
2020-11-15,Tallinn,Estonia,142
2020-11-16,Tallinn,Estonia,110
2020-11-17,Tallinn,Estonia,156
2020-11-18,Tallinn,Estonia,229
2020-11-19,Tallinn,Estonia,198
2020-11-20,Tallinn,Estonia,130
2020-11-21,Tallinn,Estonia,205
2020-11-22,Tallinn,Estonia,140
2020-11-23,Tallinn,Estonia,124
2020-11-24,Tallinn,Estonia,178
2020-11-25,Tallinn,Estonia,230
2020-11-26,Tallinn,Estonia,175
2020-11-27,Tallinn,Estonia,163
2020-11-28,Tallinn,Estonia,173
2020-11-29,Tallinn,Estonia,119
2020-11-30,Tallinn,Estonia,94
2020-12-01,Tallinn,Estonia,278
2020-12-02,Tallinn,Estonia,213
2020-12-03,Tallinn,Estonia,223
2020-12-04,Tallinn,Estonia,311
2020-12-05,Tallinn,Estonia,212
2020-12-06,Tallinn,Estonia,130
2020-12-07,Tallinn,Estonia,176
2020-12-08,Tallinn,Estonia,288
2020-12-09,Tallinn,Estonia,354
2020-12-10,Tallinn,Estonia,169
2020-12-11,Tallinn,Estonia,401
2020-12-12,Tallinn,Estonia,210
2020-12-13,Tallinn,Estonia,183
2020-12-14,Tallinn,Estonia,164
2020-12-15,Tallinn,Estonia,356
2020-12-16,Tallinn,Estonia,400
2020-12-17,Tallinn,Estonia,327
2020-12-18,Tallinn,Estonia,361
2020-12-19,Tallinn,Estonia,345
2020-12-20,Tallinn,Estonia,192
