city,date,cases,country
Berlin,2020-01-01,1,Germany
Berlin,2020-01-04,2,Germany
Berlin,2020-01-06,1,Germany
Berlin,2020-01-10,1,Germany
Berlin,2020-01-12,1,Germany
Berlin,2020-01-14,1,Germany
Berlin,2020-01-23,1,Germany
Berlin,2020-01-27,1,Germany
Berlin,2020-01-30,1,Germany
Berlin,2020-02-12,2,Germany
Berlin,2020-02-19,2,Germany
Berlin,2020-02-23,1,Germany
Berlin,2020-02-24,1,Germany
Berlin,2020-02-25,3,Germany
Berlin,2020-02-26,4,Germany
Berlin,2020-02-27,5,Germany
Berlin,2020-02-28,9,Germany
Berlin,2020-02-29,7,Germany
Berlin,2020-03-01,15,Germany
Berlin,2020-03-02,22,Germany
Berlin,2020-03-03,22,Germany
Berlin,2020-03-04,31,Germany
Berlin,2020-03-05,25,Germany
Berlin,2020-03-06,43,Germany
Berlin,2020-03-07,37,Germany
Berlin,2020-03-08,45,Germany
Berlin,2020-03-09,87,Germany
Berlin,2020-03-10,136,Germany
Berlin,2020-03-11,140,Germany
Berlin,2020-03-12,160,Germany
Berlin,2020-03-13,186,Germany
Berlin,2020-03-14,179,Germany
Berlin,2020-03-15,197,Germany
Berlin,2020-03-16,240,Germany
Berlin,2020-03-17,213,Germany
Berlin,2020-03-18,207,Germany
Berlin,2020-03-19,181,Germany
Berlin,2020-03-20,183,Germany
Berlin,2020-03-21,147,Germany
Berlin,2020-03-22,125,Germany
Berlin,2020-03-23,193,Germany
Berlin,2020-03-24,135,Germany
Berlin,2020-03-25,142,Germany
Berlin,2020-03-26,154,Germany
Berlin,2020-03-27,138,Germany
Berlin,2020-03-28,122,Germany
Berlin,2020-03-29,96,Germany
Berlin,2020-03-30,140,Germany
Berlin,2020-03-31,108,Germany
Berlin,2020-04-01,124,Germany
Berlin,2020-04-02,130,Germany
Berlin,2020-04-03,143,Germany
Berlin,2020-04-04,91,Germany
Berlin,2020-04-05,81,Germany
Berlin,2020-04-06,128,Germany
Berlin,2020-04-07,122,Germany
Berlin,2020-04-08,90,Germany
Berlin,2020-04-09,103,Germany
Berlin,2020-04-10,83,Germany
Berlin,2020-04-11,74,Germany
Berlin,2020-04-12,63,Germany
Berlin,2020-04-13,64,Germany
Berlin,2020-04-14,76,Germany
Berlin,2020-04-15,60,Germany
