country,city,date,cases_cum,cases
Netherlands,Amsterdam,2020-03-02,NA,0
Netherlands,Amsterdam,2020-03-03,NA,0
Netherlands,Amsterdam,2020-03-04,1,0
Netherlands,Amsterdam,2020-03-05,2,1
Netherlands,Amsterdam,2020-03-06,2,0
Netherlands,Amsterdam,2020-03-07,3,1
Netherlands,Amsterdam,2020-03-08,4,1
Netherlands,Amsterdam,2020-03-09,4,0
Netherlands,Amsterdam,2020-03-10,8,4
Netherlands,Amsterdam,2020-03-11,8,0
Netherlands,Amsterdam,2020-03-12,11,3
Netherlands,Amsterdam,2020-03-13,20,9
Netherlands,Amsterdam,2020-03-14,31,11
Netherlands,Amsterdam,2020-03-15,31,0
Netherlands,Amsterdam,2020-03-16,39,8
Netherlands,Amsterdam,2020-03-17,56,17
Netherlands,Amsterdam,2020-03-18,61,5
Netherlands,Amsterdam,2020-03-19,85,24
Netherlands,Amsterdam,2020-03-20,127,42
Netherlands,Amsterdam,2020-03-21,161,34
Netherlands,Amsterdam,2020-03-22,188,27
Netherlands,Amsterdam,2020-03-23,203,15
Netherlands,Amsterdam,2020-03-24,250,47
Netherlands,Amsterdam,2020-03-25,297,47
Netherlands,Amsterdam,2020-03-26,351,54
Netherlands,Amsterdam,2020-03-27,411,60
Netherlands,Amsterdam,2020-03-28,477,66
Netherlands,Amsterdam,2020-03-29,530,53
Netherlands,Amsterdam,2020-03-30,571,41
Netherlands,Amsterdam,2020-03-31,NA,0
Netherlands,Amsterdam,2020-04-01,NA,0
Netherlands,Amsterdam,2020-04-02,NA,0
Netherlands,Amsterdam,2020-04-03,NA,0
Netherlands,Amsterdam,2020-04-04,NA,0
Netherlands,Amsterdam,2020-04-05,NA,0
Netherlands,Amsterdam,2020-04-06,NA,0
Netherlands,Amsterdam,2020-04-07,NA,0
Netherlands,Amsterdam,2020-04-08,939,0
Netherlands,Amsterdam,2020-04-09,990,51
Netherlands,Amsterdam,2020-04-10,1071,81
Netherlands,Amsterdam,2020-04-11,1120,49
Netherlands,Amsterdam,2020-04-12,1166,46
Netherlands,Amsterdam,2020-04-13,1190,24
Netherlands,Amsterdam,2020-04-14,1227,37
Netherlands,Amsterdam,2020-04-15,1254,27
Netherlands,Amsterdam,2020-04-16,1305,51
Netherlands,Amsterdam,2020-04-17,1377,72
Netherlands,Amsterdam,2020-04-18,1419,42
Netherlands,Amsterdam,2020-04-19,1472,53
