city,date,cases,country
Oslo,2020-03-26,155,Norway
Oslo,2020-03-27,91,Norway
Oslo,2020-03-28,133,Norway
Oslo,2020-03-29,47,Norway
Oslo,2020-03-30,64,Norway
Oslo,2020-03-31,48,Norway
Oslo,2020-04-01,98,Norway
Oslo,2020-04-02,59,Norway
Oslo,2020-04-03,96,Norway
Oslo,2020-04-04,48,Norway
Oslo,2020-04-05,44,Norway
Oslo,2020-04-06,47,Norway
Oslo,2020-04-07,57,Norway
Oslo,2020-04-08,50,Norway
Oslo,2020-04-09,47,Norway
Oslo,2020-04-10,39,Norway
Oslo,2020-04-11,27,Norway
Oslo,2020-04-12,33,Norway
Oslo,2020-04-13,34,Norway
Oslo,2020-04-14,25,Norway
Oslo,2020-04-15,46,Norway
Oslo,2020-04-16,35,Norway
Oslo,2020-04-17,29,Norway
Oslo,2020-04-18,37,Norway
Oslo,2020-04-19,24,Norway
Oslo,2020-04-20,21,Norway
Oslo,2020-04-21,34,Norway
Oslo,2020-04-22,40,Norway
Oslo,2020-04-23,21,Norway
Oslo,2020-04-24,26,Norway
Oslo,2020-04-25,9,Norway
Oslo,2020-04-26,16,Norway
Oslo,2020-04-27,15,Norway
Oslo,2020-04-28,15,Norway
Oslo,2020-04-29,10,Norway
Oslo,2020-04-30,18,Norway
Oslo,2020-05-01,4,Norway
Oslo,2020-05-02,14,Norway
Oslo,2020-05-03,16,Norway
Oslo,2020-05-04,30,Norway
Oslo,2020-05-05,23,Norway
Oslo,2020-05-06,14,Norway
Oslo,2020-05-07,14,Norway
Oslo,2020-05-08,16,Norway
Oslo,2020-05-09,5,Norway
Oslo,2020-05-10,3,Norway
Oslo,2020-05-11,14,Norway
Oslo,2020-05-12,6,Norway
Oslo,2020-05-13,4,Norway
Oslo,2020-05-14,4,Norway
Oslo,2020-05-15,12,Norway
Oslo,2020-05-16,3,Norway
Oslo,2020-05-17,2,Norway
Oslo,2020-05-18,3,Norway
Oslo,2020-05-19,0,Norway
Oslo,2020-05-20,7,Norway
Oslo,2020-05-21,11,Norway
Oslo,2020-05-22,9,Norway
Oslo,2020-05-23,2,Norway
Oslo,2020-05-24,6,Norway
Oslo,2020-05-25,7,Norway
Oslo,2020-05-26,6,Norway
Oslo,2020-05-27,5,Norway
Oslo,2020-05-28,7,Norway
Oslo,2020-05-29,4,Norway
Oslo,2020-05-30,2,Norway
Oslo,2020-05-31,0,Norway
Oslo,2020-06-01,3,Norway
Oslo,2020-06-02,2,Norway
Oslo,2020-06-03,17,Norway
Oslo,2020-06-04,16,Norway
Oslo,2020-06-05,11,Norway
Oslo,2020-06-06,15,Norway
Oslo,2020-06-07,3,Norway
Oslo,2020-06-08,16,Norway
Oslo,2020-06-09,5,Norway
Oslo,2020-06-10,11,Norway
Oslo,2020-06-11,10,Norway
Oslo,2020-06-12,8,Norway
Oslo,2020-06-13,5,Norway
Oslo,2020-06-14,3,Norway
Oslo,2020-06-15,10,Norway
Oslo,2020-06-16,5,Norway
Oslo,2020-06-17,18,Norway
Oslo,2020-06-18,5,Norway
Oslo,2020-06-19,10,Norway
Oslo,2020-06-20,8,Norway
Oslo,2020-06-21,3,Norway
Oslo,2020-06-22,4,Norway
Oslo,2020-06-23,5,Norway
Oslo,2020-06-24,6,Norway
Oslo,2020-06-25,7,Norway
Oslo,2020-06-26,6,Norway
Oslo,2020-06-27,3,Norway
Oslo,2020-06-28,8,Norway
Oslo,2020-06-29,2,Norway
Oslo,2020-06-30,9,Norway
Oslo,2020-07-01,2,Norway
Oslo,2020-07-02,1,Norway
Oslo,2020-07-03,8,Norway
Oslo,2020-07-04,1,Norway
Oslo,2020-07-05,0,Norway
Oslo,2020-07-06,2,Norway
Oslo,2020-07-07,1,Norway
Oslo,2020-07-08,3,Norway
Oslo,2020-07-09,3,Norway
Oslo,2020-07-10,7,Norway
Oslo,2020-07-11,1,Norway
Oslo,2020-07-12,2,Norway
Oslo,2020-07-13,2,Norway
Oslo,2020-07-14,8,Norway
Oslo,2020-07-15,2,Norway
Oslo,2020-07-16,3,Norway
Oslo,2020-07-17,6,Norway
Oslo,2020-07-18,0,Norway
Oslo,2020-07-19,0,Norway
Oslo,2020-07-20,4,Norway
Oslo,2020-07-21,5,Norway
Oslo,2020-07-22,5,Norway
Oslo,2020-07-23,3,Norway
Oslo,2020-07-24,3,Norway
Oslo,2020-07-25,5,Norway
Oslo,2020-07-26,0,Norway
Oslo,2020-07-27,3,Norway
Oslo,2020-07-28,7,Norway
Oslo,2020-07-29,10,Norway
Oslo,2020-07-30,6,Norway
Oslo,2020-07-31,14,Norway
Oslo,2020-08-01,3,Norway
Oslo,2020-08-02,3,Norway
Oslo,2020-08-03,12,Norway
Oslo,2020-08-04,11,Norway
Oslo,2020-08-05,18,Norway
Oslo,2020-08-06,21,Norway
Oslo,2020-08-07,34,Norway
Oslo,2020-08-08,14,Norway
Oslo,2020-08-09,6,Norway
Oslo,2020-08-10,11,Norway
Oslo,2020-08-11,21,Norway
Oslo,2020-08-12,7,Norway
Oslo,2020-08-13,18,Norway
Oslo,2020-08-14,21,Norway
Oslo,2020-08-15,25,Norway
Oslo,2020-08-16,9,Norway
Oslo,2020-08-17,10,Norway
Oslo,2020-08-18,14,Norway
Oslo,2020-08-19,18,Norway
Oslo,2020-08-20,16,Norway
Oslo,2020-08-21,24,Norway
Oslo,2020-08-22,8,Norway
Oslo,2020-08-23,5,Norway
Oslo,2020-08-24,20,Norway
Oslo,2020-08-25,34,Norway
Oslo,2020-08-26,20,Norway
Oslo,2020-08-27,7,Norway
Oslo,2020-08-28,15,Norway
Oslo,2020-08-29,10,Norway
Oslo,2020-08-30,15,Norway
Oslo,2020-08-31,32,Norway
Oslo,2020-09-01,13,Norway
Oslo,2020-09-02,34,Norway
Oslo,2020-09-03,22,Norway
Oslo,2020-09-04,15,Norway
Oslo,2020-09-05,10,Norway
Oslo,2020-09-06,15,Norway
Oslo,2020-09-07,32,Norway
Oslo,2020-09-08,26,Norway
Oslo,2020-09-09,34,Norway
Oslo,2020-09-10,41,Norway
Oslo,2020-09-11,40,Norway
Oslo,2020-09-12,21,Norway
Oslo,2020-09-13,14,Norway
Oslo,2020-09-14,44,Norway
Oslo,2020-09-15,46,Norway
Oslo,2020-09-16,49,Norway
Oslo,2020-09-17,61,Norway
Oslo,2020-09-18,50,Norway
Oslo,2020-09-19,39,Norway
