date,city,cases,country
2020-03-06,Apurimac,0,Peru
2020-03-07,Apurimac,0,Peru
2020-03-08,Apurimac,0,Peru
2020-03-09,Apurimac,0,Peru
2020-03-10,Apurimac,0,Peru
2020-03-11,Apurimac,0,Peru
2020-03-12,Apurimac,0,Peru
2020-03-13,Apurimac,0,Peru
2020-03-14,Apurimac,0,Peru
2020-03-15,Apurimac,0,Peru
2020-03-16,Apurimac,0,Peru
2020-03-17,Apurimac,0,Peru
2020-03-18,Apurimac,0,Peru
2020-03-19,Apurimac,0,Peru
2020-03-20,Apurimac,0,Peru
2020-03-21,Apurimac,0,Peru
2020-03-22,Apurimac,0,Peru
2020-03-23,Apurimac,0,Peru
2020-03-24,Apurimac,0,Peru
2020-03-25,Apurimac,0,Peru
2020-03-26,Apurimac,0,Peru
2020-03-27,Apurimac,0,Peru
2020-03-28,Apurimac,0,Peru
2020-03-29,Apurimac,0,Peru
2020-03-30,Apurimac,0,Peru
2020-03-31,Apurimac,0,Peru
2020-04-01,Apurimac,1,Peru
2020-04-02,Apurimac,0,Peru
2020-04-03,Apurimac,0,Peru
2020-04-04,Apurimac,0,Peru
2020-04-05,Apurimac,0,Peru
2020-04-06,Apurimac,0,Peru
2020-04-07,Apurimac,0,Peru
2020-04-08,Apurimac,0,Peru
2020-04-09,Apurimac,3,Peru
2020-04-10,Apurimac,0,Peru
2020-04-11,Apurimac,2,Peru
2020-04-12,Apurimac,0,Peru
2020-04-13,Apurimac,7,Peru
2020-04-14,Apurimac,10,Peru
2020-04-15,Apurimac,4,Peru
2020-04-16,Apurimac,4,Peru
2020-04-17,Apurimac,6,Peru
2020-04-18,Apurimac,5,Peru
2020-04-19,Apurimac,0,Peru
2020-04-20,Apurimac,1,Peru
2020-04-21,Apurimac,8,Peru
2020-04-22,Apurimac,4,Peru
2020-04-23,Apurimac,5,Peru
2020-04-24,Apurimac,2,Peru
2020-04-25,Apurimac,19,Peru
2020-04-26,Apurimac,5,Peru
2020-04-27,Apurimac,12,Peru
2020-04-28,Apurimac,10,Peru
2020-04-29,Apurimac,13,Peru
2020-04-30,Apurimac,35,Peru
2020-05-01,Apurimac,0,Peru
2020-05-02,Apurimac,5,Peru
2020-05-03,Apurimac,0,Peru
2020-05-04,Apurimac,6,Peru
2020-05-05,Apurimac,3,Peru
2020-05-06,Apurimac,1,Peru
2020-05-07,Apurimac,0,Peru
2020-05-08,Apurimac,0,Peru
2020-05-09,Apurimac,1,Peru
2020-05-10,Apurimac,0,Peru
2020-05-11,Apurimac,3,Peru
2020-05-12,Apurimac,5,Peru
2020-05-13,Apurimac,2,Peru
2020-05-14,Apurimac,2,Peru
2020-05-15,Apurimac,3,Peru
2020-05-16,Apurimac,0,Peru
2020-05-17,Apurimac,2,Peru
2020-05-18,Apurimac,4,Peru
