date,cases,city,country
2020-02-24,0,Bern,Switzerland
2020-02-25,0,Bern,Switzerland
2020-02-26,0,Bern,Switzerland
2020-02-27,1,Bern,Switzerland
2020-02-28,0,Bern,Switzerland
2020-02-29,1,Bern,Switzerland
2020-03-01,0,Bern,Switzerland
2020-03-02,4,Bern,Switzerland
2020-03-03,3,Bern,Switzerland
2020-03-04,8,Bern,Switzerland
2020-03-05,5,Bern,Switzerland
2020-03-06,9,Bern,Switzerland
2020-03-07,0,Bern,Switzerland
2020-03-08,3,Bern,Switzerland
2020-03-09,4,Bern,Switzerland
2020-03-10,7,Bern,Switzerland
2020-03-11,16,Bern,Switzerland
2020-03-12,24,Bern,Switzerland
2020-03-13,10,Bern,Switzerland
2020-03-14,20,Bern,Switzerland
2020-03-15,20,Bern,Switzerland
2020-03-16,68,Bern,Switzerland
2020-03-17,54,Bern,Switzerland
2020-03-18,62,Bern,Switzerland
2020-03-19,52,Bern,Switzerland
2020-03-20,61,Bern,Switzerland
2020-03-21,42,Bern,Switzerland
2020-03-22,35,Bern,Switzerland
2020-03-23,69,Bern,Switzerland
2020-03-24,54,Bern,Switzerland
2020-03-25,58,Bern,Switzerland
2020-03-26,54,Bern,Switzerland
2020-03-27,80,Bern,Switzerland
2020-03-28,24,Bern,Switzerland
2020-03-29,20,Bern,Switzerland
2020-03-30,74,Bern,Switzerland
2020-03-31,73,Bern,Switzerland
2020-04-01,57,Bern,Switzerland
2020-04-02,43,Bern,Switzerland
2020-04-03,63,Bern,Switzerland
2020-04-04,40,Bern,Switzerland
2020-04-05,14,Bern,Switzerland
2020-04-06,71,Bern,Switzerland
2020-04-07,52,Bern,Switzerland
2020-04-08,59,Bern,Switzerland
2020-04-09,20,Bern,Switzerland
2020-04-10,17,Bern,Switzerland
2020-04-11,20,Bern,Switzerland
2020-04-12,11,Bern,Switzerland
2020-04-13,17,Bern,Switzerland
2020-04-14,36,Bern,Switzerland
2020-04-15,30,Bern,Switzerland
2020-04-16,22,Bern,Switzerland
2020-04-17,18,Bern,Switzerland
2020-04-18,8,Bern,Switzerland
2020-04-19,10,Bern,Switzerland
2020-04-20,33,Bern,Switzerland
2020-04-21,19,Bern,Switzerland
2020-04-22,10,Bern,Switzerland
2020-04-23,21,Bern,Switzerland
2020-04-24,10,Bern,Switzerland
2020-04-25,4,Bern,Switzerland
2020-04-26,9,Bern,Switzerland
2020-04-27,14,Bern,Switzerland
2020-04-28,12,Bern,Switzerland
2020-04-29,13,Bern,Switzerland
2020-04-30,10,Bern,Switzerland
2020-05-01,10,Bern,Switzerland
2020-05-02,6,Bern,Switzerland
